bag_id,x,y
376,0,16384
377,2048,16384
378,4096,16384
379,6144,16384
380,8192,16384
381,10240,16384
382,12288,16384
383,14336,16384
384,16384,16384
385,18432,16384
433,20480,18432
434,22528,18432
435,24576,18432
436,26624,18432
437,28672,18432
438,30720,18432
439,32768,18432
442,38912,18432
443,40960,18432
444,43008,18432
445,45056,18432
446,47104,18432
448,51200,18432
450,55296,18432
451,57344,18432
452,59392,18432
453,61440,18432
454,63488,18432
455,65536,18432
456,67584,18432
463,81920,18432
464,83968,18432
465,86016,18432
466,88064,18432
467,90112,18432
468,92160,18432
469,94208,18432
752,0,32768
799,0,34816
846,0,36864
893,0,38912
940,0,40960
987,0,43008
1034,0,45056
1081,0,47104
1128,0,49152
1175,0,51200
1222,0,53248
1269,0,55296
1316,0,57344
1363,0,59392
1410,0,61440
1457,0,63488
1504,0,65536
1551,0,67584
1598,0,69632
1645,0,71680
1692,0,73728
1739,0,75776
1786,0,77824
1833,0,79872
1880,0,81920
1927,0,83968
1945,36864,83968
1974,0,86016
1992,36864,86016
1997,47104,86016
1998,49152,86016
1999,51200,86016
2000,53248,86016
2021,0,88064
2038,34816,88064
2039,36864,88064
2040,38912,88064
2041,40960,88064
2042,43008,88064
2043,45056,88064
2044,47104,88064
2045,49152,88064
2046,51200,88064
2047,53248,88064
2068,0,90112
2084,32768,90112
2085,34816,90112
2086,36864,90112
2087,38912,90112
2088,40960,90112
2089,43008,90112
2090,45056,90112
2091,47104,90112
2092,49152,90112
2093,51200,90112
2094,53248,90112
2115,0,92160
2131,32768,92160
2132,34816,92160
2133,36864,92160
2134,38912,92160
2135,40960,92160
2136,43008,92160
2137,45056,92160
2138,47104,92160
2139,49152,92160
2140,51200,92160
2142,55296,92160
2162,0,94208
2177,30720,94208
2178,32768,94208
2179,34816,94208
2180,36864,94208
2181,38912,94208
2182,40960,94208
2183,43008,94208
2184,45056,94208
2185,47104,94208
2186,49152,94208
2190,57344,94208
2209,0,96256
2224,30720,96256
2225,32768,96256
2226,34816,96256
2227,36864,96256
2237,57344,96256
2256,0,98304
2271,30720,98304
2272,32768,98304
2282,53248,98304
2288,65536,98304
2303,0,100352
2318,30720,100352
2319,32768,100352
2333,61440,100352
2334,63488,100352
2335,65536,100352
2336,67584,100352
2350,0,102400
2380,61440,102400
2381,63488,102400
2382,65536,102400
2383,67584,102400
2397,0,104448
2417,40960,104448
2426,59392,104448
2427,61440,104448
2428,63488,104448
2429,65536,104448
2430,67584,104448
2431,69632,104448
2462,36864,106496
2463,38912,106496
2464,40960,106496
2465,43008,106496
2472,57344,106496
2473,59392,106496
2474,61440,106496
2475,63488,106496
2476,65536,106496
2477,67584,106496
2511,40960,108544
2512,43008,108544
2519,57344,108544
2520,59392,108544
2521,61440,108544
2522,63488,108544
2523,65536,108544
2524,67584,108544
2525,69632,108544
2566,57344,110592
2567,59392,110592
2568,61440,110592
2569,63488,110592
2570,65536,110592
2571,67584,110592
2572,69632,110592
2573,71680,110592
2585,0,112640
2613,57344,112640
2614,59392,112640
2615,61440,112640
2616,63488,112640
2617,65536,112640
2618,67584,112640
2619,69632,112640
2620,71680,112640
2660,57344,114688
2661,59392,114688
2662,61440,114688
2663,63488,114688
2664,65536,114688
2665,67584,114688
2666,69632,114688
2667,71680,114688
2668,73728,114688
2707,57344,116736
2708,59392,116736
2709,61440,116736
2710,63488,116736
2711,65536,116736
2712,67584,116736
2713,69632,116736
2714,71680,116736
2715,73728,116736
2751,51200,118784
2752,53248,118784
2757,63488,118784
2758,65536,118784
2759,67584,118784
2760,69632,118784
2761,71680,118784
2762,73728,118784
2773,0,120832
2798,51200,120832
2799,53248,120832
2805,65536,120832
2806,67584,120832
2807,69632,120832
2808,71680,120832
2820,0,122880
2852,65536,122880
2853,67584,122880
2854,69632,122880
2855,71680,122880
2867,0,124928
2897,61440,124928
2898,63488,124928
2899,65536,124928
2900,67584,124928
2901,69632,124928
2914,0,126976
2961,0,129024
3008,0,131072
3055,0,133120
3102,0,135168
3149,0,137216
3196,0,139264
3243,0,141312
3290,0,143360
3337,0,145408
3384,0,147456
3431,0,149504
3478,0,151552
3525,0,153600
3572,0,155648
3619,0,157696
3666,0,159744
3713,0,161792
3760,0,163840
3807,0,165888
3854,0,167936
3901,0,169984
3948,0,172032
3995,0,174080
4042,0,176128
4089,0,178176
4183,0,182272
4324,0,188416
4325,2048,188416
4371,0,190464
4372,2048,190464
4418,0,192512
4419,2048,192512
4465,0,194560
4512,0,196608
4559,0,198656
4606,0,200704
4653,0,202752
4700,0,204800
4747,0,206848
4794,0,208896
4841,0,210944
4888,0,212992
4935,0,215040
4982,0,217088
4996,28672,217088
4997,30720,217088
4998,32768,217088
4999,34816,217088
5005,47104,217088
