bag_id,x,y
19,10240,2048
20,12288,2048
21,14336,2048
22,16384,2048
32,8192,4096
33,10240,4096
34,12288,4096
35,14336,4096
36,16384,4096
37,18432,4096
45,6144,6144
46,8192,6144
47,10240,6144
48,12288,6144
49,14336,6144
50,16384,6144
51,18432,6144
52,20480,6144
58,4096,8192
59,6144,8192
60,8192,8192
61,10240,8192
62,12288,8192
63,14336,8192
64,16384,8192
65,18432,8192
66,20480,8192
72,4096,10240
73,6144,10240
74,8192,10240
75,10240,10240
76,12288,10240
77,14336,10240
78,16384,10240
79,18432,10240
80,20480,10240
81,22528,10240
82,24576,10240
85,2048,12288
86,4096,12288
87,6144,12288
91,14336,12288
92,16384,12288
93,18432,12288
94,20480,12288
95,22528,12288
96,24576,12288
97,26624,12288
99,2048,14336
100,4096,14336
101,6144,14336
104,12288,14336
105,14336,14336
106,16384,14336
107,18432,14336
108,20480,14336
109,22528,14336
110,24576,14336
111,26624,14336
113,2048,16384
114,4096,16384
115,6144,16384
121,18432,16384
123,22528,16384
124,24576,16384
125,26624,16384
139,26624,18432
