bag_id,x,y
30,61440,0
33,67584,0
71,61440,2048
72,63488,2048
73,65536,2048
74,67584,2048
75,69632,2048
76,71680,2048
77,73728,2048
78,75776,2048
79,77824,2048
80,79872,2048
111,59392,4096
112,61440,4096
113,63488,4096
114,65536,4096
115,67584,4096
116,69632,4096
117,71680,4096
118,73728,4096
119,75776,4096
120,77824,4096
121,79872,4096
122,81920,4096
151,57344,6144
152,59392,6144
153,61440,6144
154,63488,6144
155,65536,6144
156,67584,6144
157,69632,6144
158,71680,6144
159,73728,6144
160,75776,6144
161,77824,6144
162,79872,6144
163,81920,6144
169,10240,8192
170,12288,8192
172,16384,8192
192,57344,8192
193,59392,8192
194,61440,8192
195,63488,8192
196,65536,8192
197,67584,8192
198,69632,8192
199,71680,8192
200,73728,8192
201,75776,8192
202,77824,8192
203,79872,8192
204,81920,8192
209,8192,10240
210,10240,10240
211,12288,10240
212,14336,10240
213,16384,10240
214,18432,10240
215,20480,10240
216,22528,10240
217,24576,10240
218,26624,10240
219,28672,10240
233,57344,10240
234,59392,10240
235,61440,10240
236,63488,10240
237,65536,10240
238,67584,10240
239,69632,10240
240,71680,10240
241,73728,10240
242,75776,10240
243,77824,10240
244,79872,10240
245,81920,10240
249,6144,12288
250,8192,12288
251,10240,12288
252,12288,12288
253,14336,12288
254,16384,12288
255,18432,12288
256,20480,12288
257,22528,12288
258,24576,12288
259,26624,12288
260,28672,12288
261,30720,12288
273,55296,12288
274,57344,12288
275,59392,12288
276,61440,12288
277,63488,12288
278,65536,12288
279,67584,12288
280,69632,12288
281,71680,12288
282,73728,12288
283,75776,12288
284,77824,12288
285,79872,12288
290,6144,14336
291,8192,14336
292,10240,14336
293,12288,14336
294,14336,14336
295,16384,14336
296,18432,14336
297,20480,14336
298,22528,14336
299,24576,14336
300,26624,14336
301,28672,14336
302,30720,14336
314,55296,14336
315,57344,14336
316,59392,14336
317,61440,14336
318,63488,14336
319,65536,14336
320,67584,14336
321,69632,14336
322,71680,14336
323,73728,14336
324,75776,14336
325,77824,14336
330,4096,16384
331,6144,16384
332,8192,16384
333,10240,16384
334,12288,16384
335,14336,16384
336,16384,16384
337,18432,16384
338,20480,16384
339,22528,16384
340,24576,16384
341,26624,16384
342,28672,16384
343,30720,16384
355,55296,16384
356,57344,16384
357,59392,16384
358,61440,16384
359,63488,16384
360,65536,16384
361,67584,16384
362,69632,16384
363,71680,16384
364,73728,16384
371,4096,18432
372,6144,18432
373,8192,18432
374,10240,18432
375,12288,18432
376,14336,18432
377,16384,18432
378,18432,18432
379,20480,18432
380,22528,18432
381,24576,18432
382,26624,18432
383,28672,18432
384,30720,18432
398,59392,18432
399,61440,18432
400,63488,18432
401,65536,18432
402,67584,18432
403,69632,18432
404,71680,18432
411,2048,20480
412,4096,20480
413,6144,20480
414,8192,20480
415,10240,20480
416,12288,20480
417,14336,20480
418,16384,20480
419,18432,20480
420,20480,20480
421,22528,20480
422,24576,20480
423,26624,20480
424,28672,20480
442,65536,20480
443,67584,20480
452,2048,22528
453,4096,22528
454,6144,22528
455,8192,22528
456,10240,22528
457,12288,22528
458,14336,22528
459,16384,22528
460,18432,22528
461,20480,22528
462,22528,22528
463,24576,22528
464,26624,22528
494,4096,24576
495,6144,24576
496,8192,24576
497,10240,24576
498,12288,24576
499,14336,24576
500,16384,24576
501,18432,24576
502,20480,24576
503,22528,24576
537,8192,26624
538,10240,26624
539,12288,26624
540,14336,26624
541,16384,26624
542,18432,26624
