bag_id,x,y
5,10240,0
6,12288,0
7,14336,0
34,4096,2048
35,6144,2048
36,8192,2048
37,10240,2048
38,12288,2048
39,14336,2048
40,16384,2048
41,18432,2048
56,49152,2048
57,51200,2048
58,53248,2048
65,2048,4096
66,4096,4096
67,6144,4096
68,8192,4096
69,10240,4096
70,12288,4096
71,14336,4096
72,16384,4096
73,18432,4096
87,47104,4096
88,49152,4096
89,51200,4096
90,53248,4096
91,55296,4096
92,57344,4096
96,0,6144
97,2048,6144
98,4096,6144
99,6144,6144
100,8192,6144
101,10240,6144
102,12288,6144
103,14336,6144
104,16384,6144
105,18432,6144
118,45056,6144
119,47104,6144
120,49152,6144
121,51200,6144
122,53248,6144
123,55296,6144
124,57344,6144
128,0,8192
129,2048,8192
130,4096,8192
131,6144,8192
132,8192,8192
133,10240,8192
134,12288,8192
135,14336,8192
136,16384,8192
137,18432,8192
149,43008,8192
150,45056,8192
151,47104,8192
152,49152,8192
153,51200,8192
154,53248,8192
155,55296,8192
156,57344,8192
161,2048,10240
162,4096,10240
163,6144,10240
164,8192,10240
165,10240,10240
166,12288,10240
167,14336,10240
168,16384,10240
169,18432,10240
180,40960,10240
181,43008,10240
182,45056,10240
183,47104,10240
184,49152,10240
185,51200,10240
186,53248,10240
187,55296,10240
188,57344,10240
189,59392,10240
193,2048,12288
194,4096,12288
195,6144,12288
196,8192,12288
197,10240,12288
198,12288,12288
199,14336,12288
200,16384,12288
201,18432,12288
212,40960,12288
213,43008,12288
214,45056,12288
215,47104,12288
216,49152,12288
217,51200,12288
218,53248,12288
219,55296,12288
220,57344,12288
221,59392,12288
227,6144,14336
228,8192,14336
229,10240,14336
230,12288,14336
231,14336,14336
232,16384,14336
233,18432,14336
244,40960,14336
245,43008,14336
246,45056,14336
247,47104,14336
248,49152,14336
249,51200,14336
250,53248,14336
251,55296,14336
252,57344,14336
253,59392,14336
261,10240,16384
262,12288,16384
263,14336,16384
277,43008,16384
278,45056,16384
279,47104,16384
280,49152,16384
281,51200,16384
282,53248,16384
283,55296,16384
284,57344,16384
285,59392,16384
310,45056,18432
311,47104,18432
312,49152,18432
313,51200,18432
314,53248,18432
315,55296,18432
316,57344,18432
