bag_id,x,y
6,12288,0
7,14336,0
8,16384,0
9,18432,0
10,20480,0
11,22528,0
14,28672,0
15,30720,0
16,32768,0
17,34816,0
18,36864,0
19,38912,0
20,40960,0
21,43008,0
22,45056,0
23,47104,0
24,49152,0
25,51200,0
26,53248,0
27,55296,0
38,12288,2048
39,14336,2048
40,16384,2048
41,18432,2048
42,20480,2048
43,22528,2048
44,24576,2048
45,26624,2048
46,28672,2048
47,30720,2048
48,32768,2048
49,34816,2048
50,36864,2048
51,38912,2048
52,40960,2048
53,43008,2048
54,45056,2048
55,47104,2048
56,49152,2048
57,51200,2048
58,53248,2048
59,55296,2048
69,10240,4096
70,12288,4096
71,14336,4096
72,16384,4096
73,18432,4096
74,20480,4096
75,22528,4096
76,24576,4096
77,26624,4096
78,28672,4096
79,30720,4096
80,32768,4096
81,34816,4096
82,36864,4096
83,38912,4096
84,40960,4096
85,43008,4096
86,45056,4096
87,47104,4096
88,49152,4096
89,51200,4096
91,55296,4096
101,10240,6144
102,12288,6144
103,14336,6144
104,16384,6144
105,18432,6144
106,20480,6144
107,22528,6144
108,24576,6144
109,26624,6144
110,28672,6144
111,30720,6144
112,32768,6144
113,34816,6144
114,36864,6144
115,38912,6144
116,40960,6144
117,43008,6144
118,45056,6144
119,47104,6144
120,49152,6144
121,51200,6144
123,55296,6144
133,10240,8192
134,12288,8192
135,14336,8192
136,16384,8192
137,18432,8192
138,20480,8192
139,22528,8192
140,24576,8192
141,26624,8192
142,28672,8192
143,30720,8192
144,32768,8192
145,34816,8192
146,36864,8192
147,38912,8192
148,40960,8192
149,43008,8192
150,45056,8192
151,47104,8192
152,49152,8192
153,51200,8192
154,53248,8192
155,55296,8192
165,10240,10240
166,12288,10240
167,14336,10240
168,16384,10240
169,18432,10240
170,20480,10240
171,22528,10240
172,24576,10240
173,26624,10240
174,28672,10240
175,30720,10240
176,32768,10240
177,34816,10240
178,36864,10240
179,38912,10240
180,40960,10240
181,43008,10240
182,45056,10240
183,47104,10240
184,49152,10240
185,51200,10240
186,53248,10240
187,55296,10240
197,10240,12288
198,12288,12288
199,14336,12288
200,16384,12288
201,18432,12288
202,20480,12288
203,22528,12288
204,24576,12288
205,26624,12288
206,28672,12288
207,30720,12288
208,32768,12288
209,34816,12288
210,36864,12288
211,38912,12288
212,40960,12288
213,43008,12288
214,45056,12288
215,47104,12288
216,49152,12288
217,51200,12288
218,53248,12288
219,55296,12288
220,57344,12288
228,8192,14336
229,10240,14336
230,12288,14336
231,14336,14336
232,16384,14336
233,18432,14336
234,20480,14336
235,22528,14336
236,24576,14336
237,26624,14336
238,28672,14336
239,30720,14336
240,32768,14336
241,34816,14336
242,36864,14336
243,38912,14336
244,40960,14336
245,43008,14336
246,45056,14336
247,47104,14336
248,49152,14336
249,51200,14336
250,53248,14336
251,55296,14336
259,6144,16384
260,8192,16384
261,10240,16384
262,12288,16384
263,14336,16384
264,16384,16384
265,18432,16384
266,20480,16384
267,22528,16384
268,24576,16384
269,26624,16384
270,28672,16384
271,30720,16384
272,32768,16384
273,34816,16384
274,36864,16384
275,38912,16384
276,40960,16384
277,43008,16384
278,45056,16384
279,47104,16384
280,49152,16384
281,51200,16384
282,53248,16384
283,55296,16384
291,6144,18432
292,8192,18432
295,14336,18432
296,16384,18432
297,18432,18432
298,20480,18432
299,22528,18432
300,24576,18432
301,26624,18432
302,28672,18432
303,30720,18432
304,32768,18432
305,34816,18432
306,36864,18432
307,38912,18432
308,40960,18432
309,43008,18432
310,45056,18432
311,47104,18432
312,49152,18432
313,51200,18432
314,53248,18432
315,55296,18432
323,6144,20480
324,8192,20480
325,10240,20480
327,14336,20480
328,16384,20480
329,18432,20480
330,20480,20480
331,22528,20480
332,24576,20480
333,26624,20480
334,28672,20480
335,30720,20480
336,32768,20480
337,34816,20480
338,36864,20480
339,38912,20480
340,40960,20480
341,43008,20480
342,45056,20480
343,47104,20480
344,49152,20480
345,51200,20480
346,53248,20480
347,55296,20480
356,8192,22528
357,10240,22528
359,14336,22528
360,16384,22528
361,18432,22528
362,20480,22528
363,22528,22528
364,24576,22528
365,26624,22528
366,28672,22528
367,30720,22528
368,32768,22528
369,34816,22528
370,36864,22528
371,38912,22528
372,40960,22528
373,43008,22528
374,45056,22528
375,47104,22528
376,49152,22528
377,51200,22528
378,53248,22528
379,55296,22528
388,8192,24576
389,10240,24576
391,14336,24576
392,16384,24576
393,18432,24576
394,20480,24576
395,22528,24576
396,24576,24576
