bag_id,x,y
19,10240,2048
20,12288,2048
21,14336,2048
29,2048,4096
34,12288,4096
35,14336,4096
36,16384,4096
37,18432,4096
38,20480,4096
39,22528,4096
46,8192,6144
47,10240,6144
48,12288,6144
49,14336,6144
50,16384,6144
51,18432,6144
52,20480,6144
53,22528,6144
54,24576,6144
55,26624,6144
59,6144,8192
60,8192,8192
61,10240,8192
62,12288,8192
63,14336,8192
64,16384,8192
65,18432,8192
66,20480,8192
67,22528,8192
68,24576,8192
69,26624,8192
70,0,10240
71,2048,10240
72,4096,10240
73,6144,10240
74,8192,10240
75,10240,10240
76,12288,10240
77,14336,10240
78,16384,10240
79,18432,10240
80,20480,10240
81,22528,10240
82,24576,10240
83,26624,10240
84,0,12288
85,2048,12288
86,4096,12288
87,6144,12288
88,8192,12288
89,10240,12288
90,12288,12288
91,14336,12288
92,16384,12288
93,18432,12288
94,20480,12288
95,22528,12288
96,24576,12288
97,26624,12288
98,0,14336
99,2048,14336
100,4096,14336
101,6144,14336
102,8192,14336
103,10240,14336
104,12288,14336
105,14336,14336
106,16384,14336
107,18432,14336
108,20480,14336
109,22528,14336
110,24576,14336
111,26624,14336
112,0,16384
113,2048,16384
114,4096,16384
115,6144,16384
116,8192,16384
117,10240,16384
118,12288,16384
119,14336,16384
120,16384,16384
121,18432,16384
122,20480,16384
123,22528,16384
124,24576,16384
126,0,18432
127,2048,18432
128,4096,18432
129,6144,18432
130,8192,18432
131,10240,18432
132,12288,18432
133,14336,18432
134,16384,18432
135,18432,18432
136,20480,18432
137,22528,18432
138,24576,18432
140,0,20480
141,2048,20480
142,4096,20480
143,6144,20480
144,8192,20480
145,10240,20480
146,12288,20480
147,14336,20480
148,16384,20480
149,18432,20480
150,20480,20480
151,22528,20480
154,0,22528
155,2048,22528
156,4096,22528
157,6144,22528
158,8192,22528
159,10240,22528
160,12288,22528
161,14336,22528
162,16384,22528
163,18432,22528
164,20480,22528
168,0,24576
169,2048,24576
170,4096,24576
171,6144,24576
172,8192,24576
173,10240,24576
174,12288,24576
175,14336,24576
176,16384,24576
177,18432,24576
182,0,26624
183,2048,26624
184,4096,26624
185,6144,26624
186,8192,26624
187,10240,26624
188,12288,26624
189,14336,26624
190,16384,26624
191,18432,26624
192,20480,26624
197,2048,28672
198,4096,28672
199,6144,28672
200,8192,28672
201,10240,28672
202,12288,28672
203,14336,28672
205,18432,28672
206,20480,28672
207,22528,28672
212,4096,30720
213,6144,30720
214,8192,30720
215,10240,30720
216,12288,30720
217,14336,30720
218,16384,30720
219,18432,30720
220,20480,30720
221,22528,30720
228,8192,32768
229,10240,32768
230,12288,32768
231,14336,32768
232,16384,32768
233,18432,32768
234,20480,32768
235,22528,32768
243,10240,34816
244,12288,34816
245,14336,34816
246,16384,34816
247,18432,34816
