bag_id,x,y
8,16384,0
9,18432,0
27,12288,2048
28,14336,2048
29,16384,2048
30,18432,2048
31,20480,2048
47,10240,4096
48,12288,4096
49,14336,4096
50,16384,4096
51,18432,4096
52,20480,4096
53,22528,4096
54,24576,4096
55,26624,4096
56,28672,4096
68,10240,6144
69,12288,6144
70,14336,6144
71,16384,6144
72,18432,6144
73,20480,6144
74,22528,6144
75,24576,6144
76,26624,6144
77,28672,6144
90,12288,8192
91,14336,8192
92,16384,8192
93,18432,8192
94,20480,8192
95,22528,8192
96,24576,8192
97,26624,8192
98,28672,8192
99,30720,8192
111,12288,10240
112,14336,10240
113,16384,10240
114,18432,10240
115,20480,10240
116,22528,10240
117,24576,10240
118,26624,10240
119,28672,10240
120,30720,10240
121,32768,10240
122,34816,10240
131,10240,12288
132,12288,12288
133,14336,12288
134,16384,12288
135,18432,12288
136,20480,12288
138,24576,12288
139,26624,12288
140,28672,12288
141,30720,12288
142,32768,12288
143,34816,12288
147,0,14336
148,2048,14336
152,10240,14336
153,12288,14336
154,14336,14336
155,16384,14336
156,18432,14336
161,28672,14336
162,30720,14336
163,32768,14336
164,34816,14336
169,2048,16384
170,4096,16384
171,6144,16384
172,8192,16384
173,10240,16384
183,30720,16384
184,32768,16384
190,2048,18432
191,4096,18432
192,6144,18432
193,8192,18432
194,10240,18432
195,12288,18432
196,14336,18432
204,30720,18432
205,32768,18432
211,2048,20480
212,4096,20480
213,6144,20480
214,8192,20480
215,10240,20480
216,12288,20480
217,14336,20480
218,16384,20480
220,20480,20480
226,32768,20480
227,34816,20480
228,36864,20480
232,2048,22528
233,4096,22528
234,6144,22528
235,8192,22528
236,10240,22528
237,12288,22528
238,14336,22528
239,16384,22528
247,32768,22528
248,34816,22528
249,36864,22528
250,38912,22528
253,2048,24576
254,4096,24576
255,6144,24576
256,8192,24576
257,10240,24576
258,12288,24576
259,14336,24576
260,16384,24576
261,18432,24576
262,20480,24576
263,22528,24576
267,30720,24576
268,32768,24576
269,34816,24576
270,36864,24576
271,38912,24576
272,40960,24576
275,4096,26624
276,6144,26624
277,8192,26624
278,10240,26624
279,12288,26624
280,14336,26624
281,16384,26624
282,18432,26624
283,20480,26624
284,22528,26624
287,28672,26624
288,30720,26624
289,32768,26624
290,34816,26624
291,36864,26624
292,38912,26624
293,40960,26624
297,6144,28672
298,8192,28672
299,10240,28672
300,12288,28672
301,14336,28672
302,16384,28672
303,18432,28672
304,20480,28672
305,22528,28672
306,24576,28672
308,28672,28672
309,30720,28672
310,32768,28672
311,34816,28672
312,36864,28672
313,38912,28672
314,40960,28672
319,8192,30720
320,10240,30720
321,12288,30720
322,14336,30720
323,16384,30720
324,18432,30720
325,20480,30720
326,22528,30720
327,24576,30720
331,32768,30720
332,34816,30720
333,36864,30720
334,38912,30720
341,10240,32768
342,12288,32768
343,14336,32768
344,16384,32768
345,18432,32768
346,20480,32768
347,22528,32768
348,24576,32768
352,32768,32768
353,34816,32768
354,36864,32768
355,38912,32768
362,10240,34816
363,12288,34816
364,14336,34816
365,16384,34816
366,18432,34816
367,20480,34816
368,22528,34816
374,34816,34816
375,36864,34816
376,38912,34816
377,40960,34816
