bag_id,x,y
1,2048,0
2,4096,0
3,6144,0
10,0,2048
11,2048,2048
12,4096,2048
13,6144,2048
14,8192,2048
20,0,4096
21,2048,4096
22,4096,4096
24,8192,4096
25,10240,4096
26,12288,4096
30,0,6144
31,2048,6144
32,4096,6144
34,8192,6144
35,10240,6144
36,12288,6144
37,14336,6144
38,16384,6144
39,18432,6144
40,0,8192
41,2048,8192
42,4096,8192
43,6144,8192
44,8192,8192
45,10240,8192
46,12288,8192
47,14336,8192
48,16384,8192
49,18432,8192
50,0,10240
51,2048,10240
52,4096,10240
53,6144,10240
54,8192,10240
55,10240,10240
56,12288,10240
57,14336,10240
58,16384,10240
59,18432,10240
61,2048,12288
62,4096,12288
63,6144,12288
64,8192,12288
65,10240,12288
66,12288,12288
67,14336,12288
68,16384,12288
69,18432,12288
73,6144,14336
74,8192,14336
75,10240,14336
76,12288,14336
