bag_id,x,y
3,6144,0
4,8192,0
5,10240,0
6,12288,0
10,20480,0
11,22528,0
12,24576,0
22,4096,2048
23,6144,2048
24,8192,2048
25,10240,2048
26,12288,2048
29,18432,2048
30,20480,2048
31,22528,2048
32,24576,2048
33,26624,2048
41,2048,4096
42,4096,4096
43,6144,4096
44,8192,4096
45,10240,4096
46,12288,4096
49,18432,4096
50,20480,4096
51,22528,4096
52,24576,4096
53,26624,4096
54,28672,4096
61,2048,6144
62,4096,6144
63,6144,6144
64,8192,6144
65,10240,6144
66,12288,6144
68,16384,6144
69,18432,6144
70,20480,6144
71,22528,6144
72,24576,6144
73,26624,6144
74,28672,6144
75,30720,6144
80,0,8192
81,2048,8192
82,4096,8192
83,6144,8192
84,8192,8192
85,10240,8192
86,12288,8192
88,16384,8192
89,18432,8192
90,20480,8192
91,22528,8192
92,24576,8192
93,26624,8192
94,28672,8192
95,30720,8192
102,4096,10240
103,6144,10240
104,8192,10240
105,10240,10240
106,12288,10240
109,18432,10240
110,20480,10240
111,22528,10240
112,24576,10240
113,26624,10240
114,28672,10240
115,30720,10240
116,32768,10240
120,0,12288
121,2048,12288
122,4096,12288
123,6144,12288
124,8192,12288
125,10240,12288
126,12288,12288
128,16384,12288
129,18432,12288
130,20480,12288
131,22528,12288
132,24576,12288
133,26624,12288
134,28672,12288
135,30720,12288
136,32768,12288
137,34816,12288
141,2048,14336
142,4096,14336
143,6144,14336
144,8192,14336
145,10240,14336
146,12288,14336
147,14336,14336
150,20480,14336
151,22528,14336
152,24576,14336
153,26624,14336
154,28672,14336
155,30720,14336
156,32768,14336
157,34816,14336
161,2048,16384
162,4096,16384
163,6144,16384
164,8192,16384
165,10240,16384
166,12288,16384
167,14336,16384
168,16384,16384
169,18432,16384
170,20480,16384
171,22528,16384
172,24576,16384
173,26624,16384
174,28672,16384
175,30720,16384
176,32768,16384
177,34816,16384
178,36864,16384
183,6144,18432
184,8192,18432
185,10240,18432
186,12288,18432
187,14336,18432
188,16384,18432
189,18432,18432
190,20480,18432
191,22528,18432
192,24576,18432
193,26624,18432
194,28672,18432
195,30720,18432
196,32768,18432
197,34816,18432
198,36864,18432
205,10240,20480
206,12288,20480
207,14336,20480
208,16384,20480
209,18432,20480
210,20480,20480
211,22528,20480
212,24576,20480
213,26624,20480
214,28672,20480
215,30720,20480
216,32768,20480
217,34816,20480
218,36864,20480
219,38912,20480
228,16384,22528
229,18432,22528
230,20480,22528
231,22528,22528
232,24576,22528
233,26624,22528
234,28672,22528
235,30720,22528
236,32768,22528
237,34816,22528
238,36864,22528
239,38912,22528
249,18432,24576
250,20480,24576
251,22528,24576
252,24576,24576
253,26624,24576
254,28672,24576
255,30720,24576
256,32768,24576
257,34816,24576
258,36864,24576
259,38912,24576
268,16384,26624
269,18432,26624
270,20480,26624
271,22528,26624
272,24576,26624
273,26624,26624
274,28672,26624
275,30720,26624
276,32768,26624
277,34816,26624
278,36864,26624
279,38912,26624
288,16384,28672
289,18432,28672
290,20480,28672
291,22528,28672
293,26624,28672
294,28672,28672
295,30720,28672
296,32768,28672
297,34816,28672
298,36864,28672
299,38912,28672
307,14336,30720
308,16384,30720
309,18432,30720
310,20480,30720
312,24576,30720
313,26624,30720
314,28672,30720
315,30720,30720
317,34816,30720
318,36864,30720
319,38912,30720
327,14336,32768
328,16384,32768
329,18432,32768
330,20480,32768
332,24576,32768
333,26624,32768
334,28672,32768
335,30720,32768
337,34816,32768
338,36864,32768
346,12288,34816
347,14336,34816
348,16384,34816
349,18432,34816
351,22528,34816
352,24576,34816
353,26624,34816
354,28672,34816
357,34816,34816
358,36864,34816
366,12288,36864
367,14336,36864
368,16384,36864
369,18432,36864
370,20480,36864
371,22528,36864
372,24576,36864
373,26624,36864
374,28672,36864
378,36864,36864
386,12288,38912
387,14336,38912
388,16384,38912
