bag_id,x,y
8,16384,0
10,20480,0
11,22528,0
12,24576,0
15,30720,0
28,14336,2048
29,16384,2048
30,18432,2048
31,20480,2048
32,22528,2048
33,24576,2048
34,26624,2048
35,28672,2048
36,30720,2048
37,32768,2048
38,34816,2048
45,6144,4096
46,8192,4096
47,10240,4096
48,12288,4096
49,14336,4096
50,16384,4096
51,18432,4096
52,20480,4096
53,22528,4096
54,24576,4096
55,26624,4096
56,28672,4096
57,30720,4096
58,32768,4096
59,34816,4096
60,36864,4096
61,38912,4096
64,2048,6144
65,4096,6144
66,6144,6144
67,8192,6144
68,10240,6144
69,12288,6144
70,14336,6144
71,16384,6144
72,18432,6144
73,20480,6144
74,22528,6144
75,24576,6144
76,26624,6144
77,28672,6144
78,30720,6144
79,32768,6144
80,34816,6144
81,36864,6144
82,38912,6144
83,40960,6144
84,0,8192
85,2048,8192
86,4096,8192
87,6144,8192
88,8192,8192
89,10240,8192
90,12288,8192
91,14336,8192
92,16384,8192
93,18432,8192
94,20480,8192
95,22528,8192
96,24576,8192
97,26624,8192
98,28672,8192
99,30720,8192
100,32768,8192
101,34816,8192
102,36864,8192
103,38912,8192
104,40960,8192
105,0,10240
106,2048,10240
107,4096,10240
108,6144,10240
109,8192,10240
110,10240,10240
111,12288,10240
112,14336,10240
113,16384,10240
114,18432,10240
115,20480,10240
116,22528,10240
117,24576,10240
118,26624,10240
119,28672,10240
120,30720,10240
121,32768,10240
122,34816,10240
123,36864,10240
124,38912,10240
126,0,12288
127,2048,12288
128,4096,12288
129,6144,12288
130,8192,12288
131,10240,12288
132,12288,12288
133,14336,12288
134,16384,12288
135,18432,12288
136,20480,12288
137,22528,12288
138,24576,12288
139,26624,12288
140,28672,12288
141,30720,12288
142,32768,12288
143,34816,12288
144,36864,12288
147,0,14336
148,2048,14336
149,4096,14336
150,6144,14336
151,8192,14336
152,10240,14336
153,12288,14336
154,14336,14336
155,16384,14336
156,18432,14336
157,20480,14336
158,22528,14336
159,24576,14336
160,26624,14336
161,28672,14336
162,30720,14336
163,32768,14336
164,34816,14336
165,36864,14336
168,0,16384
169,2048,16384
170,4096,16384
171,6144,16384
172,8192,16384
173,10240,16384
174,12288,16384
175,14336,16384
176,16384,16384
177,18432,16384
178,20480,16384
179,22528,16384
180,24576,16384
181,26624,16384
182,28672,16384
183,30720,16384
184,32768,16384
189,0,18432
190,2048,18432
191,4096,18432
192,6144,18432
193,8192,18432
194,10240,18432
195,12288,18432
196,14336,18432
197,16384,18432
198,18432,18432
199,20480,18432
200,22528,18432
201,24576,18432
202,26624,18432
204,30720,18432
205,32768,18432
211,2048,20480
212,4096,20480
217,14336,20480
218,16384,20480
219,18432,20480
220,20480,20480
221,22528,20480
222,24576,20480
224,28672,20480
225,30720,20480
226,32768,20480
