bag_id,x,y
3,6144,0
4,8192,0
5,10240,0
12,0,2048
13,2048,2048
14,4096,2048
15,6144,2048
16,8192,2048
17,10240,2048
24,0,4096
25,2048,4096
26,4096,4096
27,6144,4096
28,8192,4096
29,10240,4096
30,12288,4096
38,4096,6144
39,6144,6144
40,8192,6144
41,10240,6144
42,12288,6144
43,14336,6144
51,6144,8192
52,8192,8192
53,10240,8192
54,12288,8192
55,14336,8192
56,16384,8192
63,6144,10240
64,8192,10240
65,10240,10240
66,12288,10240
67,14336,10240
68,16384,10240
69,18432,10240
70,20480,10240
71,22528,10240
74,4096,12288
75,6144,12288
76,8192,12288
77,10240,12288
78,12288,12288
79,14336,12288
80,16384,12288
81,18432,12288
82,20480,12288
83,22528,12288
86,4096,14336
87,6144,14336
88,8192,14336
89,10240,14336
90,12288,14336
91,14336,14336
92,16384,14336
93,18432,14336
94,20480,14336
95,22528,14336
99,6144,16384
100,8192,16384
101,10240,16384
102,12288,16384
103,14336,16384
104,16384,16384
105,18432,16384
106,20480,16384
107,22528,16384
111,6144,18432
112,8192,18432
113,10240,18432
114,12288,18432
115,14336,18432
116,16384,18432
117,18432,18432
118,20480,18432
119,22528,18432
122,4096,20480
123,6144,20480
124,8192,20480
125,10240,20480
126,12288,20480
127,14336,20480
128,16384,20480
129,18432,20480
130,20480,20480
131,22528,20480
135,6144,22528
136,8192,22528
137,10240,22528
138,12288,22528
139,14336,22528
140,16384,22528
141,18432,22528
142,20480,22528
143,22528,22528
148,8192,24576
149,10240,24576
150,12288,24576
151,14336,24576
152,16384,24576
153,18432,24576
154,20480,24576
155,22528,24576
160,8192,26624
161,10240,26624
162,12288,26624
163,14336,26624
164,16384,26624
165,18432,26624
166,20480,26624
167,22528,26624
172,8192,28672
173,10240,28672
174,12288,28672
175,14336,28672
176,16384,28672
177,18432,28672
178,20480,28672
184,8192,30720
185,10240,30720
186,12288,30720
187,14336,30720
188,16384,30720
189,18432,30720
196,8192,32768
197,10240,32768
198,12288,32768
199,14336,32768
200,16384,32768
208,8192,34816
209,10240,34816
210,12288,34816
211,14336,34816
220,8192,36864
221,10240,36864
222,12288,36864
223,14336,36864
