bag_id,x,y
3,6144,0
4,8192,0
5,10240,0
6,12288,0
7,14336,0
8,16384,0
9,18432,0
28,4096,2048
29,6144,2048
30,8192,2048
31,10240,2048
32,12288,2048
33,14336,2048
34,16384,2048
35,18432,2048
36,20480,2048
37,22528,2048
38,24576,2048
53,2048,4096
54,4096,4096
55,6144,4096
56,8192,4096
57,10240,4096
58,12288,4096
59,14336,4096
60,16384,4096
61,18432,4096
62,20480,4096
63,22528,4096
64,24576,4096
65,26624,4096
66,28672,4096
78,0,6144
80,4096,6144
81,6144,6144
82,8192,6144
83,10240,6144
84,12288,6144
85,14336,6144
86,16384,6144
87,18432,6144
88,20480,6144
89,22528,6144
90,24576,6144
91,26624,6144
92,28672,6144
93,30720,6144
106,4096,8192
107,6144,8192
108,8192,8192
109,10240,8192
110,12288,8192
111,14336,8192
112,16384,8192
113,18432,8192
114,20480,8192
115,22528,8192
116,24576,8192
117,26624,8192
118,28672,8192
119,30720,8192
120,32768,8192
121,34816,8192
132,4096,10240
133,6144,10240
134,8192,10240
135,10240,10240
136,12288,10240
137,14336,10240
138,16384,10240
139,18432,10240
140,20480,10240
141,22528,10240
142,24576,10240
143,26624,10240
144,28672,10240
145,30720,10240
146,32768,10240
147,34816,10240
148,36864,10240
149,38912,10240
158,4096,12288
159,6144,12288
160,8192,12288
161,10240,12288
162,12288,12288
163,14336,12288
164,16384,12288
165,18432,12288
166,20480,12288
167,22528,12288
168,24576,12288
169,26624,12288
170,28672,12288
171,30720,12288
172,32768,12288
173,34816,12288
174,36864,12288
175,38912,12288
176,40960,12288
184,4096,14336
185,6144,14336
186,8192,14336
187,10240,14336
188,12288,14336
189,14336,14336
190,16384,14336
191,18432,14336
192,20480,14336
193,22528,14336
194,24576,14336
195,26624,14336
196,28672,14336
197,30720,14336
198,32768,14336
199,34816,14336
200,36864,14336
201,38912,14336
202,40960,14336
203,43008,14336
210,4096,16384
211,6144,16384
212,8192,16384
213,10240,16384
214,12288,16384
215,14336,16384
216,16384,16384
217,18432,16384
218,20480,16384
219,22528,16384
220,24576,16384
221,26624,16384
222,28672,16384
223,30720,16384
224,32768,16384
225,34816,16384
226,36864,16384
227,38912,16384
228,40960,16384
229,43008,16384
230,45056,16384
236,4096,18432
237,6144,18432
238,8192,18432
239,10240,18432
240,12288,18432
241,14336,18432
242,16384,18432
243,18432,18432
244,20480,18432
245,22528,18432
246,24576,18432
248,28672,18432
249,30720,18432
250,32768,18432
251,34816,18432
252,36864,18432
253,38912,18432
254,40960,18432
255,43008,18432
256,45056,18432
257,47104,18432
258,49152,18432
271,22528,20480
272,24576,20480
273,26624,20480
274,28672,20480
275,30720,20480
276,32768,20480
277,34816,20480
278,36864,20480
279,38912,20480
280,40960,20480
281,43008,20480
282,45056,20480
283,47104,20480
284,49152,20480
285,51200,20480
297,22528,22528
298,24576,22528
299,26624,22528
300,28672,22528
301,30720,22528
302,32768,22528
303,34816,22528
304,36864,22528
305,38912,22528
306,40960,22528
307,43008,22528
308,45056,22528
309,47104,22528
310,49152,22528
311,51200,22528
323,22528,24576
324,24576,24576
325,26624,24576
326,28672,24576
327,30720,24576
328,32768,24576
329,34816,24576
330,36864,24576
331,38912,24576
332,40960,24576
333,43008,24576
334,45056,24576
335,47104,24576
336,49152,24576
349,22528,26624
350,24576,26624
351,26624,26624
352,28672,26624
353,30720,26624
354,32768,26624
355,34816,26624
356,36864,26624
357,38912,26624
358,40960,26624
359,43008,26624
360,45056,26624
361,47104,26624
362,49152,26624
378,28672,28672
379,30720,28672
380,32768,28672
381,34816,28672
382,36864,28672
383,38912,28672
384,40960,28672
385,43008,28672
386,45056,28672
387,47104,28672
388,49152,28672
405,30720,30720
406,32768,30720
407,34816,30720
408,36864,30720
409,38912,30720
410,40960,30720
411,43008,30720
412,45056,30720
413,47104,30720
414,49152,30720
431,30720,32768
432,32768,32768
433,34816,32768
434,36864,32768
435,38912,32768
436,40960,32768
437,43008,32768
457,30720,34816
458,32768,34816
459,34816,34816
460,36864,34816
461,38912,34816
462,40960,34816
484,32768,36864
485,34816,36864
486,36864,36864
487,38912,36864
488,40960,36864
510,32768,38912
511,34816,38912
512,36864,38912
513,38912,38912
514,40960,38912
