bag_id,x,y
5,10240,0
19,8192,2048
20,10240,2048
21,12288,2048
32,4096,4096
33,6144,4096
34,8192,4096
35,10240,4096
36,12288,4096
46,2048,6144
47,4096,6144
48,6144,6144
49,8192,6144
50,10240,6144
51,12288,6144
52,14336,6144
61,2048,8192
62,4096,8192
63,6144,8192
64,8192,8192
65,10240,8192
66,12288,8192
67,14336,8192
68,16384,8192
69,18432,8192
70,20480,8192
71,22528,8192
75,0,10240
76,2048,10240
77,4096,10240
78,6144,10240
79,8192,10240
80,10240,10240
81,12288,10240
82,14336,10240
83,16384,10240
84,18432,10240
85,20480,10240
86,22528,10240
87,24576,10240
88,26624,10240
90,0,12288
91,2048,12288
92,4096,12288
93,6144,12288
94,8192,12288
95,10240,12288
96,12288,12288
98,16384,12288
99,18432,12288
100,20480,12288
101,22528,12288
102,24576,12288
103,26624,12288
104,28672,12288
105,0,14336
106,2048,14336
107,4096,14336
108,6144,14336
109,8192,14336
110,10240,14336
111,12288,14336
112,14336,14336
113,16384,14336
114,18432,14336
115,20480,14336
116,22528,14336
117,24576,14336
118,26624,14336
119,28672,14336
120,0,16384
121,2048,16384
122,4096,16384
123,6144,16384
124,8192,16384
125,10240,16384
126,12288,16384
127,14336,16384
128,16384,16384
129,18432,16384
130,20480,16384
131,22528,16384
132,24576,16384
133,26624,16384
134,28672,16384
136,2048,18432
137,4096,18432
138,6144,18432
139,8192,18432
140,10240,18432
141,12288,18432
142,14336,18432
143,16384,18432
144,18432,18432
145,20480,18432
146,22528,18432
147,24576,18432
148,26624,18432
149,28672,18432
151,2048,20480
152,4096,20480
153,6144,20480
154,8192,20480
155,10240,20480
156,12288,20480
157,14336,20480
158,16384,20480
159,18432,20480
160,20480,20480
161,22528,20480
167,4096,22528
168,6144,22528
169,8192,22528
170,10240,22528
171,12288,22528
172,14336,22528
173,16384,22528
174,18432,22528
175,20480,22528
176,22528,22528
182,4096,24576
183,6144,24576
184,8192,24576
185,10240,24576
186,12288,24576
187,14336,24576
188,16384,24576
189,18432,24576
197,4096,26624
198,6144,26624
199,8192,26624
200,10240,26624
201,12288,26624
202,14336,26624
203,16384,26624
204,18432,26624
212,4096,28672
213,6144,28672
214,8192,28672
215,10240,28672
216,12288,28672
217,14336,28672
219,18432,28672
228,6144,30720
229,8192,30720
230,10240,30720
234,18432,30720
