bag_id,x,y
9,18432,0
23,8192,2048
24,10240,2048
25,12288,2048
26,14336,2048
27,16384,2048
28,18432,2048
29,20480,2048
42,8192,4096
43,10240,4096
44,12288,4096
45,14336,4096
46,16384,4096
47,18432,4096
48,20480,4096
49,22528,4096
60,6144,6144
61,8192,6144
62,10240,6144
63,12288,6144
64,14336,6144
65,16384,6144
66,18432,6144
67,20480,6144
68,22528,6144
69,24576,6144
70,26624,6144
79,6144,8192
80,8192,8192
81,10240,8192
82,12288,8192
83,14336,8192
84,16384,8192
85,18432,8192
86,20480,8192
87,22528,8192
88,24576,8192
89,26624,8192
90,28672,8192
91,30720,8192
100,10240,10240
101,12288,10240
102,14336,10240
103,16384,10240
104,18432,10240
105,20480,10240
106,22528,10240
107,24576,10240
108,26624,10240
109,28672,10240
110,30720,10240
111,32768,10240
120,12288,12288
121,14336,12288
122,16384,12288
123,18432,12288
124,20480,12288
125,22528,12288
126,24576,12288
127,26624,12288
128,28672,12288
129,30720,12288
130,32768,12288
131,34816,12288
138,10240,14336
139,12288,14336
140,14336,14336
141,16384,14336
142,18432,14336
143,20480,14336
144,22528,14336
145,24576,14336
146,26624,14336
147,28672,14336
148,30720,14336
149,32768,14336
150,34816,14336
154,4096,16384
155,6144,16384
156,8192,16384
157,10240,16384
158,12288,16384
159,14336,16384
160,16384,16384
161,18432,16384
162,20480,16384
163,22528,16384
164,24576,16384
165,26624,16384
166,28672,16384
167,30720,16384
168,32768,16384
169,34816,16384
173,4096,18432
174,6144,18432
175,8192,18432
176,10240,18432
177,12288,18432
178,14336,18432
179,16384,18432
180,18432,18432
181,20480,18432
182,22528,18432
183,24576,18432
184,26624,18432
185,28672,18432
186,30720,18432
187,32768,18432
188,34816,18432
189,36864,18432
192,4096,20480
193,6144,20480
194,8192,20480
195,10240,20480
196,12288,20480
197,14336,20480
198,16384,20480
199,18432,20480
200,20480,20480
201,22528,20480
202,24576,20480
203,26624,20480
204,28672,20480
205,30720,20480
206,32768,20480
207,34816,20480
208,36864,20480
210,2048,22528
211,4096,22528
212,6144,22528
213,8192,22528
214,10240,22528
215,12288,22528
216,14336,22528
217,16384,22528
218,18432,22528
219,20480,22528
220,22528,22528
221,24576,22528
222,26624,22528
223,28672,22528
224,30720,22528
225,32768,22528
226,34816,22528
227,36864,22528
229,2048,24576
230,4096,24576
231,6144,24576
232,8192,24576
233,10240,24576
234,12288,24576
235,14336,24576
236,16384,24576
237,18432,24576
238,20480,24576
239,22528,24576
240,24576,24576
241,26624,24576
242,28672,24576
243,30720,24576
244,32768,24576
245,34816,24576
246,36864,24576
248,2048,26624
249,4096,26624
250,6144,26624
251,8192,26624
252,10240,26624
253,12288,26624
254,14336,26624
255,16384,26624
256,18432,26624
257,20480,26624
258,22528,26624
259,24576,26624
260,26624,26624
261,28672,26624
262,30720,26624
263,32768,26624
264,34816,26624
265,36864,26624
267,2048,28672
268,4096,28672
269,6144,28672
270,8192,28672
271,10240,28672
272,12288,28672
273,14336,28672
274,16384,28672
275,18432,28672
276,20480,28672
277,22528,28672
278,24576,28672
279,26624,28672
280,28672,28672
281,30720,28672
282,32768,28672
283,34816,28672
284,36864,28672
286,2048,30720
287,4096,30720
288,6144,30720
289,8192,30720
290,10240,30720
291,12288,30720
292,14336,30720
293,16384,30720
294,18432,30720
295,20480,30720
296,22528,30720
297,24576,30720
298,26624,30720
299,28672,30720
300,30720,30720
301,32768,30720
302,34816,30720
303,36864,30720
305,2048,32768
306,4096,32768
307,6144,32768
308,8192,32768
309,10240,32768
310,12288,32768
311,14336,32768
312,16384,32768
313,18432,32768
314,20480,32768
315,22528,32768
316,24576,32768
317,26624,32768
318,28672,32768
319,30720,32768
320,32768,32768
321,34816,32768
322,36864,32768
324,2048,34816
325,4096,34816
326,6144,34816
327,8192,34816
328,10240,34816
329,12288,34816
330,14336,34816
331,16384,34816
332,18432,34816
333,20480,34816
334,22528,34816
335,24576,34816
336,26624,34816
337,28672,34816
338,30720,34816
339,32768,34816
342,0,36864
343,2048,36864
344,4096,36864
345,6144,36864
346,8192,36864
347,10240,36864
348,12288,36864
349,14336,36864
350,16384,36864
351,18432,36864
352,20480,36864
353,22528,36864
354,24576,36864
355,26624,36864
356,28672,36864
357,30720,36864
358,32768,36864
362,2048,38912
363,4096,38912
364,6144,38912
365,8192,38912
366,10240,38912
367,12288,38912
368,14336,38912
369,16384,38912
370,18432,38912
371,20480,38912
372,22528,38912
373,24576,38912
374,26624,38912
375,28672,38912
