bag_id,x,y
15,30720,0
16,32768,0
33,26624,2048
34,28672,2048
35,30720,2048
36,32768,2048
37,34816,2048
38,36864,2048
45,10240,4096
46,12288,4096
50,20480,4096
51,22528,4096
52,24576,4096
53,26624,4096
54,28672,4096
55,30720,4096
56,32768,4096
57,34816,4096
58,36864,4096
59,38912,4096
64,8192,6144
65,10240,6144
66,12288,6144
67,14336,6144
69,18432,6144
70,20480,6144
71,22528,6144
72,24576,6144
73,26624,6144
74,28672,6144
75,30720,6144
76,32768,6144
77,34816,6144
78,36864,6144
79,38912,6144
84,8192,8192
85,10240,8192
86,12288,8192
87,14336,8192
88,16384,8192
89,18432,8192
90,20480,8192
91,22528,8192
92,24576,8192
93,26624,8192
94,28672,8192
95,30720,8192
96,32768,8192
97,34816,8192
98,36864,8192
99,38912,8192
103,6144,10240
104,8192,10240
105,10240,10240
106,12288,10240
107,14336,10240
108,16384,10240
109,18432,10240
110,20480,10240
111,22528,10240
112,24576,10240
113,26624,10240
114,28672,10240
115,30720,10240
116,32768,10240
117,34816,10240
118,36864,10240
119,38912,10240
122,4096,12288
123,6144,12288
124,8192,12288
125,10240,12288
126,12288,12288
127,14336,12288
128,16384,12288
129,18432,12288
130,20480,12288
131,22528,12288
134,28672,12288
135,30720,12288
136,32768,12288
137,34816,12288
138,36864,12288
139,38912,12288
141,2048,14336
142,4096,14336
143,6144,14336
144,8192,14336
145,10240,14336
146,12288,14336
147,14336,14336
148,16384,14336
149,18432,14336
150,20480,14336
151,22528,14336
156,32768,14336
157,34816,14336
158,36864,14336
159,38912,14336
160,0,16384
161,2048,16384
162,4096,16384
163,6144,16384
164,8192,16384
165,10240,16384
166,12288,16384
167,14336,16384
168,16384,16384
169,18432,16384
170,20480,16384
171,22528,16384
177,34816,16384
178,36864,16384
179,38912,16384
180,0,18432
181,2048,18432
182,4096,18432
183,6144,18432
184,8192,18432
185,10240,18432
186,12288,18432
187,14336,18432
188,16384,18432
189,18432,18432
190,20480,18432
191,22528,18432
196,32768,18432
197,34816,18432
198,36864,18432
199,38912,18432
200,0,20480
201,2048,20480
202,4096,20480
203,6144,20480
204,8192,20480
205,10240,20480
206,12288,20480
207,14336,20480
208,16384,20480
209,18432,20480
210,20480,20480
211,22528,20480
212,24576,20480
216,32768,20480
217,34816,20480
218,36864,20480
219,38912,20480
220,0,22528
221,2048,22528
222,4096,22528
223,6144,22528
224,8192,22528
225,10240,22528
226,12288,22528
227,14336,22528
228,16384,22528
229,18432,22528
230,20480,22528
231,22528,22528
232,24576,22528
233,26624,22528
234,28672,22528
235,30720,22528
236,32768,22528
237,34816,22528
238,36864,22528
239,38912,22528
240,0,24576
241,2048,24576
242,4096,24576
243,6144,24576
244,8192,24576
245,10240,24576
246,12288,24576
250,20480,24576
251,22528,24576
252,24576,24576
253,26624,24576
254,28672,24576
255,30720,24576
256,32768,24576
257,34816,24576
258,36864,24576
259,38912,24576
260,0,26624
261,2048,26624
271,22528,26624
272,24576,26624
273,26624,26624
274,28672,26624
275,30720,26624
276,32768,26624
277,34816,26624
278,36864,26624
279,38912,26624
291,22528,28672
292,24576,28672
294,28672,28672
295,30720,28672
296,32768,28672
297,34816,28672
298,36864,28672
316,32768,30720
317,34816,30720
318,36864,30720
