bag_id,x,y
18,36864,0
25,2048,2048
27,6144,2048
40,32768,2048
41,34816,2048
42,36864,2048
50,4096,4096
51,6144,4096
52,8192,4096
53,10240,4096
61,26624,4096
62,28672,4096
63,30720,4096
64,32768,4096
65,34816,4096
66,36864,4096
71,47104,4096
74,4096,6144
75,6144,6144
76,8192,6144
77,10240,6144
78,12288,6144
79,14336,6144
80,16384,6144
81,18432,6144
82,20480,6144
83,22528,6144
84,24576,6144
85,26624,6144
86,28672,6144
87,30720,6144
88,32768,6144
89,34816,6144
90,36864,6144
91,38912,6144
92,40960,6144
93,43008,6144
97,2048,8192
98,4096,8192
99,6144,8192
100,8192,8192
101,10240,8192
102,12288,8192
103,14336,8192
104,16384,8192
105,18432,8192
106,20480,8192
107,22528,8192
108,24576,8192
109,26624,8192
110,28672,8192
111,30720,8192
112,32768,8192
113,34816,8192
114,36864,8192
115,38912,8192
116,40960,8192
117,43008,8192
118,45056,8192
120,0,10240
121,2048,10240
122,4096,10240
123,6144,10240
124,8192,10240
125,10240,10240
126,12288,10240
127,14336,10240
128,16384,10240
129,18432,10240
130,20480,10240
131,22528,10240
132,24576,10240
133,26624,10240
134,28672,10240
135,30720,10240
136,32768,10240
137,34816,10240
138,36864,10240
139,38912,10240
140,40960,10240
141,43008,10240
142,45056,10240
144,0,12288
145,2048,12288
146,4096,12288
147,6144,12288
148,8192,12288
149,10240,12288
150,12288,12288
151,14336,12288
152,16384,12288
153,18432,12288
154,20480,12288
155,22528,12288
156,24576,12288
157,26624,12288
158,28672,12288
159,30720,12288
160,32768,12288
161,34816,12288
162,36864,12288
163,38912,12288
164,40960,12288
165,43008,12288
168,0,14336
169,2048,14336
170,4096,14336
171,6144,14336
172,8192,14336
173,10240,14336
174,12288,14336
175,14336,14336
176,16384,14336
177,18432,14336
178,20480,14336
179,22528,14336
180,24576,14336
181,26624,14336
182,28672,14336
183,30720,14336
184,32768,14336
185,34816,14336
186,36864,14336
187,38912,14336
188,40960,14336
192,0,16384
193,2048,16384
194,4096,16384
195,6144,16384
196,8192,16384
197,10240,16384
198,12288,16384
199,14336,16384
200,16384,16384
201,18432,16384
202,20480,16384
203,22528,16384
204,24576,16384
205,26624,16384
206,28672,16384
207,30720,16384
208,32768,16384
209,34816,16384
210,36864,16384
211,38912,16384
216,0,18432
217,2048,18432
218,4096,18432
219,6144,18432
220,8192,18432
221,10240,18432
222,12288,18432
223,14336,18432
224,16384,18432
225,18432,18432
226,20480,18432
227,22528,18432
228,24576,18432
229,26624,18432
230,28672,18432
231,30720,18432
232,32768,18432
233,34816,18432
241,2048,20480
242,4096,20480
243,6144,20480
244,8192,20480
245,10240,20480
246,12288,20480
247,14336,20480
248,16384,20480
249,18432,20480
250,20480,20480
251,22528,20480
252,24576,20480
254,28672,20480
255,30720,20480
256,32768,20480
267,6144,22528
268,8192,22528
269,10240,22528
270,12288,22528
271,14336,22528
272,16384,22528
273,18432,22528
274,20480,22528
