bag_id,x,y
14,28672,0
15,30720,0
20,40960,0
21,43008,0
27,4096,2048
28,6144,2048
29,8192,2048
36,22528,2048
37,24576,2048
38,26624,2048
39,28672,2048
40,30720,2048
43,36864,2048
44,38912,2048
45,40960,2048
46,43008,2048
47,45056,2048
49,49152,2048
51,2048,4096
52,4096,4096
53,6144,4096
54,8192,4096
55,10240,4096
56,12288,4096
57,14336,4096
58,16384,4096
59,18432,4096
60,20480,4096
61,22528,4096
62,24576,4096
63,26624,4096
64,28672,4096
65,30720,4096
66,32768,4096
67,34816,4096
68,36864,4096
69,38912,4096
70,40960,4096
71,43008,4096
72,45056,4096
73,47104,4096
74,49152,4096
76,2048,6144
77,4096,6144
78,6144,6144
79,8192,6144
80,10240,6144
81,12288,6144
82,14336,6144
83,16384,6144
84,18432,6144
85,20480,6144
86,22528,6144
87,24576,6144
88,26624,6144
89,28672,6144
90,30720,6144
91,32768,6144
92,34816,6144
93,36864,6144
94,38912,6144
95,40960,6144
96,43008,6144
97,45056,6144
98,47104,6144
99,49152,6144
101,2048,8192
102,4096,8192
103,6144,8192
104,8192,8192
105,10240,8192
106,12288,8192
107,14336,8192
108,16384,8192
109,18432,8192
110,20480,8192
111,22528,8192
112,24576,8192
113,26624,8192
114,28672,8192
115,30720,8192
116,32768,8192
117,34816,8192
118,36864,8192
119,38912,8192
120,40960,8192
121,43008,8192
122,45056,8192
123,47104,8192
124,49152,8192
125,0,10240
126,2048,10240
127,4096,10240
128,6144,10240
129,8192,10240
130,10240,10240
131,12288,10240
132,14336,10240
133,16384,10240
134,18432,10240
135,20480,10240
136,22528,10240
137,24576,10240
138,26624,10240
139,28672,10240
140,30720,10240
141,32768,10240
142,34816,10240
143,36864,10240
144,38912,10240
145,40960,10240
146,43008,10240
147,45056,10240
148,47104,10240
149,49152,10240
150,0,12288
151,2048,12288
152,4096,12288
153,6144,12288
154,8192,12288
155,10240,12288
156,12288,12288
157,14336,12288
158,16384,12288
159,18432,12288
160,20480,12288
161,22528,12288
162,24576,12288
163,26624,12288
164,28672,12288
165,30720,12288
166,32768,12288
167,34816,12288
168,36864,12288
169,38912,12288
170,40960,12288
171,43008,12288
172,45056,12288
173,47104,12288
174,49152,12288
175,0,14336
176,2048,14336
177,4096,14336
178,6144,14336
179,8192,14336
180,10240,14336
181,12288,14336
182,14336,14336
183,16384,14336
184,18432,14336
185,20480,14336
186,22528,14336
187,24576,14336
188,26624,14336
189,28672,14336
190,30720,14336
191,32768,14336
192,34816,14336
193,36864,14336
194,38912,14336
195,40960,14336
196,43008,14336
197,45056,14336
198,47104,14336
200,0,16384
201,2048,16384
202,4096,16384
203,6144,16384
204,8192,16384
205,10240,16384
206,12288,16384
207,14336,16384
208,16384,16384
209,18432,16384
210,20480,16384
211,22528,16384
212,24576,16384
213,26624,16384
217,34816,16384
218,36864,16384
219,38912,16384
220,40960,16384
221,43008,16384
222,45056,16384
225,0,18432
226,2048,18432
227,4096,18432
228,6144,18432
229,8192,18432
230,10240,18432
231,12288,18432
232,14336,18432
233,16384,18432
234,18432,18432
235,20480,18432
236,22528,18432
251,2048,20480
252,4096,20480
253,6144,20480
256,12288,20480
257,14336,20480
258,16384,20480
259,18432,20480
