bag_id,x,y
7,14336,0
8,16384,0
9,18432,0
10,20480,0
13,26624,0
23,14336,2048
24,16384,2048
25,18432,2048
26,20480,2048
28,24576,2048
29,26624,2048
34,4096,4096
38,12288,4096
39,14336,4096
40,16384,4096
41,18432,4096
42,20480,4096
44,24576,4096
45,26624,4096
48,0,6144
50,4096,6144
54,12288,6144
55,14336,6144
56,16384,6144
57,18432,6144
58,20480,6144
59,22528,6144
60,24576,6144
61,26624,6144
64,0,8192
65,2048,8192
66,4096,8192
67,6144,8192
69,10240,8192
70,12288,8192
71,14336,8192
72,16384,8192
73,18432,8192
74,20480,8192
75,22528,8192
76,24576,8192
77,26624,8192
80,0,10240
81,2048,10240
82,4096,10240
83,6144,10240
84,8192,10240
85,10240,10240
86,12288,10240
87,14336,10240
88,16384,10240
89,18432,10240
90,20480,10240
91,22528,10240
92,24576,10240
93,26624,10240
96,0,12288
97,2048,12288
98,4096,12288
99,6144,12288
100,8192,12288
101,10240,12288
102,12288,12288
103,14336,12288
104,16384,12288
105,18432,12288
106,20480,12288
107,22528,12288
108,24576,12288
109,26624,12288
112,0,14336
113,2048,14336
114,4096,14336
115,6144,14336
116,8192,14336
117,10240,14336
118,12288,14336
119,14336,14336
120,16384,14336
121,18432,14336
122,20480,14336
123,22528,14336
124,24576,14336
125,26624,14336
129,2048,16384
130,4096,16384
131,6144,16384
134,12288,16384
135,14336,16384
136,16384,16384
137,18432,16384
138,20480,16384
139,22528,16384
145,2048,18432
146,4096,18432
147,6144,18432
151,14336,18432
152,16384,18432
154,20480,18432
155,22528,18432
156,24576,18432
160,0,20480
161,2048,20480
162,4096,20480
163,6144,20480
164,8192,20480
167,14336,20480
168,16384,20480
169,18432,20480
170,20480,20480
171,22528,20480
172,24576,20480
173,26624,20480
174,28672,20480
176,0,22528
177,2048,22528
178,4096,22528
179,6144,22528
180,8192,22528
181,10240,22528
182,12288,22528
183,14336,22528
184,16384,22528
185,18432,22528
186,20480,22528
187,22528,22528
188,24576,22528
189,26624,22528
190,28672,22528
191,30720,22528
192,0,24576
193,2048,24576
194,4096,24576
195,6144,24576
196,8192,24576
197,10240,24576
198,12288,24576
199,14336,24576
200,16384,24576
201,18432,24576
202,20480,24576
203,22528,24576
204,24576,24576
205,26624,24576
206,28672,24576
207,30720,24576
208,0,26624
209,2048,26624
213,10240,26624
214,12288,26624
215,14336,26624
216,16384,26624
217,18432,26624
218,20480,26624
219,22528,26624
220,24576,26624
221,26624,26624
222,28672,26624
223,30720,26624
224,0,28672
225,2048,28672
226,4096,28672
227,6144,28672
232,16384,28672
233,18432,28672
236,24576,28672
237,26624,28672
238,28672,28672
239,30720,28672
241,2048,30720
242,4096,30720
243,6144,30720
245,10240,30720
248,16384,30720
249,18432,30720
250,20480,30720
252,24576,30720
253,26624,30720
255,30720,30720
259,6144,32768
260,8192,32768
261,10240,32768
262,12288,32768
264,16384,32768
265,18432,32768
266,20480,32768
268,24576,32768
269,26624,32768
270,28672,32768
271,30720,32768
277,10240,34816
279,14336,34816
280,16384,34816
281,18432,34816
282,20480,34816
284,24576,34816
285,26624,34816
286,28672,34816
287,30720,34816
295,14336,36864
296,16384,36864
301,26624,36864
302,28672,36864
303,30720,36864
313,18432,38912
314,20480,38912
317,26624,38912
318,28672,38912
