bag_id,x,y
9,18432,0
10,20480,0
11,22528,0
12,24576,0
13,26624,0
14,28672,0
15,30720,0
32,16384,2048
33,18432,2048
34,20480,2048
35,22528,2048
36,24576,2048
37,26624,2048
38,28672,2048
39,30720,2048
40,32768,2048
41,34816,2048
42,36864,2048
43,38912,2048
56,16384,4096
57,18432,4096
58,20480,4096
59,22528,4096
60,24576,4096
61,26624,4096
62,28672,4096
63,30720,4096
64,32768,4096
65,34816,4096
66,36864,4096
67,38912,4096
68,40960,4096
79,14336,6144
80,16384,6144
81,18432,6144
82,20480,6144
83,22528,6144
84,24576,6144
85,26624,6144
86,28672,6144
87,30720,6144
88,32768,6144
89,34816,6144
90,36864,6144
91,38912,6144
92,40960,6144
93,43008,6144
103,14336,8192
104,16384,8192
105,18432,8192
106,20480,8192
107,22528,8192
108,24576,8192
109,26624,8192
110,28672,8192
111,30720,8192
112,32768,8192
113,34816,8192
114,36864,8192
115,38912,8192
116,40960,8192
117,43008,8192
118,45056,8192
119,47104,8192
126,12288,10240
127,14336,10240
128,16384,10240
129,18432,10240
130,20480,10240
131,22528,10240
132,24576,10240
133,26624,10240
134,28672,10240
135,30720,10240
136,32768,10240
137,34816,10240
138,36864,10240
139,38912,10240
140,40960,10240
141,43008,10240
142,45056,10240
143,47104,10240
150,12288,12288
151,14336,12288
152,16384,12288
153,18432,12288
154,20480,12288
155,22528,12288
156,24576,12288
157,26624,12288
158,28672,12288
159,30720,12288
160,32768,12288
161,34816,12288
162,36864,12288
163,38912,12288
164,40960,12288
165,43008,12288
166,45056,12288
167,47104,12288
169,2048,14336
175,14336,14336
176,16384,14336
177,18432,14336
178,20480,14336
179,22528,14336
180,24576,14336
181,26624,14336
182,28672,14336
183,30720,14336
184,32768,14336
185,34816,14336
186,36864,14336
187,38912,14336
188,40960,14336
189,43008,14336
190,45056,14336
192,0,16384
193,2048,16384
194,4096,16384
195,6144,16384
196,8192,16384
201,18432,16384
202,20480,16384
203,22528,16384
204,24576,16384
205,26624,16384
206,28672,16384
207,30720,16384
208,32768,16384
209,34816,16384
210,36864,16384
211,38912,16384
212,40960,16384
213,43008,16384
214,45056,16384
217,2048,18432
218,4096,18432
219,6144,18432
220,8192,18432
221,10240,18432
222,12288,18432
227,22528,18432
228,24576,18432
229,26624,18432
230,28672,18432
231,30720,18432
232,32768,18432
233,34816,18432
234,36864,18432
235,38912,18432
236,40960,18432
237,43008,18432
238,45056,18432
241,2048,20480
242,4096,20480
243,6144,20480
244,8192,20480
245,10240,20480
246,12288,20480
247,14336,20480
248,16384,20480
249,18432,20480
250,20480,20480
251,22528,20480
252,24576,20480
253,26624,20480
254,28672,20480
255,30720,20480
256,32768,20480
257,34816,20480
258,36864,20480
259,38912,20480
260,40960,20480
261,43008,20480
262,45056,20480
267,6144,22528
268,8192,22528
269,10240,22528
270,12288,22528
271,14336,22528
272,16384,22528
273,18432,22528
274,20480,22528
275,22528,22528
276,24576,22528
277,26624,22528
278,28672,22528
279,30720,22528
280,32768,22528
281,34816,22528
282,36864,22528
283,38912,22528
284,40960,22528
285,43008,22528
286,45056,22528
291,6144,24576
292,8192,24576
293,10240,24576
294,12288,24576
295,14336,24576
296,16384,24576
297,18432,24576
298,20480,24576
299,22528,24576
300,24576,24576
301,26624,24576
302,28672,24576
303,30720,24576
304,32768,24576
305,34816,24576
306,36864,24576
307,38912,24576
308,40960,24576
309,43008,24576
315,6144,26624
316,8192,26624
317,10240,26624
318,12288,26624
319,14336,26624
320,16384,26624
321,18432,26624
322,20480,26624
323,22528,26624
324,24576,26624
325,26624,26624
326,28672,26624
327,30720,26624
328,32768,26624
329,34816,26624
330,36864,26624
331,38912,26624
332,40960,26624
333,43008,26624
340,8192,28672
341,10240,28672
342,12288,28672
343,14336,28672
345,18432,28672
346,20480,28672
347,22528,28672
348,24576,28672
349,26624,28672
350,28672,28672
351,30720,28672
352,32768,28672
353,34816,28672
354,36864,28672
355,38912,28672
356,40960,28672
370,20480,30720
371,22528,30720
372,24576,30720
373,26624,30720
374,28672,30720
375,30720,30720
376,32768,30720
377,34816,30720
378,36864,30720
393,18432,32768
394,20480,32768
395,22528,32768
396,24576,32768
397,26624,32768
398,28672,32768
399,30720,32768
400,32768,32768
401,34816,32768
417,18432,34816
418,20480,34816
419,22528,34816
420,24576,34816
421,26624,34816
422,28672,34816
423,30720,34816
424,32768,34816
440,16384,36864
441,18432,36864
442,20480,36864
443,22528,36864
444,24576,36864
445,26624,36864
446,28672,36864
