bag_id,x,y
10,20480,0
11,22528,0
12,24576,0
25,14336,2048
26,16384,2048
27,18432,2048
28,20480,2048
29,22528,2048
30,24576,2048
32,28672,2048
33,30720,2048
34,32768,2048
43,14336,4096
44,16384,4096
45,18432,4096
46,20480,4096
47,22528,4096
48,24576,4096
49,26624,4096
50,28672,4096
51,30720,4096
52,32768,4096
54,0,6144
55,2048,6144
56,4096,6144
60,12288,6144
63,18432,6144
64,20480,6144
65,22528,6144
66,24576,6144
67,26624,6144
68,28672,6144
69,30720,6144
70,32768,6144
71,34816,6144
72,0,8192
73,2048,8192
74,4096,8192
75,6144,8192
76,8192,8192
77,10240,8192
78,12288,8192
79,14336,8192
80,16384,8192
81,18432,8192
82,20480,8192
83,22528,8192
84,24576,8192
85,26624,8192
86,28672,8192
87,30720,8192
88,32768,8192
89,34816,8192
90,0,10240
91,2048,10240
92,4096,10240
93,6144,10240
94,8192,10240
95,10240,10240
96,12288,10240
97,14336,10240
98,16384,10240
99,18432,10240
100,20480,10240
101,22528,10240
102,24576,10240
103,26624,10240
104,28672,10240
105,30720,10240
106,32768,10240
107,34816,10240
108,0,12288
109,2048,12288
110,4096,12288
111,6144,12288
112,8192,12288
113,10240,12288
114,12288,12288
115,14336,12288
116,16384,12288
117,18432,12288
118,20480,12288
119,22528,12288
120,24576,12288
121,26624,12288
122,28672,12288
123,30720,12288
124,32768,12288
125,34816,12288
126,0,14336
127,2048,14336
128,4096,14336
129,6144,14336
130,8192,14336
131,10240,14336
132,12288,14336
133,14336,14336
134,16384,14336
135,18432,14336
136,20480,14336
137,22528,14336
138,24576,14336
139,26624,14336
140,28672,14336
141,30720,14336
142,32768,14336
143,34816,14336
144,0,16384
145,2048,16384
146,4096,16384
147,6144,16384
148,8192,16384
149,10240,16384
150,12288,16384
151,14336,16384
152,16384,16384
153,18432,16384
154,20480,16384
155,22528,16384
156,24576,16384
157,26624,16384
158,28672,16384
159,30720,16384
160,32768,16384
161,34816,16384
162,0,18432
163,2048,18432
164,4096,18432
165,6144,18432
166,8192,18432
167,10240,18432
168,12288,18432
169,14336,18432
170,16384,18432
171,18432,18432
172,20480,18432
173,22528,18432
174,24576,18432
175,26624,18432
176,28672,18432
177,30720,18432
178,32768,18432
179,34816,18432
180,0,20480
181,2048,20480
182,4096,20480
183,6144,20480
184,8192,20480
185,10240,20480
186,12288,20480
187,14336,20480
188,16384,20480
189,18432,20480
190,20480,20480
191,22528,20480
192,24576,20480
193,26624,20480
194,28672,20480
195,30720,20480
196,32768,20480
197,34816,20480
199,2048,22528
200,4096,22528
201,6144,22528
202,8192,22528
203,10240,22528
204,12288,22528
205,14336,22528
206,16384,22528
207,18432,22528
208,20480,22528
209,22528,22528
210,24576,22528
211,26624,22528
212,28672,22528
213,30720,22528
214,32768,22528
215,34816,22528
218,4096,24576
219,6144,24576
220,8192,24576
221,10240,24576
222,12288,24576
223,14336,24576
224,16384,24576
225,18432,24576
227,22528,24576
228,24576,24576
229,26624,24576
230,28672,24576
231,30720,24576
232,32768,24576
235,2048,26624
236,4096,26624
237,6144,26624
238,8192,26624
239,10240,26624
240,12288,26624
241,14336,26624
242,16384,26624
243,18432,26624
246,24576,26624
247,26624,26624
248,28672,26624
249,30720,26624
250,32768,26624
253,2048,28672
254,4096,28672
255,6144,28672
256,8192,28672
257,10240,28672
258,12288,28672
259,14336,28672
260,16384,28672
261,18432,28672
264,24576,28672
265,26624,28672
266,28672,28672
267,30720,28672
