bag_id,x,y
14,28672,0
15,30720,0
16,32768,0
17,34816,0
18,36864,0
19,38912,0
40,16384,2048
41,18432,2048
42,20480,2048
43,22528,2048
44,24576,2048
45,26624,2048
46,28672,2048
47,30720,2048
48,32768,2048
49,34816,2048
50,36864,2048
51,38912,2048
52,40960,2048
74,20480,4096
75,22528,4096
76,24576,4096
77,26624,4096
78,28672,4096
79,30720,4096
80,32768,4096
81,34816,4096
82,36864,4096
83,38912,4096
84,40960,4096
107,22528,6144
108,24576,6144
109,26624,6144
110,28672,6144
111,30720,6144
112,32768,6144
113,34816,6144
114,36864,6144
115,38912,6144
116,40960,6144
117,43008,6144
140,24576,8192
141,26624,8192
142,28672,8192
143,30720,8192
144,32768,8192
145,34816,8192
146,36864,8192
147,38912,8192
148,40960,8192
149,43008,8192
150,45056,8192
172,24576,10240
173,26624,10240
174,28672,10240
175,30720,10240
176,32768,10240
177,34816,10240
178,36864,10240
179,38912,10240
180,40960,10240
181,43008,10240
182,45056,10240
203,22528,12288
204,24576,12288
205,26624,12288
206,28672,12288
207,30720,12288
208,32768,12288
209,34816,12288
210,36864,12288
211,38912,12288
212,40960,12288
213,43008,12288
214,45056,12288
215,47104,12288
235,22528,14336
236,24576,14336
237,26624,14336
238,28672,14336
239,30720,14336
240,32768,14336
241,34816,14336
242,36864,14336
243,38912,14336
244,40960,14336
245,43008,14336
246,45056,14336
247,47104,14336
266,20480,16384
267,22528,16384
268,24576,16384
269,26624,16384
270,28672,16384
271,30720,16384
272,32768,16384
273,34816,16384
274,36864,16384
275,38912,16384
276,40960,16384
277,43008,16384
278,45056,16384
279,47104,16384
298,20480,18432
299,22528,18432
300,24576,18432
301,26624,18432
302,28672,18432
303,30720,18432
304,32768,18432
305,34816,18432
306,36864,18432
307,38912,18432
308,40960,18432
309,43008,18432
310,45056,18432
311,47104,18432
330,20480,20480
331,22528,20480
332,24576,20480
333,26624,20480
334,28672,20480
335,30720,20480
338,36864,20480
339,38912,20480
340,40960,20480
341,43008,20480
342,45056,20480
343,47104,20480
361,18432,22528
362,20480,22528
363,22528,22528
364,24576,22528
365,26624,22528
366,28672,22528
367,30720,22528
370,36864,22528
371,38912,22528
372,40960,22528
373,43008,22528
374,45056,22528
375,47104,22528
376,49152,22528
393,18432,24576
394,20480,24576
395,22528,24576
396,24576,24576
397,26624,24576
398,28672,24576
399,30720,24576
403,38912,24576
404,40960,24576
405,43008,24576
406,45056,24576
407,47104,24576
408,49152,24576
425,18432,26624
426,20480,26624
427,22528,26624
428,24576,26624
429,26624,26624
430,28672,26624
431,30720,26624
435,38912,26624
436,40960,26624
437,43008,26624
438,45056,26624
439,47104,26624
440,49152,26624
457,18432,28672
458,20480,28672
459,22528,28672
460,24576,28672
461,26624,28672
462,28672,28672
463,30720,28672
464,32768,28672
467,38912,28672
468,40960,28672
469,43008,28672
470,45056,28672
471,47104,28672
472,49152,28672
490,20480,30720
491,22528,30720
492,24576,30720
493,26624,30720
494,28672,30720
495,30720,30720
496,32768,30720
497,34816,30720
498,36864,30720
499,38912,30720
500,40960,30720
501,43008,30720
502,45056,30720
503,47104,30720
504,49152,30720
522,20480,32768
523,22528,32768
524,24576,32768
525,26624,32768
526,28672,32768
527,30720,32768
528,32768,32768
529,34816,32768
530,36864,32768
531,38912,32768
532,40960,32768
533,43008,32768
534,45056,32768
535,47104,32768
536,49152,32768
537,51200,32768
554,20480,34816
555,22528,34816
556,24576,34816
557,26624,34816
558,28672,34816
559,30720,34816
560,32768,34816
561,34816,34816
562,36864,34816
563,38912,34816
564,40960,34816
565,43008,34816
566,45056,34816
567,47104,34816
568,49152,34816
569,51200,34816
586,20480,36864
587,22528,36864
588,24576,36864
589,26624,36864
590,28672,36864
591,30720,36864
592,32768,36864
593,34816,36864
594,36864,36864
595,38912,36864
596,40960,36864
597,43008,36864
598,45056,36864
599,47104,36864
600,49152,36864
601,51200,36864
614,12288,38912
615,14336,38912
616,16384,38912
617,18432,38912
618,20480,38912
619,22528,38912
620,24576,38912
621,26624,38912
622,28672,38912
623,30720,38912
624,32768,38912
625,34816,38912
626,36864,38912
627,38912,38912
628,40960,38912
629,43008,38912
630,45056,38912
631,47104,38912
632,49152,38912
633,51200,38912
646,12288,40960
647,14336,40960
648,16384,40960
649,18432,40960
650,20480,40960
651,22528,40960
652,24576,40960
653,26624,40960
654,28672,40960
655,30720,40960
656,32768,40960
657,34816,40960
658,36864,40960
659,38912,40960
660,40960,40960
661,43008,40960
662,45056,40960
663,47104,40960
664,49152,40960
665,51200,40960
678,12288,43008
679,14336,43008
680,16384,43008
681,18432,43008
682,20480,43008
683,22528,43008
684,24576,43008
685,26624,43008
686,28672,43008
687,30720,43008
688,32768,43008
689,34816,43008
690,36864,43008
691,38912,43008
692,40960,43008
693,43008,43008
694,45056,43008
695,47104,43008
696,49152,43008
697,51200,43008
710,12288,45056
711,14336,45056
712,16384,45056
713,18432,45056
714,20480,45056
715,22528,45056
716,24576,45056
717,26624,45056
718,28672,45056
719,30720,45056
720,32768,45056
721,34816,45056
722,36864,45056
723,38912,45056
724,40960,45056
725,43008,45056
726,45056,45056
727,47104,45056
728,49152,45056
729,51200,45056
730,53248,45056
742,12288,47104
743,14336,47104
744,16384,47104
745,18432,47104
746,20480,47104
747,22528,47104
748,24576,47104
749,26624,47104
750,28672,47104
751,30720,47104
752,32768,47104
753,34816,47104
754,36864,47104
755,38912,47104
756,40960,47104
757,43008,47104
758,45056,47104
759,47104,47104
760,49152,47104
761,51200,47104
762,53248,47104
774,12288,49152
775,14336,49152
776,16384,49152
777,18432,49152
778,20480,49152
779,22528,49152
780,24576,49152
781,26624,49152
782,28672,49152
783,30720,49152
784,32768,49152
785,34816,49152
786,36864,49152
787,38912,49152
788,40960,49152
789,43008,49152
790,45056,49152
791,47104,49152
792,49152,49152
793,51200,49152
794,53248,49152
807,14336,51200
809,18432,51200
810,20480,51200
811,22528,51200
812,24576,51200
813,26624,51200
814,28672,51200
815,30720,51200
816,32768,51200
817,34816,51200
818,36864,51200
819,38912,51200
820,40960,51200
821,43008,51200
822,45056,51200
823,47104,51200
824,49152,51200
825,51200,51200
826,53248,51200
843,22528,53248
844,24576,53248
845,26624,53248
846,28672,53248
847,30720,53248
848,32768,53248
849,34816,53248
850,36864,53248
851,38912,53248
852,40960,53248
853,43008,53248
854,45056,53248
855,47104,53248
856,49152,53248
857,51200,53248
877,26624,55296
878,28672,55296
879,30720,55296
880,32768,55296
881,34816,55296
882,36864,55296
883,38912,55296
884,40960,55296
885,43008,55296
886,45056,55296
887,47104,55296
888,49152,55296
914,36864,57344
915,38912,57344
916,40960,57344
