bag_id,x,y
12,24576,0
13,26624,0
14,28672,0
15,30720,0
16,32768,0
17,34816,0
18,36864,0
19,38912,0
20,40960,0
21,43008,0
22,45056,0
34,22528,2048
35,24576,2048
36,26624,2048
37,28672,2048
38,30720,2048
39,32768,2048
40,34816,2048
41,36864,2048
42,38912,2048
43,40960,2048
44,43008,2048
45,45056,2048
56,20480,4096
57,22528,4096
58,24576,4096
59,26624,4096
60,28672,4096
61,30720,4096
62,32768,4096
63,34816,4096
64,36864,4096
65,38912,4096
66,40960,4096
67,43008,4096
68,45056,4096
78,18432,6144
79,20480,6144
80,22528,6144
81,24576,6144
82,26624,6144
83,28672,6144
84,30720,6144
85,32768,6144
86,34816,6144
87,36864,6144
88,38912,6144
89,40960,6144
90,43008,6144
91,45056,6144
100,16384,8192
101,18432,8192
102,20480,8192
103,22528,8192
104,24576,8192
105,26624,8192
106,28672,8192
107,30720,8192
108,32768,8192
109,34816,8192
110,36864,8192
111,38912,8192
112,40960,8192
113,43008,8192
114,45056,8192
122,14336,10240
123,16384,10240
124,18432,10240
125,20480,10240
126,22528,10240
127,24576,10240
128,26624,10240
129,28672,10240
130,30720,10240
131,32768,10240
132,34816,10240
133,36864,10240
134,38912,10240
135,40960,10240
136,43008,10240
137,45056,10240
144,12288,12288
145,14336,12288
146,16384,12288
147,18432,12288
148,20480,12288
149,22528,12288
150,24576,12288
151,26624,12288
152,28672,12288
153,30720,12288
154,32768,12288
155,34816,12288
156,36864,12288
157,38912,12288
158,40960,12288
159,43008,12288
160,45056,12288
166,10240,14336
167,12288,14336
168,14336,14336
169,16384,14336
170,18432,14336
171,20480,14336
172,22528,14336
173,24576,14336
174,26624,14336
175,28672,14336
176,30720,14336
177,32768,14336
178,34816,14336
179,36864,14336
180,38912,14336
181,40960,14336
182,43008,14336
183,45056,14336
188,8192,16384
189,10240,16384
190,12288,16384
191,14336,16384
192,16384,16384
193,18432,16384
194,20480,16384
195,22528,16384
196,24576,16384
197,26624,16384
198,28672,16384
199,30720,16384
200,32768,16384
201,34816,16384
202,36864,16384
203,38912,16384
204,40960,16384
205,43008,16384
206,45056,16384
210,6144,18432
211,8192,18432
212,10240,18432
213,12288,18432
214,14336,18432
215,16384,18432
216,18432,18432
217,20480,18432
218,22528,18432
219,24576,18432
220,26624,18432
221,28672,18432
222,30720,18432
223,32768,18432
224,34816,18432
225,36864,18432
226,38912,18432
227,40960,18432
228,43008,18432
229,45056,18432
232,4096,20480
233,6144,20480
234,8192,20480
235,10240,20480
236,12288,20480
237,14336,20480
238,16384,20480
239,18432,20480
240,20480,20480
241,22528,20480
242,24576,20480
243,26624,20480
244,28672,20480
245,30720,20480
246,32768,20480
247,34816,20480
248,36864,20480
249,38912,20480
250,40960,20480
251,43008,20480
252,45056,20480
254,2048,22528
255,4096,22528
256,6144,22528
257,8192,22528
258,10240,22528
259,12288,22528
260,14336,22528
261,16384,22528
262,18432,22528
263,20480,22528
264,22528,22528
265,24576,22528
266,26624,22528
267,28672,22528
268,30720,22528
269,32768,22528
270,34816,22528
271,36864,22528
272,38912,22528
273,40960,22528
274,43008,22528
275,45056,22528
276,0,24576
277,2048,24576
278,4096,24576
279,6144,24576
280,8192,24576
281,10240,24576
282,12288,24576
283,14336,24576
284,16384,24576
285,18432,24576
286,20480,24576
287,22528,24576
288,24576,24576
289,26624,24576
290,28672,24576
291,30720,24576
292,32768,24576
293,34816,24576
294,36864,24576
295,38912,24576
296,40960,24576
297,43008,24576
298,45056,24576
299,0,26624
300,2048,26624
301,4096,26624
302,6144,26624
303,8192,26624
304,10240,26624
305,12288,26624
306,14336,26624
307,16384,26624
308,18432,26624
309,20480,26624
310,22528,26624
311,24576,26624
312,26624,26624
313,28672,26624
314,30720,26624
315,32768,26624
316,34816,26624
317,36864,26624
318,38912,26624
319,40960,26624
320,43008,26624
321,45056,26624
322,0,28672
323,2048,28672
324,4096,28672
325,6144,28672
326,8192,28672
327,10240,28672
328,12288,28672
329,14336,28672
330,16384,28672
331,18432,28672
332,20480,28672
333,22528,28672
334,24576,28672
335,26624,28672
336,28672,28672
337,30720,28672
338,32768,28672
339,34816,28672
340,36864,28672
341,38912,28672
342,40960,28672
343,43008,28672
345,0,30720
346,2048,30720
347,4096,30720
348,6144,30720
349,8192,30720
350,10240,30720
351,12288,30720
352,14336,30720
353,16384,30720
354,18432,30720
355,20480,30720
356,22528,30720
357,24576,30720
358,26624,30720
359,28672,30720
360,30720,30720
361,32768,30720
362,34816,30720
363,36864,30720
364,38912,30720
365,40960,30720
366,43008,30720
368,0,32768
369,2048,32768
370,4096,32768
371,6144,32768
372,8192,32768
373,10240,32768
374,12288,32768
375,14336,32768
376,16384,32768
377,18432,32768
378,20480,32768
379,22528,32768
380,24576,32768
381,26624,32768
382,28672,32768
383,30720,32768
384,32768,32768
385,34816,32768
386,36864,32768
387,38912,32768
388,40960,32768
391,0,34816
392,2048,34816
393,4096,34816
394,6144,34816
395,8192,34816
396,10240,34816
397,12288,34816
398,14336,34816
399,16384,34816
400,18432,34816
401,20480,34816
402,22528,34816
403,24576,34816
404,26624,34816
405,28672,34816
406,30720,34816
407,32768,34816
408,34816,34816
409,36864,34816
410,38912,34816
411,40960,34816
414,0,36864
415,2048,36864
416,4096,36864
417,6144,36864
418,8192,36864
419,10240,36864
420,12288,36864
421,14336,36864
422,16384,36864
423,18432,36864
424,20480,36864
425,22528,36864
426,24576,36864
427,26624,36864
428,28672,36864
429,30720,36864
430,32768,36864
431,34816,36864
437,0,38912
438,2048,38912
439,4096,38912
440,6144,38912
441,8192,38912
442,10240,38912
443,12288,38912
444,14336,38912
445,16384,38912
446,18432,38912
447,20480,38912
448,22528,38912
449,24576,38912
450,26624,38912
451,28672,38912
452,30720,38912
453,32768,38912
454,34816,38912
460,0,40960
461,2048,40960
462,4096,40960
463,6144,40960
464,8192,40960
465,10240,40960
466,12288,40960
467,14336,40960
468,16384,40960
469,18432,40960
470,20480,40960
471,22528,40960
472,24576,40960
473,26624,40960
474,28672,40960
475,30720,40960
476,32768,40960
483,0,43008
484,2048,43008
485,4096,43008
486,6144,43008
487,8192,43008
488,10240,43008
489,12288,43008
490,14336,43008
491,16384,43008
492,18432,43008
493,20480,43008
494,22528,43008
495,24576,43008
496,26624,43008
497,28672,43008
498,30720,43008
499,32768,43008
507,2048,45056
508,4096,45056
509,6144,45056
510,8192,45056
511,10240,45056
512,12288,45056
513,14336,45056
514,16384,45056
515,18432,45056
516,20480,45056
517,22528,45056
518,24576,45056
519,26624,45056
520,28672,45056
521,30720,45056
