bag_id,x,y
91,55296,4096
92,57344,4096
93,59392,4096
123,55296,6144
124,57344,6144
125,59392,6144
126,61440,6144
127,63488,6144
154,53248,8192
155,55296,8192
156,57344,8192
157,59392,8192
158,61440,8192
159,63488,8192
163,6144,10240
164,8192,10240
165,10240,10240
166,12288,10240
167,14336,10240
168,16384,10240
169,18432,10240
170,20480,10240
171,22528,10240
172,24576,10240
181,43008,10240
182,45056,10240
183,47104,10240
184,49152,10240
185,51200,10240
186,53248,10240
187,55296,10240
188,57344,10240
189,59392,10240
190,61440,10240
191,63488,10240
194,4096,12288
195,6144,12288
196,8192,12288
197,10240,12288
198,12288,12288
199,14336,12288
200,16384,12288
201,18432,12288
202,20480,12288
203,22528,12288
204,24576,12288
205,26624,12288
206,28672,12288
207,30720,12288
208,32768,12288
209,34816,12288
210,36864,12288
211,38912,12288
212,40960,12288
213,43008,12288
214,45056,12288
215,47104,12288
216,49152,12288
217,51200,12288
218,53248,12288
219,55296,12288
220,57344,12288
221,59392,12288
222,61440,12288
223,63488,12288
226,4096,14336
227,6144,14336
228,8192,14336
229,10240,14336
230,12288,14336
231,14336,14336
232,16384,14336
233,18432,14336
234,20480,14336
235,22528,14336
236,24576,14336
237,26624,14336
238,28672,14336
239,30720,14336
240,32768,14336
241,34816,14336
242,36864,14336
243,38912,14336
244,40960,14336
245,43008,14336
246,45056,14336
247,47104,14336
248,49152,14336
249,51200,14336
250,53248,14336
251,55296,14336
252,57344,14336
253,59392,14336
254,61440,14336
255,63488,14336
258,4096,16384
259,6144,16384
260,8192,16384
261,10240,16384
262,12288,16384
263,14336,16384
264,16384,16384
265,18432,16384
266,20480,16384
267,22528,16384
268,24576,16384
269,26624,16384
270,28672,16384
271,30720,16384
272,32768,16384
273,34816,16384
274,36864,16384
275,38912,16384
276,40960,16384
277,43008,16384
278,45056,16384
279,47104,16384
280,49152,16384
281,51200,16384
282,53248,16384
283,55296,16384
284,57344,16384
285,59392,16384
286,61440,16384
290,4096,18432
292,8192,18432
293,10240,18432
294,12288,18432
295,14336,18432
296,16384,18432
297,18432,18432
298,20480,18432
299,22528,18432
300,24576,18432
301,26624,18432
302,28672,18432
303,30720,18432
304,32768,18432
305,34816,18432
306,36864,18432
307,38912,18432
308,40960,18432
309,43008,18432
310,45056,18432
311,47104,18432
312,49152,18432
313,51200,18432
314,53248,18432
315,55296,18432
316,57344,18432
317,59392,18432
318,61440,18432
319,63488,18432
322,4096,20480
323,6144,20480
324,8192,20480
325,10240,20480
326,12288,20480
327,14336,20480
328,16384,20480
329,18432,20480
330,20480,20480
331,22528,20480
332,24576,20480
333,26624,20480
334,28672,20480
335,30720,20480
336,32768,20480
337,34816,20480
338,36864,20480
339,38912,20480
340,40960,20480
341,43008,20480
342,45056,20480
343,47104,20480
344,49152,20480
345,51200,20480
346,53248,20480
347,55296,20480
349,59392,20480
350,61440,20480
354,4096,22528
355,6144,22528
357,10240,22528
358,12288,22528
359,14336,22528
360,16384,22528
361,18432,22528
362,20480,22528
363,22528,22528
364,24576,22528
365,26624,22528
366,28672,22528
367,30720,22528
368,32768,22528
369,34816,22528
370,36864,22528
371,38912,22528
372,40960,22528
373,43008,22528
374,45056,22528
375,47104,22528
376,49152,22528
377,51200,22528
381,59392,22528
382,61440,22528
386,4096,24576
387,6144,24576
388,8192,24576
389,10240,24576
390,12288,24576
391,14336,24576
392,16384,24576
393,18432,24576
394,20480,24576
395,22528,24576
396,24576,24576
397,26624,24576
398,28672,24576
399,30720,24576
400,32768,24576
401,34816,24576
402,36864,24576
403,38912,24576
404,40960,24576
405,43008,24576
406,45056,24576
412,57344,24576
413,59392,24576
414,61440,24576
418,4096,26624
419,6144,26624
420,8192,26624
421,10240,26624
422,12288,26624
423,14336,26624
424,16384,26624
425,18432,26624
426,20480,26624
427,22528,26624
428,24576,26624
429,26624,26624
430,28672,26624
431,30720,26624
432,32768,26624
433,34816,26624
434,36864,26624
435,38912,26624
436,40960,26624
437,43008,26624
438,45056,26624
444,57344,26624
445,59392,26624
450,4096,28672
451,6144,28672
452,8192,28672
453,10240,28672
454,12288,28672
455,14336,28672
456,16384,28672
457,18432,28672
458,20480,28672
459,22528,28672
460,24576,28672
461,26624,28672
462,28672,28672
463,30720,28672
464,32768,28672
465,34816,28672
466,36864,28672
467,38912,28672
468,40960,28672
469,43008,28672
476,57344,28672
477,59392,28672
482,4096,30720
483,6144,30720
484,8192,30720
485,10240,30720
486,12288,30720
487,14336,30720
488,16384,30720
489,18432,30720
490,20480,30720
491,22528,30720
492,24576,30720
493,26624,30720
494,28672,30720
495,30720,30720
496,32768,30720
497,34816,30720
498,36864,30720
499,38912,30720
500,40960,30720
514,4096,32768
515,6144,32768
517,10240,32768
518,12288,32768
519,14336,32768
520,16384,32768
521,18432,32768
522,20480,32768
523,22528,32768
524,24576,32768
525,26624,32768
526,28672,32768
527,30720,32768
528,32768,32768
530,36864,32768
546,4096,34816
547,6144,34816
549,10240,34816
550,12288,34816
551,14336,34816
552,16384,34816
553,18432,34816
554,20480,34816
555,22528,34816
556,24576,34816
557,26624,34816
558,28672,34816
559,30720,34816
578,4096,36864
579,6144,36864
582,12288,36864
583,14336,36864
584,16384,36864
585,18432,36864
586,20480,36864
587,22528,36864
588,24576,36864
589,26624,36864
