bag_id,x,y
8,16384,0
82,20480,4096
83,22528,4096
84,24576,4096
85,26624,4096
86,28672,4096
87,30720,4096
88,32768,4096
89,34816,4096
90,36864,4096
91,38912,4096
117,18432,6144
118,20480,6144
119,22528,6144
120,24576,6144
121,26624,6144
122,28672,6144
123,30720,6144
124,32768,6144
125,34816,6144
126,36864,6144
127,38912,6144
128,40960,6144
129,43008,6144
152,16384,8192
153,18432,8192
154,20480,8192
155,22528,8192
156,24576,8192
157,26624,8192
158,28672,8192
159,30720,8192
160,32768,8192
161,34816,8192
162,36864,8192
163,38912,8192
164,40960,8192
165,43008,8192
166,45056,8192
167,47104,8192
168,49152,8192
189,18432,10240
190,20480,10240
191,22528,10240
192,24576,10240
193,26624,10240
194,28672,10240
195,30720,10240
196,32768,10240
197,34816,10240
198,36864,10240
199,38912,10240
200,40960,10240
201,43008,10240
202,45056,10240
203,47104,10240
204,49152,10240
205,51200,10240
221,10240,12288
223,14336,12288
224,16384,12288
225,18432,12288
226,20480,12288
227,22528,12288
228,24576,12288
229,26624,12288
230,28672,12288
231,30720,12288
232,32768,12288
233,34816,12288
234,36864,12288
235,38912,12288
236,40960,12288
237,43008,12288
238,45056,12288
239,47104,12288
240,49152,12288
241,51200,12288
242,53248,12288
258,12288,14336
259,14336,14336
260,16384,14336
261,18432,14336
262,20480,14336
263,22528,14336
264,24576,14336
265,26624,14336
266,28672,14336
267,30720,14336
268,32768,14336
269,34816,14336
270,36864,14336
271,38912,14336
272,40960,14336
273,43008,14336
274,45056,14336
275,47104,14336
276,49152,14336
277,51200,14336
278,53248,14336
279,55296,14336
293,10240,16384
294,12288,16384
295,14336,16384
296,16384,16384
297,18432,16384
298,20480,16384
299,22528,16384
300,24576,16384
301,26624,16384
302,28672,16384
303,30720,16384
304,32768,16384
305,34816,16384
306,36864,16384
307,38912,16384
308,40960,16384
309,43008,16384
310,45056,16384
311,47104,16384
312,49152,16384
313,51200,16384
314,53248,16384
315,55296,16384
316,57344,16384
325,2048,18432
328,8192,18432
329,10240,18432
330,12288,18432
331,14336,18432
332,16384,18432
333,18432,18432
334,20480,18432
335,22528,18432
336,24576,18432
337,26624,18432
338,28672,18432
339,30720,18432
340,32768,18432
341,34816,18432
342,36864,18432
343,38912,18432
344,40960,18432
345,43008,18432
346,45056,18432
347,47104,18432
348,49152,18432
349,51200,18432
350,53248,18432
351,55296,18432
352,57344,18432
353,59392,18432
362,4096,20480
363,6144,20480
364,8192,20480
365,10240,20480
366,12288,20480
367,14336,20480
368,16384,20480
369,18432,20480
370,20480,20480
371,22528,20480
372,24576,20480
373,26624,20480
374,28672,20480
375,30720,20480
376,32768,20480
377,34816,20480
378,36864,20480
379,38912,20480
380,40960,20480
381,43008,20480
382,45056,20480
383,47104,20480
384,49152,20480
385,51200,20480
386,53248,20480
387,55296,20480
388,57344,20480
389,59392,20480
390,61440,20480
397,2048,22528
398,4096,22528
399,6144,22528
400,8192,22528
401,10240,22528
402,12288,22528
403,14336,22528
404,16384,22528
405,18432,22528
406,20480,22528
407,22528,22528
408,24576,22528
409,26624,22528
410,28672,22528
411,30720,22528
412,32768,22528
413,34816,22528
414,36864,22528
415,38912,22528
416,40960,22528
417,43008,22528
418,45056,22528
419,47104,22528
420,49152,22528
421,51200,22528
422,53248,22528
423,55296,22528
424,57344,22528
425,59392,22528
426,61440,22528
427,63488,22528
433,2048,24576
434,4096,24576
