bag_id,x,y
3,6144,0
4,8192,0
5,10240,0
6,12288,0
7,14336,0
8,16384,0
9,18432,0
10,20480,0
11,22528,0
12,24576,0
13,26624,0
14,28672,0
15,30720,0
16,32768,0
17,34816,0
18,36864,0
19,38912,0
20,40960,0
21,43008,0
22,45056,0
23,47104,0
26,4096,2048
27,6144,2048
28,8192,2048
29,10240,2048
30,12288,2048
31,14336,2048
32,16384,2048
33,18432,2048
34,20480,2048
35,22528,2048
36,24576,2048
37,26624,2048
38,28672,2048
39,30720,2048
40,32768,2048
41,34816,2048
42,36864,2048
43,38912,2048
44,40960,2048
45,43008,2048
46,45056,2048
47,47104,2048
50,4096,4096
51,6144,4096
52,8192,4096
53,10240,4096
54,12288,4096
55,14336,4096
56,16384,4096
57,18432,4096
58,20480,4096
59,22528,4096
60,24576,4096
61,26624,4096
62,28672,4096
63,30720,4096
64,32768,4096
65,34816,4096
66,36864,4096
67,38912,4096
68,40960,4096
69,43008,4096
70,45056,4096
71,47104,4096
73,2048,6144
74,4096,6144
75,6144,6144
76,8192,6144
77,10240,6144
78,12288,6144
79,14336,6144
80,16384,6144
81,18432,6144
82,20480,6144
83,22528,6144
84,24576,6144
85,26624,6144
86,28672,6144
87,30720,6144
88,32768,6144
89,34816,6144
90,36864,6144
91,38912,6144
92,40960,6144
93,43008,6144
94,45056,6144
95,47104,6144
96,0,8192
97,2048,8192
98,4096,8192
99,6144,8192
100,8192,8192
101,10240,8192
102,12288,8192
103,14336,8192
104,16384,8192
105,18432,8192
106,20480,8192
107,22528,8192
108,24576,8192
109,26624,8192
110,28672,8192
111,30720,8192
112,32768,8192
113,34816,8192
114,36864,8192
115,38912,8192
116,40960,8192
117,43008,8192
118,45056,8192
119,47104,8192
120,0,10240
121,2048,10240
122,4096,10240
123,6144,10240
124,8192,10240
125,10240,10240
126,12288,10240
127,14336,10240
128,16384,10240
129,18432,10240
130,20480,10240
131,22528,10240
132,24576,10240
133,26624,10240
134,28672,10240
135,30720,10240
136,32768,10240
137,34816,10240
138,36864,10240
139,38912,10240
140,40960,10240
141,43008,10240
142,45056,10240
143,47104,10240
144,0,12288
145,2048,12288
146,4096,12288
147,6144,12288
148,8192,12288
149,10240,12288
150,12288,12288
151,14336,12288
152,16384,12288
153,18432,12288
154,20480,12288
155,22528,12288
156,24576,12288
157,26624,12288
158,28672,12288
159,30720,12288
160,32768,12288
161,34816,12288
162,36864,12288
163,38912,12288
164,40960,12288
165,43008,12288
166,45056,12288
167,47104,12288
168,0,14336
169,2048,14336
170,4096,14336
171,6144,14336
172,8192,14336
173,10240,14336
174,12288,14336
175,14336,14336
