bag_id,x,y
212,28672,6144
213,30720,6144
214,32768,6144
215,34816,6144
216,36864,6144
217,38912,6144
218,40960,6144
277,26624,8192
278,28672,8192
279,30720,8192
280,32768,8192
281,34816,8192
282,36864,8192
283,38912,8192
284,40960,8192
285,43008,8192
286,45056,8192
287,47104,8192
342,24576,10240
343,26624,10240
344,28672,10240
345,30720,10240
346,32768,10240
347,34816,10240
348,36864,10240
349,38912,10240
350,40960,10240
351,43008,10240
352,45056,10240
353,47104,10240
354,49152,10240
404,16384,12288
405,18432,12288
406,20480,12288
407,22528,12288
408,24576,12288
409,26624,12288
410,28672,12288
411,30720,12288
412,32768,12288
413,34816,12288
414,36864,12288
415,38912,12288
416,40960,12288
417,43008,12288
418,45056,12288
419,47104,12288
420,49152,12288
421,51200,12288
469,14336,14336
470,16384,14336
471,18432,14336
472,20480,14336
473,22528,14336
474,24576,14336
475,26624,14336
476,28672,14336
477,30720,14336
478,32768,14336
479,34816,14336
480,36864,14336
481,38912,14336
482,40960,14336
483,43008,14336
484,45056,14336
485,47104,14336
486,49152,14336
487,51200,14336
488,53248,14336
533,10240,16384
534,12288,16384
535,14336,16384
536,16384,16384
537,18432,16384
538,20480,16384
539,22528,16384
540,24576,16384
541,26624,16384
542,28672,16384
543,30720,16384
544,32768,16384
545,34816,16384
546,36864,16384
547,38912,16384
548,40960,16384
549,43008,16384
550,45056,16384
551,47104,16384
552,49152,16384
553,51200,16384
554,53248,16384
555,55296,16384
598,8192,18432
599,10240,18432
600,12288,18432
601,14336,18432
602,16384,18432
603,18432,18432
604,20480,18432
605,22528,18432
606,24576,18432
607,26624,18432
608,28672,18432
609,30720,18432
610,32768,18432
611,34816,18432
612,36864,18432
613,38912,18432
614,40960,18432
615,43008,18432
616,45056,18432
617,47104,18432
618,49152,18432
619,51200,18432
620,53248,18432
621,55296,18432
622,57344,18432
623,59392,18432
624,61440,18432
627,67584,18432
628,69632,18432
629,71680,18432
630,73728,18432
631,75776,18432
632,77824,18432
633,79872,18432
634,81920,18432
664,8192,20480
665,10240,20480
666,12288,20480
667,14336,20480
668,16384,20480
669,18432,20480
670,20480,20480
671,22528,20480
672,24576,20480
673,26624,20480
674,28672,20480
675,30720,20480
676,32768,20480
677,34816,20480
678,36864,20480
679,38912,20480
680,40960,20480
681,43008,20480
682,45056,20480
683,47104,20480
684,49152,20480
685,51200,20480
686,53248,20480
687,55296,20480
688,57344,20480
689,59392,20480
690,61440,20480
691,63488,20480
692,65536,20480
693,67584,20480
694,69632,20480
695,71680,20480
696,73728,20480
697,75776,20480
698,77824,20480
699,79872,20480
700,81920,20480
701,83968,20480
702,86016,20480
703,88064,20480
729,6144,22528
730,8192,22528
731,10240,22528
732,12288,22528
733,14336,22528
734,16384,22528
735,18432,22528
736,20480,22528
737,22528,22528
738,24576,22528
739,26624,22528
740,28672,22528
741,30720,22528
742,32768,22528
743,34816,22528
744,36864,22528
745,38912,22528
746,40960,22528
747,43008,22528
748,45056,22528
749,47104,22528
750,49152,22528
751,51200,22528
752,53248,22528
753,55296,22528
754,57344,22528
755,59392,22528
756,61440,22528
757,63488,22528
758,65536,22528
759,67584,22528
760,69632,22528
761,71680,22528
762,73728,22528
763,75776,22528
764,77824,22528
765,79872,22528
766,81920,22528
767,83968,22528
768,86016,22528
769,88064,22528
770,90112,22528
771,92160,22528
795,6144,24576
796,8192,24576
797,10240,24576
798,12288,24576
799,14336,24576
800,16384,24576
801,18432,24576
802,20480,24576
803,22528,24576
804,24576,24576
805,26624,24576
806,28672,24576
807,30720,24576
808,32768,24576
809,34816,24576
810,36864,24576
811,38912,24576
812,40960,24576
813,43008,24576
814,45056,24576
815,47104,24576
816,49152,24576
817,51200,24576
818,53248,24576
819,55296,24576
820,57344,24576
821,59392,24576
822,61440,24576
823,63488,24576
824,65536,24576
825,67584,24576
826,69632,24576
827,71680,24576
828,73728,24576
829,75776,24576
830,77824,24576
831,79872,24576
832,81920,24576
833,83968,24576
834,86016,24576
835,88064,24576
836,90112,24576
837,92160,24576
838,94208,24576
840,98304,24576
861,6144,26624
862,8192,26624
863,10240,26624
864,12288,26624
865,14336,26624
866,16384,26624
867,18432,26624
868,20480,26624
869,22528,26624
870,24576,26624
871,26624,26624
872,28672,26624
873,30720,26624
874,32768,26624
875,34816,26624
876,36864,26624
877,38912,26624
878,40960,26624
879,43008,26624
880,45056,26624
881,47104,26624
882,49152,26624
883,51200,26624
884,53248,26624
885,55296,26624
886,57344,26624
887,59392,26624
888,61440,26624
889,63488,26624
890,65536,26624
891,67584,26624
892,69632,26624
893,71680,26624
894,73728,26624
895,75776,26624
896,77824,26624
897,79872,26624
898,81920,26624
899,83968,26624
900,86016,26624
901,88064,26624
902,90112,26624
903,92160,26624
904,94208,26624
905,96256,26624
906,98304,26624
907,100352,26624
926,4096,28672
927,6144,28672
928,8192,28672
929,10240,28672
930,12288,28672
931,14336,28672
932,16384,28672
933,18432,28672
934,20480,28672
935,22528,28672
936,24576,28672
937,26624,28672
938,28672,28672
939,30720,28672
940,32768,28672
941,34816,28672
942,36864,28672
943,38912,28672
944,40960,28672
945,43008,28672
946,45056,28672
947,47104,28672
948,49152,28672
949,51200,28672
950,53248,28672
951,55296,28672
952,57344,28672
953,59392,28672
954,61440,28672
955,63488,28672
956,65536,28672
957,67584,28672
958,69632,28672
959,71680,28672
960,73728,28672
961,75776,28672
962,77824,28672
963,79872,28672
964,81920,28672
965,83968,28672
966,86016,28672
967,88064,28672
968,90112,28672
969,92160,28672
970,94208,28672
971,96256,28672
