bag_id,x,y
14,28672,0
15,30720,0
16,32768,0
17,34816,0
18,36864,0
52,28672,2048
53,30720,2048
54,32768,2048
55,34816,2048
56,36864,2048
57,38912,2048
90,28672,4096
91,30720,4096
92,32768,4096
93,34816,4096
94,36864,4096
95,38912,4096
96,40960,4096
128,28672,6144
129,30720,6144
130,32768,6144
131,34816,6144
132,36864,6144
133,38912,6144
134,40960,6144
135,43008,6144
136,45056,6144
166,28672,8192
167,30720,8192
168,32768,8192
169,34816,8192
170,36864,8192
171,38912,8192
172,40960,8192
173,43008,8192
174,45056,8192
195,10240,10240
204,28672,10240
205,30720,10240
206,32768,10240
207,34816,10240
208,36864,10240
209,38912,10240
210,40960,10240
211,43008,10240
212,45056,10240
213,47104,10240
233,10240,12288
241,26624,12288
242,28672,12288
243,30720,12288
244,32768,12288
245,34816,12288
246,36864,12288
247,38912,12288
248,40960,12288
249,43008,12288
250,45056,12288
251,47104,12288
278,24576,14336
279,26624,14336
280,28672,14336
281,30720,14336
282,32768,14336
283,34816,14336
284,36864,14336
285,38912,14336
286,40960,14336
287,43008,14336
288,45056,14336
289,47104,14336
315,22528,16384
316,24576,16384
317,26624,16384
318,28672,16384
319,30720,16384
320,32768,16384
321,34816,16384
322,36864,16384
323,38912,16384
324,40960,16384
325,43008,16384
326,45056,16384
327,47104,16384
328,49152,16384
352,20480,18432
353,22528,18432
354,24576,18432
355,26624,18432
356,28672,18432
357,30720,18432
358,32768,18432
359,34816,18432
360,36864,18432
361,38912,18432
362,40960,18432
363,43008,18432
364,45056,18432
365,47104,18432
366,49152,18432
390,20480,20480
391,22528,20480
392,24576,20480
393,26624,20480
394,28672,20480
395,30720,20480
396,32768,20480
397,34816,20480
398,36864,20480
399,38912,20480
400,40960,20480
401,43008,20480
402,45056,20480
403,47104,20480
404,49152,20480
427,18432,22528
428,20480,22528
429,22528,22528
430,24576,22528
431,26624,22528
432,28672,22528
433,30720,22528
434,32768,22528
435,34816,22528
436,36864,22528
437,38912,22528
438,40960,22528
439,43008,22528
440,45056,22528
441,47104,22528
442,49152,22528
464,16384,24576
465,18432,24576
466,20480,24576
467,22528,24576
468,24576,24576
469,26624,24576
470,28672,24576
471,30720,24576
472,32768,24576
473,34816,24576
474,36864,24576
475,38912,24576
476,40960,24576
477,43008,24576
478,45056,24576
502,16384,26624
503,18432,26624
504,20480,26624
505,22528,26624
506,24576,26624
507,26624,26624
508,28672,26624
509,30720,26624
510,32768,26624
511,34816,26624
512,36864,26624
513,38912,26624
514,40960,26624
515,43008,26624
516,45056,26624
539,14336,28672
540,16384,28672
541,18432,28672
542,20480,28672
543,22528,28672
544,24576,28672
545,26624,28672
546,28672,28672
547,30720,28672
548,32768,28672
549,34816,28672
550,36864,28672
551,38912,28672
552,40960,28672
553,43008,28672
554,45056,28672
565,67584,28672
576,12288,30720
577,14336,30720
578,16384,30720
579,18432,30720
580,20480,30720
581,22528,30720
582,24576,30720
583,26624,30720
584,28672,30720
585,30720,30720
586,32768,30720
587,34816,30720
588,36864,30720
589,38912,30720
590,40960,30720
591,43008,30720
614,12288,32768
615,14336,32768
616,16384,32768
617,18432,32768
618,20480,32768
619,22528,32768
620,24576,32768
621,26624,32768
622,28672,32768
623,30720,32768
624,32768,32768
625,34816,32768
626,36864,32768
627,38912,32768
628,40960,32768
652,12288,34816
653,14336,34816
654,16384,34816
655,18432,34816
656,20480,34816
657,22528,34816
658,24576,34816
659,26624,34816
660,28672,34816
663,34816,34816
664,36864,34816
680,69632,34816
689,10240,36864
690,12288,36864
691,14336,36864
692,16384,36864
693,18432,36864
694,20480,36864
695,22528,36864
696,24576,36864
718,69632,36864
727,10240,38912
728,12288,38912
729,14336,38912
730,16384,38912
731,18432,38912
732,20480,38912
733,22528,38912
743,43008,38912
744,45056,38912
745,47104,38912
746,49152,38912
752,61440,38912
753,63488,38912
754,65536,38912
755,67584,38912
756,69632,38912
765,10240,40960
766,12288,40960
767,14336,40960
768,16384,40960
769,18432,40960
770,20480,40960
773,26624,40960
774,28672,40960
775,30720,40960
776,32768,40960
777,34816,40960
778,36864,40960
779,38912,40960
780,40960,40960
781,43008,40960
782,45056,40960
783,47104,40960
784,49152,40960
785,51200,40960
789,59392,40960
790,61440,40960
791,63488,40960
792,65536,40960
793,67584,40960
794,69632,40960
801,6144,43008
802,8192,43008
803,10240,43008
805,14336,43008
806,16384,43008
807,18432,43008
808,20480,43008
812,28672,43008
813,30720,43008
814,32768,43008
815,34816,43008
816,36864,43008
817,38912,43008
818,40960,43008
819,43008,43008
820,45056,43008
821,47104,43008
822,49152,43008
823,51200,43008
824,53248,43008
826,57344,43008
827,59392,43008
828,61440,43008
829,63488,43008
830,65536,43008
831,67584,43008
832,69632,43008
838,4096,45056
839,6144,45056
840,8192,45056
845,18432,45056
846,20480,45056
847,22528,45056
848,24576,45056
849,26624,45056
850,28672,45056
851,30720,45056
852,32768,45056
853,34816,45056
854,36864,45056
855,38912,45056
856,40960,45056
857,43008,45056
858,45056,45056
859,47104,45056
860,49152,45056
861,51200,45056
862,53248,45056
864,57344,45056
865,59392,45056
866,61440,45056
867,63488,45056
868,65536,45056
869,67584,45056
870,69632,45056
875,2048,47104
876,4096,47104
877,6144,47104
886,24576,47104
887,26624,47104
888,28672,47104
889,30720,47104
890,32768,47104
891,34816,47104
892,36864,47104
893,38912,47104
894,40960,47104
895,43008,47104
896,45056,47104
897,47104,47104
898,49152,47104
899,51200,47104
900,53248,47104
901,55296,47104
902,57344,47104
903,59392,47104
904,61440,47104
905,63488,47104
906,65536,47104
907,67584,47104
908,69632,47104
909,71680,47104
913,2048,49152
925,26624,49152
926,28672,49152
927,30720,49152
928,32768,49152
929,34816,49152
930,36864,49152
931,38912,49152
932,40960,49152
933,43008,49152
934,45056,49152
935,47104,49152
936,49152,49152
937,51200,49152
938,53248,49152
939,55296,49152
940,57344,49152
941,59392,49152
942,61440,49152
943,63488,49152
944,65536,49152
945,67584,49152
946,69632,49152
947,71680,49152
964,28672,51200
965,30720,51200
966,32768,51200
967,34816,51200
968,36864,51200
969,38912,51200
970,40960,51200
971,43008,51200
972,45056,51200
973,47104,51200
974,49152,51200
975,51200,51200
976,53248,51200
977,55296,51200
978,57344,51200
979,59392,51200
980,61440,51200
981,63488,51200
982,65536,51200
983,67584,51200
984,69632,51200
985,71680,51200
1003,30720,53248
1004,32768,53248
1005,34816,53248
1006,36864,53248
1007,38912,53248
1008,40960,53248
1009,43008,53248
1010,45056,53248
1011,47104,53248
1012,49152,53248
1013,51200,53248
1014,53248,53248
1015,55296,53248
1016,57344,53248
1017,59392,53248
1018,61440,53248
1019,63488,53248
1020,65536,53248
1021,67584,53248
1022,69632,53248
1023,71680,53248
1024,73728,53248
1042,32768,55296
1043,34816,55296
1044,36864,55296
1045,38912,55296
1046,40960,55296
1047,43008,55296
1048,45056,55296
1049,47104,55296
1050,49152,55296
1051,51200,55296
1052,53248,55296
1053,55296,55296
1054,57344,55296
1055,59392,55296
1056,61440,55296
1057,63488,55296
1058,65536,55296
1060,69632,55296
1061,71680,55296
1062,73728,55296
1081,34816,57344
1082,36864,57344
1083,38912,57344
1084,40960,57344
1085,43008,57344
1086,45056,57344
1087,47104,57344
1088,49152,57344
1089,51200,57344
1090,53248,57344
1091,55296,57344
1092,57344,57344
1093,59392,57344
1094,61440,57344
1095,63488,57344
1096,65536,57344
1097,67584,57344
1098,69632,57344
1099,71680,57344
1100,73728,57344
1119,34816,59392
1120,36864,59392
1121,38912,59392
1122,40960,59392
1123,43008,59392
1124,45056,59392
1125,47104,59392
1126,49152,59392
1127,51200,59392
1128,53248,59392
1129,55296,59392
1130,57344,59392
1131,59392,59392
1132,61440,59392
1133,63488,59392
1134,65536,59392
1135,67584,59392
1136,69632,59392
1137,71680,59392
1138,73728,59392
1158,36864,61440
1159,38912,61440
1160,40960,61440
1161,43008,61440
1162,45056,61440
1163,47104,61440
1164,49152,61440
1165,51200,61440
1166,53248,61440
1167,55296,61440
1168,57344,61440
1169,59392,61440
1170,61440,61440
1171,63488,61440
1172,65536,61440
1173,67584,61440
1174,69632,61440
1175,71680,61440
1176,73728,61440
1196,36864,63488
1197,38912,63488
1198,40960,63488
1199,43008,63488
1200,45056,63488
1201,47104,63488
1202,49152,63488
1203,51200,63488
1204,53248,63488
1205,55296,63488
1206,57344,63488
1207,59392,63488
1208,61440,63488
1209,63488,63488
1210,65536,63488
1211,67584,63488
1212,69632,63488
1213,71680,63488
1214,73728,63488
1235,38912,65536
1236,40960,65536
1237,43008,65536
1238,45056,65536
1239,47104,65536
1240,49152,65536
1241,51200,65536
1242,53248,65536
1243,55296,65536
1244,57344,65536
1245,59392,65536
1246,61440,65536
1247,63488,65536
1248,65536,65536
1249,67584,65536
1250,69632,65536
1251,71680,65536
1274,40960,67584
1275,43008,67584
1276,45056,67584
1277,47104,67584
1278,49152,67584
1279,51200,67584
1280,53248,67584
1281,55296,67584
1282,57344,67584
1283,59392,67584
1284,61440,67584
1285,63488,67584
1286,65536,67584
1287,67584,67584
