bag_id,x,y
13,26624,0
54,110592,0
55,112640,0
56,114688,0
57,116736,0
73,24576,2048
74,26624,2048
75,28672,2048
76,30720,2048
80,38912,2048
81,40960,2048
82,43008,2048
115,110592,2048
116,112640,2048
117,114688,2048
118,116736,2048
119,118784,2048
120,120832,2048
131,18432,4096
132,20480,4096
133,22528,4096
134,24576,4096
135,26624,4096
136,28672,4096
137,30720,4096
138,32768,4096
139,34816,4096
140,36864,4096
141,38912,4096
142,40960,4096
143,43008,4096
144,45056,4096
145,47104,4096
146,49152,4096
176,110592,4096
177,112640,4096
178,114688,4096
192,18432,6144
193,20480,6144
194,22528,6144
195,24576,6144
196,26624,6144
197,28672,6144
198,30720,6144
199,32768,6144
200,34816,6144
201,36864,6144
202,38912,6144
203,40960,6144
204,43008,6144
205,45056,6144
206,47104,6144
207,49152,6144
208,51200,6144
209,53248,6144
210,55296,6144
218,71680,6144
236,108544,6144
237,110592,6144
238,112640,6144
239,114688,6144
240,116736,6144
251,14336,8192
253,18432,8192
254,20480,8192
255,22528,8192
256,24576,8192
257,26624,8192
258,28672,8192
259,30720,8192
260,32768,8192
261,34816,8192
262,36864,8192
263,38912,8192
264,40960,8192
265,43008,8192
266,45056,8192
267,47104,8192
268,49152,8192
269,51200,8192
270,53248,8192
271,55296,8192
272,57344,8192
273,59392,8192
274,61440,8192
275,63488,8192
276,65536,8192
277,67584,8192
278,69632,8192
279,71680,8192
280,73728,8192
281,75776,8192
282,77824,8192
283,79872,8192
294,102400,8192
295,104448,8192
296,106496,8192
297,108544,8192
298,110592,8192
299,112640,8192
300,114688,8192
301,116736,8192
310,10240,10240
311,12288,10240
312,14336,10240
313,16384,10240
314,18432,10240
315,20480,10240
316,22528,10240
317,24576,10240
318,26624,10240
319,28672,10240
320,30720,10240
321,32768,10240
322,34816,10240
323,36864,10240
324,38912,10240
325,40960,10240
326,43008,10240
327,45056,10240
328,47104,10240
329,49152,10240
330,51200,10240
331,53248,10240
332,55296,10240
333,57344,10240
334,59392,10240
335,61440,10240
336,63488,10240
337,65536,10240
338,67584,10240
339,69632,10240
340,71680,10240
341,73728,10240
342,75776,10240
343,77824,10240
344,79872,10240
345,81920,10240
346,83968,10240
347,86016,10240
348,88064,10240
349,90112,10240
354,100352,10240
355,102400,10240
356,104448,10240
357,106496,10240
358,108544,10240
359,110592,10240
360,112640,10240
361,114688,10240
362,116736,10240
371,10240,12288
372,12288,12288
374,16384,12288
375,18432,12288
376,20480,12288
377,22528,12288
378,24576,12288
379,26624,12288
380,28672,12288
381,30720,12288
382,32768,12288
383,34816,12288
384,36864,12288
385,38912,12288
386,40960,12288
387,43008,12288
388,45056,12288
389,47104,12288
390,49152,12288
391,51200,12288
392,53248,12288
393,55296,12288
394,57344,12288
395,59392,12288
396,61440,12288
397,63488,12288
398,65536,12288
399,67584,12288
400,69632,12288
401,71680,12288
402,73728,12288
403,75776,12288
404,77824,12288
405,79872,12288
406,81920,12288
407,83968,12288
408,86016,12288
409,88064,12288
410,90112,12288
411,92160,12288
414,98304,12288
415,100352,12288
416,102400,12288
417,104448,12288
418,106496,12288
419,108544,12288
420,110592,12288
421,112640,12288
422,114688,12288
423,116736,12288
424,118784,12288
431,8192,14336
432,10240,14336
433,12288,14336
436,18432,14336
437,20480,14336
438,22528,14336
439,24576,14336
440,26624,14336
441,28672,14336
442,30720,14336
443,32768,14336
444,34816,14336
445,36864,14336
446,38912,14336
447,40960,14336
448,43008,14336
449,45056,14336
450,47104,14336
451,49152,14336
452,51200,14336
453,53248,14336
454,55296,14336
455,57344,14336
456,59392,14336
457,61440,14336
458,63488,14336
459,65536,14336
460,67584,14336
461,69632,14336
462,71680,14336
463,73728,14336
464,75776,14336
465,77824,14336
466,79872,14336
467,81920,14336
468,83968,14336
469,86016,14336
470,88064,14336
471,90112,14336
472,92160,14336
474,96256,14336
475,98304,14336
476,100352,14336
477,102400,14336
478,104448,14336
479,106496,14336
480,108544,14336
481,110592,14336
482,112640,14336
483,114688,14336
484,116736,14336
485,118784,14336
486,120832,14336
490,4096,16384
491,6144,16384
492,8192,16384
493,10240,16384
494,12288,16384
497,18432,16384
498,20480,16384
499,22528,16384
500,24576,16384
501,26624,16384
502,28672,16384
503,30720,16384
504,32768,16384
505,34816,16384
506,36864,16384
507,38912,16384
508,40960,16384
509,43008,16384
510,45056,16384
511,47104,16384
512,49152,16384
513,51200,16384
514,53248,16384
515,55296,16384
516,57344,16384
517,59392,16384
518,61440,16384
519,63488,16384
520,65536,16384
521,67584,16384
522,69632,16384
523,71680,16384
524,73728,16384
525,75776,16384
526,77824,16384
527,79872,16384
528,81920,16384
529,83968,16384
530,86016,16384
531,88064,16384
532,90112,16384
536,98304,16384
537,100352,16384
538,102400,16384
539,104448,16384
540,106496,16384
541,108544,16384
542,110592,16384
543,112640,16384
544,114688,16384
545,116736,16384
550,2048,18432
551,4096,18432
552,6144,18432
553,8192,18432
554,10240,18432
557,16384,18432
558,18432,18432
559,20480,18432
560,22528,18432
561,24576,18432
562,26624,18432
563,28672,18432
564,30720,18432
565,32768,18432
566,34816,18432
567,36864,18432
568,38912,18432
569,40960,18432
570,43008,18432
571,45056,18432
572,47104,18432
573,49152,18432
574,51200,18432
575,53248,18432
576,55296,18432
577,57344,18432
578,59392,18432
579,61440,18432
580,63488,18432
581,65536,18432
582,67584,18432
583,69632,18432
584,71680,18432
585,73728,18432
586,75776,18432
587,77824,18432
588,79872,18432
589,81920,18432
590,83968,18432
591,86016,18432
598,100352,18432
599,102400,18432
600,104448,18432
601,106496,18432
602,108544,18432
603,110592,18432
604,112640,18432
605,114688,18432
606,116736,18432
611,2048,20480
612,4096,20480
613,6144,20480
614,8192,20480
618,16384,20480
619,18432,20480
620,20480,20480
621,22528,20480
622,24576,20480
623,26624,20480
624,28672,20480
625,30720,20480
626,32768,20480
627,34816,20480
628,36864,20480
629,38912,20480
630,40960,20480
631,43008,20480
632,45056,20480
633,47104,20480
634,49152,20480
635,51200,20480
636,53248,20480
637,55296,20480
638,57344,20480
639,59392,20480
640,61440,20480
641,63488,20480
642,65536,20480
643,67584,20480
644,69632,20480
645,71680,20480
646,73728,20480
647,75776,20480
648,77824,20480
649,79872,20480
650,81920,20480
651,83968,20480
652,86016,20480
659,100352,20480
660,102400,20480
661,104448,20480
662,106496,20480
663,108544,20480
664,110592,20480
665,112640,20480
666,114688,20480
667,116736,20480
672,2048,22528
673,4096,22528
677,12288,22528
678,14336,22528
679,16384,22528
680,18432,22528
681,20480,22528
682,22528,22528
683,24576,22528
684,26624,22528
685,28672,22528
686,30720,22528
687,32768,22528
688,34816,22528
689,36864,22528
690,38912,22528
691,40960,22528
692,43008,22528
693,45056,22528
694,47104,22528
695,49152,22528
696,51200,22528
697,53248,22528
698,55296,22528
699,57344,22528
700,59392,22528
701,61440,22528
702,63488,22528
703,65536,22528
704,67584,22528
705,69632,22528
706,71680,22528
707,73728,22528
708,75776,22528
709,77824,22528
710,79872,22528
711,81920,22528
712,83968,22528
713,86016,22528
719,98304,22528
720,100352,22528
721,102400,22528
722,104448,22528
723,106496,22528
724,108544,22528
725,110592,22528
726,112640,22528
727,114688,22528
728,116736,22528
732,0,24576
733,2048,24576
737,10240,24576
738,12288,24576
739,14336,24576
740,16384,24576
741,18432,24576
742,20480,24576
743,22528,24576
744,24576,24576
745,26624,24576
746,28672,24576
747,30720,24576
748,32768,24576
749,34816,24576
750,36864,24576
751,38912,24576
752,40960,24576
753,43008,24576
754,45056,24576
755,47104,24576
756,49152,24576
757,51200,24576
758,53248,24576
759,55296,24576
760,57344,24576
761,59392,24576
762,61440,24576
763,63488,24576
764,65536,24576
765,67584,24576
766,69632,24576
767,71680,24576
768,73728,24576
769,75776,24576
770,77824,24576
771,79872,24576
772,81920,24576
773,83968,24576
774,86016,24576
775,88064,24576
776,90112,24576
779,96256,24576
780,98304,24576
781,100352,24576
782,102400,24576
783,104448,24576
784,106496,24576
785,108544,24576
786,110592,24576
787,112640,24576
788,114688,24576
789,116736,24576
796,6144,26624
797,8192,26624
798,10240,26624
799,12288,26624
800,14336,26624
801,16384,26624
802,18432,26624
803,20480,26624
804,22528,26624
805,24576,26624
806,26624,26624
807,28672,26624
808,30720,26624
809,32768,26624
810,34816,26624
811,36864,26624
812,38912,26624
813,40960,26624
814,43008,26624
815,45056,26624
816,47104,26624
817,49152,26624
818,51200,26624
819,53248,26624
820,55296,26624
821,57344,26624
822,59392,26624
823,61440,26624
824,63488,26624
825,65536,26624
826,67584,26624
827,69632,26624
828,71680,26624
829,73728,26624
830,75776,26624
831,77824,26624
832,79872,26624
833,81920,26624
834,83968,26624
835,86016,26624
836,88064,26624
837,90112,26624
838,92160,26624
839,94208,26624
840,96256,26624
841,98304,26624
842,100352,26624
843,102400,26624
844,104448,26624
845,106496,26624
846,108544,26624
847,110592,26624
848,112640,26624
849,114688,26624
850,116736,26624
857,6144,28672
858,8192,28672
859,10240,28672
860,12288,28672
861,14336,28672
862,16384,28672
863,18432,28672
864,20480,28672
865,22528,28672
866,24576,28672
867,26624,28672
868,28672,28672
869,30720,28672
870,32768,28672
871,34816,28672
872,36864,28672
873,38912,28672
874,40960,28672
875,43008,28672
876,45056,28672
877,47104,28672
878,49152,28672
879,51200,28672
880,53248,28672
881,55296,28672
882,57344,28672
883,59392,28672
884,61440,28672
885,63488,28672
886,65536,28672
887,67584,28672
888,69632,28672
889,71680,28672
890,73728,28672
891,75776,28672
892,77824,28672
893,79872,28672
894,81920,28672
895,83968,28672
896,86016,28672
897,88064,28672
898,90112,28672
899,92160,28672
900,94208,28672
901,96256,28672
902,98304,28672
903,100352,28672
904,102400,28672
905,104448,28672
906,106496,28672
907,108544,28672
908,110592,28672
909,112640,28672
910,114688,28672
