bag_id,x,y
19,38912,0
21,43008,0
22,45056,0
23,47104,0
24,49152,0
25,51200,0
26,53248,0
27,55296,0
28,57344,0
29,59392,0
30,61440,0
31,63488,0
32,65536,0
33,67584,0
34,69632,0
35,71680,0
36,73728,0
37,75776,0
61,36864,2048
62,38912,2048
63,40960,2048
64,43008,2048
65,45056,2048
66,47104,2048
67,49152,2048
68,51200,2048
69,53248,2048
70,55296,2048
71,57344,2048
72,59392,2048
73,61440,2048
74,63488,2048
75,65536,2048
76,67584,2048
77,69632,2048
78,71680,2048
79,73728,2048
80,75776,2048
104,36864,4096
105,38912,4096
106,40960,4096
107,43008,4096
108,45056,4096
109,47104,4096
110,49152,4096
111,51200,4096
112,53248,4096
113,55296,4096
114,57344,4096
115,59392,4096
116,61440,4096
117,63488,4096
118,65536,4096
119,67584,4096
120,69632,4096
121,71680,4096
122,73728,4096
123,75776,4096
124,77824,4096
125,79872,4096
126,81920,4096
148,38912,6144
149,40960,6144
150,43008,6144
151,45056,6144
152,47104,6144
153,49152,6144
154,51200,6144
155,53248,6144
156,55296,6144
157,57344,6144
158,59392,6144
159,61440,6144
160,63488,6144
161,65536,6144
162,67584,6144
163,69632,6144
164,71680,6144
165,73728,6144
166,75776,6144
167,77824,6144
168,79872,6144
169,81920,6144
191,38912,8192
192,40960,8192
193,43008,8192
194,45056,8192
195,47104,8192
196,49152,8192
197,51200,8192
198,53248,8192
199,55296,8192
200,57344,8192
201,59392,8192
202,61440,8192
203,63488,8192
204,65536,8192
205,67584,8192
206,69632,8192
207,71680,8192
208,73728,8192
209,75776,8192
211,79872,8192
212,81920,8192
233,36864,10240
234,38912,10240
235,40960,10240
236,43008,10240
237,45056,10240
238,47104,10240
239,49152,10240
240,51200,10240
241,53248,10240
242,55296,10240
243,57344,10240
244,59392,10240
245,61440,10240
246,63488,10240
247,65536,10240
248,67584,10240
249,69632,10240
250,71680,10240
251,73728,10240
252,75776,10240
253,77824,10240
254,79872,10240
255,81920,10240
256,83968,10240
275,34816,12288
276,36864,12288
277,38912,12288
278,40960,12288
279,43008,12288
280,45056,12288
281,47104,12288
282,49152,12288
283,51200,12288
284,53248,12288
285,55296,12288
286,57344,12288
287,59392,12288
288,61440,12288
289,63488,12288
290,65536,12288
291,67584,12288
292,69632,12288
293,71680,12288
294,73728,12288
295,75776,12288
296,77824,12288
297,79872,12288
298,81920,12288
299,83968,12288
318,34816,14336
319,36864,14336
320,38912,14336
321,40960,14336
322,43008,14336
323,45056,14336
324,47104,14336
325,49152,14336
326,51200,14336
327,53248,14336
328,55296,14336
329,57344,14336
330,59392,14336
331,61440,14336
332,63488,14336
333,65536,14336
334,67584,14336
335,69632,14336
336,71680,14336
337,73728,14336
338,75776,14336
339,77824,14336
340,79872,14336
341,81920,14336
360,32768,16384
361,34816,16384
362,36864,16384
363,38912,16384
364,40960,16384
365,43008,16384
366,45056,16384
367,47104,16384
368,49152,16384
369,51200,16384
370,53248,16384
371,55296,16384
372,57344,16384
373,59392,16384
374,61440,16384
375,63488,16384
376,65536,16384
377,67584,16384
378,69632,16384
379,71680,16384
380,73728,16384
381,75776,16384
382,77824,16384
383,79872,16384
384,81920,16384
385,83968,16384
402,30720,18432
403,32768,18432
404,34816,18432
405,36864,18432
406,38912,18432
407,40960,18432
408,43008,18432
409,45056,18432
410,47104,18432
411,49152,18432
412,51200,18432
413,53248,18432
414,55296,18432
415,57344,18432
416,59392,18432
417,61440,18432
418,63488,18432
419,65536,18432
420,67584,18432
421,69632,18432
422,71680,18432
424,75776,18432
425,77824,18432
426,79872,18432
427,81920,18432
445,30720,20480
446,32768,20480
447,34816,20480
448,36864,20480
449,38912,20480
450,40960,20480
451,43008,20480
452,45056,20480
453,47104,20480
454,49152,20480
455,51200,20480
456,53248,20480
457,55296,20480
458,57344,20480
459,59392,20480
460,61440,20480
461,63488,20480
462,65536,20480
463,67584,20480
464,69632,20480
465,71680,20480
466,73728,20480
467,75776,20480
468,77824,20480
469,79872,20480
470,81920,20480
471,83968,20480
486,26624,22528
487,28672,22528
488,30720,22528
489,32768,22528
490,34816,22528
491,36864,22528
492,38912,22528
493,40960,22528
494,43008,22528
495,45056,22528
496,47104,22528
497,49152,22528
498,51200,22528
499,53248,22528
500,55296,22528
501,57344,22528
502,59392,22528
503,61440,22528
504,63488,22528
505,65536,22528
506,67584,22528
507,69632,22528
508,71680,22528
509,73728,22528
511,77824,22528
512,79872,22528
513,81920,22528
514,83968,22528
528,24576,24576
529,26624,24576
530,28672,24576
531,30720,24576
532,32768,24576
533,34816,24576
534,36864,24576
535,38912,24576
536,40960,24576
537,43008,24576
538,45056,24576
539,47104,24576
540,49152,24576
541,51200,24576
542,53248,24576
543,55296,24576
544,57344,24576
545,59392,24576
546,61440,24576
547,63488,24576
548,65536,24576
549,67584,24576
550,69632,24576
551,71680,24576
554,77824,24576
555,79872,24576
556,81920,24576
557,83968,24576
558,86016,24576
569,20480,26624
570,22528,26624
571,24576,26624
572,26624,26624
573,28672,26624
574,30720,26624
575,32768,26624
576,34816,26624
577,36864,26624
578,38912,26624
579,40960,26624
580,43008,26624
581,45056,26624
582,47104,26624
583,49152,26624
584,51200,26624
585,53248,26624
586,55296,26624
587,57344,26624
588,59392,26624
589,61440,26624
590,63488,26624
591,65536,26624
592,67584,26624
593,69632,26624
594,71680,26624
595,73728,26624
596,75776,26624
597,77824,26624
598,79872,26624
599,81920,26624
600,83968,26624
601,86016,26624
611,18432,28672
612,20480,28672
613,22528,28672
614,24576,28672
615,26624,28672
616,28672,28672
617,30720,28672
618,32768,28672
619,34816,28672
620,36864,28672
621,38912,28672
622,40960,28672
623,43008,28672
624,45056,28672
625,47104,28672
626,49152,28672
627,51200,28672
628,53248,28672
629,55296,28672
630,57344,28672
631,59392,28672
632,61440,28672
633,63488,28672
634,65536,28672
635,67584,28672
636,69632,28672
637,71680,28672
638,73728,28672
640,77824,28672
641,79872,28672
642,81920,28672
643,83968,28672
644,86016,28672
653,16384,30720
654,18432,30720
655,20480,30720
656,22528,30720
657,24576,30720
658,26624,30720
659,28672,30720
660,30720,30720
661,32768,30720
662,34816,30720
663,36864,30720
664,38912,30720
665,40960,30720
666,43008,30720
667,45056,30720
668,47104,30720
669,49152,30720
672,55296,30720
673,57344,30720
674,59392,30720
675,61440,30720
676,63488,30720
677,65536,30720
678,67584,30720
679,69632,30720
680,71680,30720
684,79872,30720
