bag_id,x,y
11,22528,0
15,30720,0
16,32768,0
17,34816,0
24,49152,0
40,20480,2048
41,22528,2048
42,24576,2048
43,26624,2048
44,28672,2048
45,30720,2048
46,32768,2048
47,34816,2048
48,36864,2048
49,38912,2048
50,40960,2048
52,45056,2048
53,47104,2048
54,49152,2048
55,51200,2048
56,53248,2048
69,18432,4096
70,20480,4096
71,22528,4096
72,24576,4096
73,26624,4096
74,28672,4096
75,30720,4096
76,32768,4096
77,34816,4096
78,36864,4096
79,38912,4096
80,40960,4096
81,43008,4096
82,45056,4096
83,47104,4096
84,49152,4096
85,51200,4096
86,53248,4096
87,55296,4096
88,57344,4096
96,12288,6144
97,14336,6144
98,16384,6144
99,18432,6144
100,20480,6144
101,22528,6144
102,24576,6144
103,26624,6144
104,28672,6144
105,30720,6144
106,32768,6144
107,34816,6144
108,36864,6144
109,38912,6144
110,40960,6144
111,43008,6144
112,45056,6144
113,47104,6144
114,49152,6144
115,51200,6144
116,53248,6144
117,55296,6144
118,57344,6144
125,10240,8192
126,12288,8192
127,14336,8192
128,16384,8192
129,18432,8192
130,20480,8192
131,22528,8192
132,24576,8192
133,26624,8192
134,28672,8192
135,30720,8192
136,32768,8192
137,34816,8192
138,36864,8192
139,38912,8192
140,40960,8192
141,43008,8192
142,45056,8192
143,47104,8192
144,49152,8192
145,51200,8192
146,53248,8192
147,55296,8192
148,57344,8192
154,8192,10240
155,10240,10240
156,12288,10240
157,14336,10240
158,16384,10240
159,18432,10240
160,20480,10240
161,22528,10240
162,24576,10240
163,26624,10240
164,28672,10240
165,30720,10240
166,32768,10240
167,34816,10240
168,36864,10240
169,38912,10240
170,40960,10240
171,43008,10240
172,45056,10240
173,47104,10240
174,49152,10240
175,51200,10240
176,53248,10240
177,55296,10240
178,57344,10240
183,6144,12288
184,8192,12288
185,10240,12288
186,12288,12288
187,14336,12288
188,16384,12288
189,18432,12288
190,20480,12288
191,22528,12288
192,24576,12288
193,26624,12288
194,28672,12288
195,30720,12288
196,32768,12288
197,34816,12288
198,36864,12288
199,38912,12288
200,40960,12288
201,43008,12288
202,45056,12288
203,47104,12288
204,49152,12288
205,51200,12288
206,53248,12288
207,55296,12288
208,57344,12288
212,4096,14336
213,6144,14336
214,8192,14336
215,10240,14336
216,12288,14336
217,14336,14336
218,16384,14336
219,18432,14336
220,20480,14336
221,22528,14336
222,24576,14336
223,26624,14336
224,28672,14336
225,30720,14336
226,32768,14336
227,34816,14336
228,36864,14336
229,38912,14336
230,40960,14336
231,43008,14336
232,45056,14336
233,47104,14336
234,49152,14336
235,51200,14336
236,53248,14336
237,55296,14336
238,57344,14336
242,4096,16384
243,6144,16384
244,8192,16384
245,10240,16384
246,12288,16384
247,14336,16384
248,16384,16384
249,18432,16384
250,20480,16384
251,22528,16384
252,24576,16384
253,26624,16384
254,28672,16384
255,30720,16384
256,32768,16384
257,34816,16384
258,36864,16384
259,38912,16384
260,40960,16384
261,43008,16384
262,45056,16384
263,47104,16384
264,49152,16384
265,51200,16384
266,53248,16384
267,55296,16384
268,57344,16384
269,59392,16384
271,2048,18432
272,4096,18432
273,6144,18432
274,8192,18432
275,10240,18432
276,12288,18432
277,14336,18432
278,16384,18432
279,18432,18432
280,20480,18432
281,22528,18432
282,24576,18432
283,26624,18432
284,28672,18432
285,30720,18432
286,32768,18432
287,34816,18432
288,36864,18432
289,38912,18432
290,40960,18432
291,43008,18432
292,45056,18432
293,47104,18432
294,49152,18432
295,51200,18432
296,53248,18432
297,55296,18432
298,57344,18432
299,59392,18432
301,2048,20480
302,4096,20480
303,6144,20480
304,8192,20480
305,10240,20480
306,12288,20480
307,14336,20480
308,16384,20480
309,18432,20480
310,20480,20480
311,22528,20480
312,24576,20480
313,26624,20480
314,28672,20480
315,30720,20480
316,32768,20480
317,34816,20480
318,36864,20480
319,38912,20480
320,40960,20480
321,43008,20480
322,45056,20480
323,47104,20480
324,49152,20480
325,51200,20480
326,53248,20480
327,55296,20480
328,57344,20480
329,59392,20480
331,2048,22528
332,4096,22528
333,6144,22528
334,8192,22528
335,10240,22528
336,12288,22528
337,14336,22528
338,16384,22528
339,18432,22528
340,20480,22528
341,22528,22528
342,24576,22528
343,26624,22528
344,28672,22528
345,30720,22528
346,32768,22528
347,34816,22528
348,36864,22528
349,38912,22528
350,40960,22528
351,43008,22528
352,45056,22528
353,47104,22528
354,49152,22528
355,51200,22528
356,53248,22528
357,55296,22528
358,57344,22528
359,59392,22528
361,2048,24576
362,4096,24576
363,6144,24576
364,8192,24576
365,10240,24576
366,12288,24576
367,14336,24576
368,16384,24576
369,18432,24576
370,20480,24576
371,22528,24576
372,24576,24576
373,26624,24576
374,28672,24576
375,30720,24576
376,32768,24576
377,34816,24576
378,36864,24576
379,38912,24576
380,40960,24576
381,43008,24576
382,45056,24576
383,47104,24576
384,49152,24576
385,51200,24576
386,53248,24576
387,55296,24576
388,57344,24576
391,2048,26624
392,4096,26624
393,6144,26624
394,8192,26624
395,10240,26624
396,12288,26624
397,14336,26624
398,16384,26624
399,18432,26624
400,20480,26624
401,22528,26624
402,24576,26624
403,26624,26624
404,28672,26624
405,30720,26624
406,32768,26624
407,34816,26624
408,36864,26624
409,38912,26624
410,40960,26624
411,43008,26624
412,45056,26624
413,47104,26624
414,49152,26624
415,51200,26624
416,53248,26624
417,55296,26624
420,0,28672
421,2048,28672
422,4096,28672
423,6144,28672
424,8192,28672
425,10240,28672
426,12288,28672
427,14336,28672
428,16384,28672
429,18432,28672
430,20480,28672
431,22528,28672
432,24576,28672
433,26624,28672
434,28672,28672
435,30720,28672
436,32768,28672
437,34816,28672
438,36864,28672
439,38912,28672
440,40960,28672
441,43008,28672
442,45056,28672
443,47104,28672
444,49152,28672
445,51200,28672
446,53248,28672
447,55296,28672
450,0,30720
451,2048,30720
452,4096,30720
453,6144,30720
454,8192,30720
455,10240,30720
456,12288,30720
457,14336,30720
458,16384,30720
459,18432,30720
460,20480,30720
461,22528,30720
462,24576,30720
463,26624,30720
464,28672,30720
465,30720,30720
466,32768,30720
467,34816,30720
468,36864,30720
469,38912,30720
470,40960,30720
471,43008,30720
472,45056,30720
473,47104,30720
474,49152,30720
475,51200,30720
476,53248,30720
477,55296,30720
480,0,32768
481,2048,32768
482,4096,32768
483,6144,32768
484,8192,32768
485,10240,32768
486,12288,32768
487,14336,32768
488,16384,32768
489,18432,32768
490,20480,32768
491,22528,32768
492,24576,32768
493,26624,32768
494,28672,32768
495,30720,32768
496,32768,32768
497,34816,32768
498,36864,32768
499,38912,32768
500,40960,32768
501,43008,32768
502,45056,32768
503,47104,32768
504,49152,32768
505,51200,32768
506,53248,32768
507,55296,32768
510,0,34816
511,2048,34816
512,4096,34816
513,6144,34816
514,8192,34816
515,10240,34816
516,12288,34816
517,14336,34816
518,16384,34816
519,18432,34816
520,20480,34816
521,22528,34816
522,24576,34816
523,26624,34816
524,28672,34816
525,30720,34816
526,32768,34816
527,34816,34816
528,36864,34816
529,38912,34816
530,40960,34816
531,43008,34816
532,45056,34816
533,47104,34816
534,49152,34816
535,51200,34816
536,53248,34816
540,0,36864
541,2048,36864
542,4096,36864
543,6144,36864
544,8192,36864
545,10240,36864
546,12288,36864
547,14336,36864
548,16384,36864
549,18432,36864
550,20480,36864
551,22528,36864
552,24576,36864
553,26624,36864
554,28672,36864
555,30720,36864
556,32768,36864
557,34816,36864
558,36864,36864
559,38912,36864
560,40960,36864
561,43008,36864
562,45056,36864
563,47104,36864
564,49152,36864
565,51200,36864
570,0,38912
571,2048,38912
572,4096,38912
573,6144,38912
574,8192,38912
575,10240,38912
576,12288,38912
577,14336,38912
578,16384,38912
579,18432,38912
580,20480,38912
581,22528,38912
582,24576,38912
583,26624,38912
584,28672,38912
585,30720,38912
586,32768,38912
587,34816,38912
588,36864,38912
600,0,40960
601,2048,40960
602,4096,40960
603,6144,40960
604,8192,40960
605,10240,40960
606,12288,40960
607,14336,40960
608,16384,40960
609,18432,40960
610,20480,40960
611,22528,40960
612,24576,40960
613,26624,40960
614,28672,40960
615,30720,40960
616,32768,40960
631,2048,43008
632,4096,43008
633,6144,43008
635,10240,43008
636,12288,43008
637,14336,43008
638,16384,43008
641,22528,43008
643,26624,43008
