bag_id,x,y
72,55296,2048
73,57344,2048
114,49152,4096
115,51200,4096
116,53248,4096
117,55296,4096
118,57344,4096
119,59392,4096
120,61440,4096
123,67584,4096
124,69632,4096
125,71680,4096
126,73728,4096
157,45056,6144
158,47104,6144
159,49152,6144
160,51200,6144
161,53248,6144
162,55296,6144
163,57344,6144
164,59392,6144
165,61440,6144
166,63488,6144
167,65536,6144
168,67584,6144
169,69632,6144
170,71680,6144
171,73728,6144
172,75776,6144
201,43008,8192
202,45056,8192
203,47104,8192
204,49152,8192
205,51200,8192
206,53248,8192
207,55296,8192
208,57344,8192
209,59392,8192
210,61440,8192
211,63488,8192
212,65536,8192
213,67584,8192
214,69632,8192
215,71680,8192
216,73728,8192
217,75776,8192
218,77824,8192
246,43008,10240
247,45056,10240
248,47104,10240
249,49152,10240
250,51200,10240
251,53248,10240
252,55296,10240
253,57344,10240
254,59392,10240
255,61440,10240
256,63488,10240
257,65536,10240
258,67584,10240
259,69632,10240
260,71680,10240
261,73728,10240
262,75776,10240
263,77824,10240
264,79872,10240
290,40960,12288
291,43008,12288
292,45056,12288
293,47104,12288
294,49152,12288
295,51200,12288
296,53248,12288
297,55296,12288
298,57344,12288
299,59392,12288
300,61440,12288
301,63488,12288
302,65536,12288
303,67584,12288
304,69632,12288
305,71680,12288
306,73728,12288
307,75776,12288
308,77824,12288
309,79872,12288
310,81920,12288
334,38912,14336
335,40960,14336
336,43008,14336
337,45056,14336
338,47104,14336
339,49152,14336
340,51200,14336
341,53248,14336
342,55296,14336
343,57344,14336
344,59392,14336
345,61440,14336
346,63488,14336
347,65536,14336
348,67584,14336
349,69632,14336
350,71680,14336
351,73728,14336
352,75776,14336
353,77824,14336
354,79872,14336
355,81920,14336
356,83968,14336
364,8192,16384
378,36864,16384
379,38912,16384
380,40960,16384
381,43008,16384
382,45056,16384
383,47104,16384
384,49152,16384
385,51200,16384
386,53248,16384
387,55296,16384
388,57344,16384
389,59392,16384
390,61440,16384
391,63488,16384
392,65536,16384
393,67584,16384
394,69632,16384
395,71680,16384
396,73728,16384
397,75776,16384
398,77824,16384
399,79872,16384
400,81920,16384
401,83968,16384
420,30720,18432
421,32768,18432
422,34816,18432
423,36864,18432
424,38912,18432
425,40960,18432
426,43008,18432
427,45056,18432
428,47104,18432
429,49152,18432
430,51200,18432
431,53248,18432
432,55296,18432
433,57344,18432
434,59392,18432
435,61440,18432
436,63488,18432
437,65536,18432
438,67584,18432
439,69632,18432
440,71680,18432
441,73728,18432
442,75776,18432
443,77824,18432
444,79872,18432
445,81920,18432
446,83968,18432
463,26624,20480
464,28672,20480
465,30720,20480
466,32768,20480
467,34816,20480
468,36864,20480
469,38912,20480
470,40960,20480
471,43008,20480
472,45056,20480
473,47104,20480
474,49152,20480
475,51200,20480
476,53248,20480
477,55296,20480
478,57344,20480
479,59392,20480
480,61440,20480
481,63488,20480
482,65536,20480
