bag_id,x,y
1,2048,0
2,4096,0
3,6144,0
4,8192,0
5,10240,0
6,12288,0
7,14336,0
8,16384,0
43,2048,2048
44,4096,2048
45,6144,2048
46,8192,2048
47,10240,2048
48,12288,2048
49,14336,2048
50,16384,2048
51,18432,2048
85,2048,4096
86,4096,4096
87,6144,4096
88,8192,4096
89,10240,4096
90,12288,4096
91,14336,4096
92,16384,4096
93,18432,4096
94,20480,4096
127,2048,6144
128,4096,6144
129,6144,6144
130,8192,6144
131,10240,6144
132,12288,6144
133,14336,6144
134,16384,6144
135,18432,6144
136,20480,6144
169,2048,8192
170,4096,8192
171,6144,8192
172,8192,8192
173,10240,8192
174,12288,8192
175,14336,8192
176,16384,8192
177,18432,8192
178,20480,8192
179,22528,8192
210,0,10240
211,2048,10240
212,4096,10240
213,6144,10240
214,8192,10240
215,10240,10240
216,12288,10240
217,14336,10240
218,16384,10240
219,18432,10240
220,20480,10240
221,22528,10240
222,24576,10240
252,0,12288
253,2048,12288
254,4096,12288
255,6144,12288
256,8192,12288
257,10240,12288
258,12288,12288
259,14336,12288
260,16384,12288
261,18432,12288
262,20480,12288
263,22528,12288
264,24576,12288
294,0,14336
295,2048,14336
296,4096,14336
297,6144,14336
298,8192,14336
299,10240,14336
300,12288,14336
301,14336,14336
302,16384,14336
303,18432,14336
304,20480,14336
305,22528,14336
306,24576,14336
337,2048,16384
338,4096,16384
339,6144,16384
340,8192,16384
341,10240,16384
342,12288,16384
343,14336,16384
344,16384,16384
345,18432,16384
346,20480,16384
347,22528,16384
348,24576,16384
349,26624,16384
378,0,18432
379,2048,18432
380,4096,18432
381,6144,18432
382,8192,18432
383,10240,18432
384,12288,18432
385,14336,18432
386,16384,18432
387,18432,18432
388,20480,18432
389,22528,18432
390,24576,18432
391,26624,18432
392,28672,18432
420,0,20480
421,2048,20480
422,4096,20480
423,6144,20480
424,8192,20480
425,10240,20480
426,12288,20480
427,14336,20480
428,16384,20480
429,18432,20480
430,20480,20480
431,22528,20480
432,24576,20480
433,26624,20480
434,28672,20480
462,0,22528
463,2048,22528
464,4096,22528
465,6144,22528
466,8192,22528
467,10240,22528
468,12288,22528
469,14336,22528
470,16384,22528
471,18432,22528
472,20480,22528
473,22528,22528
474,24576,22528
475,26624,22528
476,28672,22528
504,0,24576
505,2048,24576
506,4096,24576
507,6144,24576
508,8192,24576
509,10240,24576
510,12288,24576
511,14336,24576
512,16384,24576
513,18432,24576
514,20480,24576
515,22528,24576
516,24576,24576
517,26624,24576
518,28672,24576
546,0,26624
547,2048,26624
548,4096,26624
549,6144,26624
550,8192,26624
551,10240,26624
552,12288,26624
553,14336,26624
554,16384,26624
555,18432,26624
556,20480,26624
557,22528,26624
558,24576,26624
559,26624,26624
560,28672,26624
561,30720,26624
562,32768,26624
563,34816,26624
588,0,28672
589,2048,28672
590,4096,28672
591,6144,28672
592,8192,28672
593,10240,28672
594,12288,28672
595,14336,28672
596,16384,28672
597,18432,28672
598,20480,28672
599,22528,28672
600,24576,28672
601,26624,28672
602,28672,28672
603,30720,28672
604,32768,28672
605,34816,28672
606,36864,28672
630,0,30720
631,2048,30720
632,4096,30720
633,6144,30720
634,8192,30720
635,10240,30720
636,12288,30720
637,14336,30720
638,16384,30720
639,18432,30720
640,20480,30720
641,22528,30720
642,24576,30720
643,26624,30720
644,28672,30720
645,30720,30720
646,32768,30720
647,34816,30720
648,36864,30720
649,38912,30720
675,6144,32768
676,8192,32768
677,10240,32768
678,12288,32768
679,14336,32768
680,16384,32768
681,18432,32768
682,20480,32768
683,22528,32768
684,24576,32768
685,26624,32768
686,28672,32768
687,30720,32768
688,32768,32768
689,34816,32768
690,36864,32768
691,38912,32768
692,40960,32768
693,43008,32768
694,45056,32768
695,47104,32768
696,49152,32768
697,51200,32768
698,53248,32768
719,10240,34816
720,12288,34816
721,14336,34816
