bag_id,x,y
29,59392,0
30,61440,0
31,63488,0
32,65536,0
33,67584,0
34,69632,0
35,71680,0
36,73728,0
37,75776,0
38,77824,0
66,55296,2048
67,57344,2048
68,59392,2048
69,61440,2048
70,63488,2048
71,65536,2048
72,67584,2048
73,69632,2048
74,71680,2048
75,73728,2048
76,75776,2048
77,77824,2048
99,43008,4096
100,45056,4096
101,47104,4096
102,49152,4096
103,51200,4096
104,53248,4096
105,55296,4096
106,57344,4096
107,59392,4096
108,61440,4096
109,63488,4096
110,65536,4096
111,67584,4096
112,69632,4096
113,71680,4096
114,73728,4096
115,75776,4096
116,77824,4096
132,30720,6144
133,32768,6144
134,34816,6144
135,36864,6144
137,40960,6144
138,43008,6144
139,45056,6144
140,47104,6144
141,49152,6144
142,51200,6144
143,53248,6144
144,55296,6144
145,57344,6144
146,59392,6144
147,61440,6144
148,63488,6144
149,65536,6144
150,67584,6144
151,69632,6144
152,71680,6144
153,73728,6144
154,75776,6144
155,77824,6144
170,28672,8192
171,30720,8192
172,32768,8192
173,34816,8192
174,36864,8192
175,38912,8192
176,40960,8192
177,43008,8192
178,45056,8192
179,47104,8192
180,49152,8192
181,51200,8192
182,53248,8192
183,55296,8192
184,57344,8192
185,59392,8192
186,61440,8192
187,63488,8192
188,65536,8192
189,67584,8192
190,69632,8192
191,71680,8192
192,73728,8192
193,75776,8192
194,77824,8192
209,28672,10240
210,30720,10240
211,32768,10240
212,34816,10240
213,36864,10240
214,38912,10240
215,40960,10240
216,43008,10240
217,45056,10240
218,47104,10240
219,49152,10240
220,51200,10240
221,53248,10240
222,55296,10240
223,57344,10240
224,59392,10240
225,61440,10240
226,63488,10240
227,65536,10240
228,67584,10240
229,69632,10240
230,71680,10240
231,73728,10240
232,75776,10240
233,77824,10240
241,14336,12288
242,16384,12288
243,18432,12288
244,20480,12288
245,22528,12288
246,24576,12288
248,28672,12288
249,30720,12288
250,32768,12288
251,34816,12288
252,36864,12288
253,38912,12288
254,40960,12288
255,43008,12288
256,45056,12288
257,47104,12288
258,49152,12288
259,51200,12288
260,53248,12288
261,55296,12288
262,57344,12288
263,59392,12288
267,67584,12288
268,69632,12288
269,71680,12288
270,73728,12288
271,75776,12288
272,77824,12288
277,8192,14336
278,10240,14336
279,12288,14336
280,14336,14336
281,16384,14336
282,18432,14336
283,20480,14336
284,22528,14336
285,24576,14336
286,26624,14336
287,28672,14336
288,30720,14336
289,32768,14336
290,34816,14336
291,36864,14336
292,38912,14336
293,40960,14336
294,43008,14336
295,45056,14336
296,47104,14336
297,49152,14336
298,51200,14336
299,53248,14336
300,55296,14336
301,57344,14336
306,67584,14336
307,69632,14336
308,71680,14336
309,73728,14336
310,75776,14336
311,77824,14336
314,4096,16384
315,6144,16384
316,8192,16384
317,10240,16384
318,12288,16384
319,14336,16384
320,16384,16384
321,18432,16384
322,20480,16384
323,22528,16384
324,24576,16384
325,26624,16384
326,28672,16384
327,30720,16384
328,32768,16384
329,34816,16384
330,36864,16384
331,38912,16384
332,40960,16384
333,43008,16384
334,45056,16384
335,47104,16384
336,49152,16384
337,51200,16384
338,53248,16384
345,67584,16384
346,69632,16384
347,71680,16384
348,73728,16384
349,75776,16384
352,2048,18432
353,4096,18432
354,6144,18432
355,8192,18432
356,10240,18432
357,12288,18432
358,14336,18432
359,16384,18432
360,18432,18432
361,20480,18432
362,22528,18432
363,24576,18432
364,26624,18432
365,28672,18432
366,30720,18432
367,32768,18432
368,34816,18432
369,36864,18432
370,38912,18432
371,40960,18432
372,43008,18432
373,45056,18432
374,47104,18432
375,49152,18432
376,51200,18432
385,69632,18432
386,71680,18432
387,73728,18432
390,0,20480
391,2048,20480
392,4096,20480
393,6144,20480
395,10240,20480
396,12288,20480
397,14336,20480
398,16384,20480
399,18432,20480
400,20480,20480
401,22528,20480
402,24576,20480
403,26624,20480
404,28672,20480
405,30720,20480
406,32768,20480
407,34816,20480
408,36864,20480
409,38912,20480
410,40960,20480
411,43008,20480
412,45056,20480
413,47104,20480
429,0,22528
430,2048,22528
435,12288,22528
436,14336,22528
437,16384,22528
438,18432,22528
439,20480,22528
440,22528,22528
441,24576,22528
442,26624,22528
443,28672,22528
444,30720,22528
445,32768,22528
446,34816,22528
447,36864,22528
448,38912,22528
449,40960,22528
450,43008,22528
474,12288,24576
475,14336,24576
476,16384,24576
477,18432,24576
478,20480,24576
479,22528,24576
480,24576,24576
481,26624,24576
482,28672,24576
483,30720,24576
484,32768,24576
485,34816,24576
486,36864,24576
487,38912,24576
513,12288,26624
514,14336,26624
515,16384,26624
516,18432,26624
517,20480,26624
518,22528,26624
519,24576,26624
520,26624,26624
553,14336,28672
554,16384,28672
555,18432,28672
556,20480,28672
557,22528,28672
558,24576,28672
559,26624,28672
