bag_id,x,y
25,51200,0
26,53248,0
27,55296,0
28,57344,0
29,59392,0
30,61440,0
31,63488,0
32,65536,0
62,32768,2048
71,51200,2048
72,53248,2048
73,55296,2048
74,57344,2048
75,59392,2048
76,61440,2048
77,63488,2048
78,65536,2048
79,67584,2048
80,69632,2048
108,32768,4096
109,34816,4096
110,36864,4096
111,38912,4096
115,47104,4096
116,49152,4096
117,51200,4096
118,53248,4096
119,55296,4096
120,57344,4096
121,59392,4096
122,61440,4096
123,63488,4096
124,65536,4096
125,67584,4096
126,69632,4096
127,71680,4096
128,73728,4096
152,28672,6144
154,32768,6144
155,34816,6144
156,36864,6144
157,38912,6144
158,40960,6144
159,43008,6144
160,45056,6144
161,47104,6144
162,49152,6144
163,51200,6144
164,53248,6144
165,55296,6144
166,57344,6144
167,59392,6144
168,61440,6144
169,63488,6144
170,65536,6144
171,67584,6144
172,69632,6144
173,71680,6144
174,73728,6144
175,75776,6144
197,26624,8192
198,28672,8192
200,32768,8192
201,34816,8192
202,36864,8192
203,38912,8192
204,40960,8192
205,43008,8192
206,45056,8192
207,47104,8192
208,49152,8192
209,51200,8192
210,53248,8192
211,55296,8192
212,57344,8192
213,59392,8192
214,61440,8192
215,63488,8192
216,65536,8192
217,67584,8192
218,69632,8192
219,71680,8192
220,73728,8192
221,75776,8192
222,77824,8192
223,79872,8192
229,92160,8192
243,26624,10240
244,28672,10240
245,30720,10240
246,32768,10240
247,34816,10240
248,36864,10240
249,38912,10240
250,40960,10240
251,43008,10240
252,45056,10240
253,47104,10240
254,49152,10240
255,51200,10240
256,53248,10240
257,55296,10240
258,57344,10240
259,59392,10240
260,61440,10240
261,63488,10240
262,65536,10240
263,67584,10240
264,69632,10240
265,71680,10240
266,73728,10240
267,75776,10240
268,77824,10240
269,79872,10240
270,81920,10240
280,8192,12288
281,10240,12288
282,12288,12288
283,14336,12288
285,18432,12288
287,22528,12288
288,24576,12288
289,26624,12288
290,28672,12288
291,30720,12288
292,32768,12288
293,34816,12288
294,36864,12288
295,38912,12288
296,40960,12288
297,43008,12288
298,45056,12288
299,47104,12288
300,49152,12288
301,51200,12288
302,53248,12288
303,55296,12288
304,57344,12288
305,59392,12288
306,61440,12288
307,63488,12288
308,65536,12288
309,67584,12288
310,69632,12288
311,71680,12288
312,73728,12288
313,75776,12288
314,77824,12288
315,79872,12288
316,81920,12288
317,83968,12288
325,6144,14336
326,8192,14336
327,10240,14336
328,12288,14336
329,14336,14336
330,16384,14336
331,18432,14336
333,22528,14336
334,24576,14336
335,26624,14336
337,30720,14336
338,32768,14336
339,34816,14336
340,36864,14336
341,38912,14336
