bag_id,x,y
30,10240,2048
31,12288,2048
32,14336,2048
33,16384,2048
34,18432,2048
35,20480,2048
36,22528,2048
39,28672,2048
40,30720,2048
41,32768,2048
54,8192,4096
55,10240,4096
56,12288,4096
57,14336,4096
58,16384,4096
59,18432,4096
60,20480,4096
61,22528,4096
64,28672,4096
65,30720,4096
66,32768,4096
79,8192,6144
80,10240,6144
81,12288,6144
82,14336,6144
83,16384,6144
84,18432,6144
85,20480,6144
86,22528,6144
88,26624,6144
89,28672,6144
90,30720,6144
91,32768,6144
103,6144,8192
104,8192,8192
105,10240,8192
106,12288,8192
107,14336,8192
108,16384,8192
109,18432,8192
110,20480,8192
112,24576,8192
113,26624,8192
114,28672,8192
115,30720,8192
116,32768,8192
117,34816,8192
128,6144,10240
129,8192,10240
130,10240,10240
131,12288,10240
132,14336,10240
133,16384,10240
137,24576,10240
138,26624,10240
139,28672,10240
140,30720,10240
141,32768,10240
142,34816,10240
143,36864,10240
153,6144,12288
154,8192,12288
155,10240,12288
156,12288,12288
157,14336,12288
161,22528,12288
162,24576,12288
163,26624,12288
164,28672,12288
165,30720,12288
166,32768,12288
167,34816,12288
168,36864,12288
169,38912,12288
177,4096,14336
178,6144,14336
179,8192,14336
180,10240,14336
181,12288,14336
185,20480,14336
186,22528,14336
187,24576,14336
188,26624,14336
189,28672,14336
190,30720,14336
191,32768,14336
192,34816,14336
193,36864,14336
194,38912,14336
195,40960,14336
202,4096,16384
203,6144,16384
204,8192,16384
205,10240,16384
206,12288,16384
209,18432,16384
210,20480,16384
211,22528,16384
212,24576,16384
213,26624,16384
214,28672,16384
215,30720,16384
216,32768,16384
217,34816,16384
218,36864,16384
219,38912,16384
220,40960,16384
226,2048,18432
227,4096,18432
228,6144,18432
229,8192,18432
230,10240,18432
231,12288,18432
234,18432,18432
235,20480,18432
236,22528,18432
238,26624,18432
239,28672,18432
240,30720,18432
241,32768,18432
242,34816,18432
243,36864,18432
244,38912,18432
245,40960,18432
246,43008,18432
250,0,20480
251,2048,20480
252,4096,20480
253,6144,20480
254,8192,20480
255,10240,20480
256,12288,20480
259,18432,20480
260,20480,20480
264,28672,20480
265,30720,20480
266,32768,20480
267,34816,20480
268,36864,20480
269,38912,20480
270,40960,20480
271,43008,20480
272,45056,20480
275,0,22528
276,2048,22528
277,4096,22528
278,6144,22528
279,8192,22528
280,10240,22528
281,12288,22528
282,14336,22528
283,16384,22528
284,18432,22528
289,28672,22528
290,30720,22528
291,32768,22528
292,34816,22528
293,36864,22528
294,38912,22528
295,40960,22528
296,43008,22528
297,45056,22528
300,0,24576
301,2048,24576
302,4096,24576
303,6144,24576
304,8192,24576
305,10240,24576
306,12288,24576
307,14336,24576
308,16384,24576
309,18432,24576
314,28672,24576
315,30720,24576
316,32768,24576
317,34816,24576
318,36864,24576
319,38912,24576
320,40960,24576
321,43008,24576
322,45056,24576
323,47104,24576
325,0,26624
326,2048,26624
327,4096,26624
328,6144,26624
329,8192,26624
330,10240,26624
331,12288,26624
332,14336,26624
340,30720,26624
341,32768,26624
342,34816,26624
343,36864,26624
344,38912,26624
345,40960,26624
346,43008,26624
347,45056,26624
348,47104,26624
349,49152,26624
350,0,28672
351,2048,28672
352,4096,28672
353,6144,28672
354,8192,28672
365,30720,28672
366,32768,28672
367,34816,28672
368,36864,28672
369,38912,28672
370,40960,28672
371,43008,28672
372,45056,28672
373,47104,28672
374,49152,28672
377,4096,30720
385,20480,30720
390,30720,30720
391,32768,30720
392,34816,30720
393,36864,30720
394,38912,30720
395,40960,30720
396,43008,30720
397,45056,30720
408,16384,32768
409,18432,32768
410,20480,32768
411,22528,32768
412,24576,32768
414,28672,32768
415,30720,32768
416,32768,32768
417,34816,32768
418,36864,32768
419,38912,32768
420,40960,32768
421,43008,32768
432,14336,34816
433,16384,34816
434,18432,34816
435,20480,34816
436,22528,34816
437,24576,34816
438,26624,34816
439,28672,34816
440,30720,34816
441,32768,34816
442,34816,34816
443,36864,34816
444,38912,34816
459,18432,36864
460,20480,36864
461,22528,36864
462,24576,36864
463,26624,36864
464,28672,36864
465,30720,36864
466,32768,36864
486,22528,38912
487,24576,38912
488,26624,38912
489,28672,38912
490,30720,38912
491,32768,38912
514,28672,40960
516,32768,40960
