bag_id,x,y
7,14336,0
8,16384,0
9,18432,0
30,12288,2048
31,14336,2048
32,16384,2048
33,18432,2048
34,20480,2048
39,30720,2048
40,32768,2048
41,34816,2048
54,12288,4096
55,14336,4096
56,16384,4096
57,18432,4096
58,20480,4096
59,22528,4096
60,24576,4096
61,26624,4096
62,28672,4096
63,30720,4096
64,32768,4096
65,34816,4096
66,36864,4096
75,6144,6144
76,8192,6144
78,12288,6144
79,14336,6144
80,16384,6144
81,18432,6144
82,20480,6144
83,22528,6144
84,24576,6144
85,26624,6144
86,28672,6144
87,30720,6144
88,32768,6144
89,34816,6144
90,36864,6144
91,38912,6144
98,4096,8192
99,6144,8192
100,8192,8192
101,10240,8192
102,12288,8192
103,14336,8192
104,16384,8192
105,18432,8192
106,20480,8192
107,22528,8192
109,26624,8192
110,28672,8192
111,30720,8192
112,32768,8192
113,34816,8192
114,36864,8192
115,38912,8192
116,40960,8192
122,4096,10240
123,6144,10240
124,8192,10240
125,10240,10240
126,12288,10240
127,14336,10240
128,16384,10240
129,18432,10240
130,20480,10240
131,22528,10240
133,26624,10240
134,28672,10240
135,30720,10240
136,32768,10240
137,34816,10240
138,36864,10240
139,38912,10240
140,40960,10240
146,4096,12288
147,6144,12288
148,8192,12288
149,10240,12288
150,12288,12288
151,14336,12288
152,16384,12288
153,18432,12288
157,26624,12288
158,28672,12288
159,30720,12288
160,32768,12288
161,34816,12288
162,36864,12288
163,38912,12288
164,40960,12288
170,4096,14336
171,6144,14336
172,8192,14336
173,10240,14336
174,12288,14336
175,14336,14336
176,16384,14336
180,24576,14336
181,26624,14336
182,28672,14336
183,30720,14336
184,32768,14336
185,34816,14336
186,36864,14336
187,38912,14336
188,40960,14336
189,43008,14336
190,45056,14336
193,2048,16384
194,4096,16384
195,6144,16384
196,8192,16384
197,10240,16384
198,12288,16384
199,14336,16384
200,16384,16384
202,20480,16384
203,22528,16384
204,24576,16384
205,26624,16384
213,43008,16384
214,45056,16384
217,2048,18432
218,4096,18432
219,6144,18432
220,8192,18432
221,10240,18432
222,12288,18432
223,14336,18432
224,16384,18432
225,18432,18432
226,20480,18432
227,22528,18432
228,24576,18432
238,45056,18432
239,47104,18432
241,2048,20480
242,4096,20480
243,6144,20480
244,8192,20480
245,10240,20480
246,12288,20480
247,14336,20480
248,16384,20480
249,18432,20480
250,20480,20480
262,45056,20480
263,47104,20480
264,0,22528
265,2048,22528
266,4096,22528
267,6144,22528
268,8192,22528
269,10240,22528
270,12288,22528
271,14336,22528
272,16384,22528
273,18432,22528
274,20480,22528
286,45056,22528
287,47104,22528
288,0,24576
289,2048,24576
290,4096,24576
291,6144,24576
292,8192,24576
293,10240,24576
294,12288,24576
295,14336,24576
296,16384,24576
297,18432,24576
298,20480,24576
310,45056,24576
311,47104,24576
312,0,26624
313,2048,26624
314,4096,26624
315,6144,26624
316,8192,26624
317,10240,26624
318,12288,26624
319,14336,26624
320,16384,26624
321,18432,26624
322,20480,26624
334,45056,26624
336,0,28672
337,2048,28672
338,4096,28672
339,6144,28672
340,8192,28672
341,10240,28672
342,12288,28672
343,14336,28672
344,16384,28672
345,18432,28672
346,20480,28672
357,43008,28672
358,45056,28672
360,0,30720
361,2048,30720
362,4096,30720
363,6144,30720
364,8192,30720
365,10240,30720
366,12288,30720
367,14336,30720
368,16384,30720
369,18432,30720
370,20480,30720
381,43008,30720
382,45056,30720
384,0,32768
385,2048,32768
386,4096,32768
387,6144,32768
388,8192,32768
389,10240,32768
390,12288,32768
391,14336,32768
392,16384,32768
393,18432,32768
394,20480,32768
404,40960,32768
408,0,34816
409,2048,34816
410,4096,34816
411,6144,34816
412,8192,34816
413,10240,34816
414,12288,34816
415,14336,34816
416,16384,34816
417,18432,34816
418,20480,34816
433,2048,36864
434,4096,36864
435,6144,36864
436,8192,36864
437,10240,36864
438,12288,36864
439,14336,36864
440,16384,36864
441,18432,36864
442,20480,36864
457,2048,38912
458,4096,38912
459,6144,38912
460,8192,38912
461,10240,38912
462,12288,38912
463,14336,38912
464,16384,38912
465,18432,38912
466,20480,38912
470,28672,38912
471,30720,38912
482,4096,40960
483,6144,40960
484,8192,40960
485,10240,40960
486,12288,40960
487,14336,40960
488,16384,40960
489,18432,40960
490,20480,40960
492,24576,40960
493,26624,40960
494,28672,40960
507,6144,43008
508,8192,43008
509,10240,43008
510,12288,43008
511,14336,43008
512,16384,43008
513,18432,43008
514,20480,43008
515,22528,43008
516,24576,43008
532,8192,45056
533,10240,45056
534,12288,45056
535,14336,45056
536,16384,45056
537,18432,45056
538,20480,45056
539,22528,45056
