bag_id,x,y
2,4096,0
3,6144,0
4,8192,0
5,10240,0
50,4096,2048
51,6144,2048
52,8192,2048
53,10240,2048
54,12288,2048
98,4096,4096
99,6144,4096
100,8192,4096
101,10240,4096
102,12288,4096
103,14336,4096
104,16384,4096
145,2048,6144
146,4096,6144
147,6144,6144
148,8192,6144
149,10240,6144
150,12288,6144
151,14336,6144
152,16384,6144
153,18432,6144
154,20480,6144
193,2048,8192
194,4096,8192
196,8192,8192
197,10240,8192
198,12288,8192
199,14336,8192
200,16384,8192
201,18432,8192
202,20480,8192
203,22528,8192
204,24576,8192
205,26624,8192
206,28672,8192
207,30720,8192
238,94208,8192
239,96256,8192
241,2048,10240
242,4096,10240
244,8192,10240
245,10240,10240
246,12288,10240
247,14336,10240
248,16384,10240
249,18432,10240
250,20480,10240
251,22528,10240
252,24576,10240
253,26624,10240
254,28672,10240
255,30720,10240
256,32768,10240
257,34816,10240
258,36864,10240
259,38912,10240
260,40960,10240
282,86016,10240
283,88064,10240
284,90112,10240
285,92160,10240
286,94208,10240
287,96256,10240
289,2048,12288
290,4096,12288
292,8192,12288
293,10240,12288
294,12288,12288
295,14336,12288
296,16384,12288
297,18432,12288
298,20480,12288
299,22528,12288
300,24576,12288
301,26624,12288
302,28672,12288
303,30720,12288
304,32768,12288
305,34816,12288
306,36864,12288
307,38912,12288
308,40960,12288
329,83968,12288
330,86016,12288
331,88064,12288
332,90112,12288
333,92160,12288
334,94208,12288
335,96256,12288
337,2048,14336
340,8192,14336
341,10240,14336
342,12288,14336
343,14336,14336
344,16384,14336
345,18432,14336
346,20480,14336
347,22528,14336
348,24576,14336
349,26624,14336
350,28672,14336
351,30720,14336
352,32768,14336
353,34816,14336
354,36864,14336
355,38912,14336
356,40960,14336
357,43008,14336
376,81920,14336
377,83968,14336
378,86016,14336
379,88064,14336
380,90112,14336
381,92160,14336
382,94208,14336
383,96256,14336
392,16384,16384
393,18432,16384
396,24576,16384
397,26624,16384
398,28672,16384
399,30720,16384
400,32768,16384
401,34816,16384
402,36864,16384
403,38912,16384
404,40960,16384
405,43008,16384
406,45056,16384
424,81920,16384
425,83968,16384
426,86016,16384
427,88064,16384
428,90112,16384
429,92160,16384
430,94208,16384
