bag_id,x,y
2,4096,0
3,6144,0
5,10240,0
6,12288,0
7,14336,0
8,0,2048
9,2048,2048
10,4096,2048
11,6144,2048
12,8192,2048
13,10240,2048
14,12288,2048
15,14336,2048
16,0,4096
17,2048,4096
18,4096,4096
19,6144,4096
20,8192,4096
21,10240,4096
22,12288,4096
23,14336,4096
24,0,6144
25,2048,6144
26,4096,6144
27,6144,6144
28,8192,6144
29,10240,6144
30,12288,6144
31,14336,6144
32,0,8192
33,2048,8192
34,4096,8192
35,6144,8192
36,8192,8192
37,10240,8192
38,12288,8192
39,14336,8192
40,0,10240
41,2048,10240
42,4096,10240
43,6144,10240
44,8192,10240
45,10240,10240
46,12288,10240
47,14336,10240
48,0,12288
49,2048,12288
50,4096,12288
51,6144,12288
52,8192,12288
53,10240,12288
54,12288,12288
55,14336,12288
56,0,14336
57,2048,14336
58,4096,14336
59,6144,14336
60,8192,14336
61,10240,14336
62,12288,14336
63,14336,14336
64,0,16384
65,2048,16384
66,4096,16384
67,6144,16384
68,8192,16384
69,10240,16384
70,12288,16384
71,14336,16384
78,12288,18432
79,14336,18432
