bag_id,x,y
29,59392,0
77,73728,2048
117,71680,4096
118,73728,4096
119,75776,4096
155,65536,6144
156,67584,6144
157,69632,6144
158,71680,6144
159,73728,6144
193,59392,8192
194,61440,8192
195,63488,8192
196,65536,8192
197,67584,8192
198,69632,8192
199,71680,8192
217,24576,10240
234,59392,10240
235,61440,10240
236,63488,10240
237,65536,10240
238,67584,10240
239,69632,10240
240,71680,10240
254,16384,12288
255,18432,12288
256,20480,12288
257,22528,12288
258,24576,12288
259,26624,12288
260,28672,12288
261,30720,12288
262,32768,12288
263,34816,12288
275,59392,12288
276,61440,12288
277,63488,12288
278,65536,12288
279,67584,12288
280,69632,12288
281,71680,12288
282,73728,12288
283,75776,12288
293,12288,14336
294,14336,14336
295,16384,14336
296,18432,14336
297,20480,14336
298,22528,14336
299,24576,14336
300,26624,14336
301,28672,14336
302,30720,14336
303,32768,14336
304,34816,14336
305,36864,14336
306,38912,14336
307,40960,14336
315,57344,14336
316,59392,14336
317,61440,14336
318,63488,14336
319,65536,14336
320,67584,14336
321,69632,14336
322,71680,14336
323,73728,14336
324,75776,14336
334,12288,16384
335,14336,16384
336,16384,16384
337,18432,16384
338,20480,16384
339,22528,16384
340,24576,16384
341,26624,16384
342,28672,16384
343,30720,16384
344,32768,16384
345,34816,16384
346,36864,16384
347,38912,16384
348,40960,16384
349,43008,16384
350,45056,16384
351,47104,16384
356,57344,16384
357,59392,16384
358,61440,16384
359,63488,16384
360,65536,16384
361,67584,16384
362,69632,16384
363,71680,16384
364,73728,16384
365,75776,16384
366,77824,16384
375,12288,18432
376,14336,18432
377,16384,18432
378,18432,18432
379,20480,18432
380,22528,18432
381,24576,18432
382,26624,18432
383,28672,18432
384,30720,18432
385,32768,18432
386,34816,18432
387,36864,18432
388,38912,18432
389,40960,18432
390,43008,18432
391,45056,18432
392,47104,18432
393,49152,18432
394,51200,18432
397,57344,18432
398,59392,18432
399,61440,18432
400,63488,18432
401,65536,18432
402,67584,18432
403,69632,18432
404,71680,18432
405,73728,18432
406,75776,18432
407,77824,18432
415,10240,20480
416,12288,20480
417,14336,20480
418,16384,20480
419,18432,20480
420,20480,20480
421,22528,20480
422,24576,20480
423,26624,20480
424,28672,20480
425,30720,20480
426,32768,20480
427,34816,20480
428,36864,20480
429,38912,20480
430,40960,20480
431,43008,20480
432,45056,20480
433,47104,20480
434,49152,20480
435,51200,20480
436,53248,20480
437,55296,20480
438,57344,20480
439,59392,20480
440,61440,20480
441,63488,20480
442,65536,20480
443,67584,20480
444,69632,20480
445,71680,20480
446,73728,20480
447,75776,20480
448,77824,20480
455,8192,22528
456,10240,22528
457,12288,22528
458,14336,22528
459,16384,22528
463,24576,22528
464,26624,22528
465,28672,22528
466,30720,22528
467,32768,22528
468,34816,22528
469,36864,22528
470,38912,22528
471,40960,22528
472,43008,22528
473,45056,22528
474,47104,22528
475,49152,22528
476,51200,22528
477,53248,22528
478,55296,22528
479,57344,22528
480,59392,22528
481,61440,22528
482,63488,22528
483,65536,22528
484,67584,22528
485,69632,22528
486,71680,22528
487,73728,22528
488,75776,22528
489,77824,22528
496,8192,24576
497,10240,24576
498,12288,24576
499,14336,24576
500,16384,24576
506,28672,24576
507,30720,24576
508,32768,24576
509,34816,24576
510,36864,24576
511,38912,24576
512,40960,24576
513,43008,24576
514,45056,24576
515,47104,24576
516,49152,24576
517,51200,24576
518,53248,24576
519,55296,24576
520,57344,24576
521,59392,24576
522,61440,24576
523,63488,24576
524,65536,24576
525,67584,24576
526,69632,24576
527,71680,24576
528,73728,24576
529,75776,24576
530,77824,24576
536,6144,26624
537,8192,26624
538,10240,26624
539,12288,26624
540,14336,26624
541,16384,26624
547,28672,26624
548,30720,26624
549,32768,26624
550,34816,26624
551,36864,26624
552,38912,26624
553,40960,26624
554,43008,26624
556,47104,26624
557,49152,26624
558,51200,26624
559,53248,26624
560,55296,26624
561,57344,26624
562,59392,26624
563,61440,26624
564,63488,26624
566,67584,26624
567,69632,26624
568,71680,26624
569,73728,26624
570,75776,26624
571,77824,26624
572,79872,26624
575,2048,28672
576,4096,28672
577,6144,28672
578,8192,28672
579,10240,28672
580,12288,28672
581,14336,28672
582,16384,28672
583,18432,28672
589,30720,28672
590,32768,28672
591,34816,28672
592,36864,28672
593,38912,28672
594,40960,28672
595,43008,28672
597,47104,28672
598,49152,28672
599,51200,28672
600,53248,28672
601,55296,28672
602,57344,28672
603,59392,28672
604,61440,28672
605,63488,28672
610,73728,28672
611,75776,28672
612,77824,28672
613,79872,28672
616,2048,30720
617,4096,30720
618,6144,30720
619,8192,30720
620,10240,30720
621,12288,30720
622,14336,30720
623,16384,30720
624,18432,30720
625,20480,30720
626,22528,30720
629,28672,30720
630,30720,30720
631,32768,30720
632,34816,30720
633,36864,30720
634,38912,30720
635,40960,30720
636,43008,30720
637,45056,30720
638,47104,30720
639,49152,30720
640,51200,30720
641,53248,30720
642,55296,30720
643,57344,30720
644,59392,30720
645,61440,30720
646,63488,30720
651,73728,30720
652,75776,30720
653,77824,30720
654,79872,30720
657,2048,32768
658,4096,32768
659,6144,32768
660,8192,32768
662,12288,32768
663,14336,32768
664,16384,32768
665,18432,32768
666,20480,32768
667,22528,32768
669,26624,32768
670,28672,32768
671,30720,32768
672,32768,32768
673,34816,32768
674,36864,32768
675,38912,32768
676,40960,32768
677,43008,32768
678,45056,32768
679,47104,32768
680,49152,32768
681,51200,32768
682,53248,32768
683,55296,32768
684,57344,32768
685,59392,32768
686,61440,32768
687,63488,32768
692,73728,32768
693,75776,32768
694,77824,32768
695,79872,32768
698,2048,34816
699,4096,34816
701,8192,34816
702,10240,34816
703,12288,34816
704,14336,34816
705,16384,34816
706,18432,34816
707,20480,34816
708,22528,34816
709,24576,34816
710,26624,34816
711,28672,34816
712,30720,34816
713,32768,34816
714,34816,34816
715,36864,34816
716,38912,34816
717,40960,34816
718,43008,34816
719,45056,34816
720,47104,34816
721,49152,34816
722,51200,34816
723,53248,34816
724,55296,34816
725,57344,34816
726,59392,34816
727,61440,34816
728,63488,34816
732,71680,34816
733,73728,34816
734,75776,34816
735,77824,34816
739,2048,36864
740,4096,36864
741,6144,36864
742,8192,36864
743,10240,36864
744,12288,36864
745,14336,36864
746,16384,36864
747,18432,36864
748,20480,36864
749,22528,36864
750,24576,36864
751,26624,36864
752,28672,36864
753,30720,36864
754,32768,36864
755,34816,36864
756,36864,36864
757,38912,36864
758,40960,36864
759,43008,36864
760,45056,36864
761,47104,36864
762,49152,36864
763,51200,36864
764,53248,36864
765,55296,36864
766,57344,36864
767,59392,36864
768,61440,36864
769,63488,36864
773,71680,36864
774,73728,36864
775,75776,36864
776,77824,36864
781,4096,38912
782,6144,38912
783,8192,38912
784,10240,38912
785,12288,38912
786,14336,38912
787,16384,38912
788,18432,38912
789,20480,38912
791,24576,38912
792,26624,38912
793,28672,38912
794,30720,38912
795,32768,38912
796,34816,38912
797,36864,38912
798,38912,38912
799,40960,38912
800,43008,38912
801,45056,38912
802,47104,38912
803,49152,38912
804,51200,38912
806,55296,38912
807,57344,38912
808,59392,38912
809,61440,38912
810,63488,38912
813,69632,38912
814,71680,38912
815,73728,38912
816,75776,38912
817,77824,38912
822,4096,40960
823,6144,40960
824,8192,40960
825,10240,40960
826,12288,40960
827,14336,40960
828,16384,40960
829,18432,40960
830,20480,40960
831,22528,40960
832,24576,40960
833,26624,40960
834,28672,40960
835,30720,40960
836,32768,40960
837,34816,40960
838,36864,40960
839,38912,40960
840,40960,40960
841,43008,40960
842,45056,40960
843,47104,40960
844,49152,40960
845,51200,40960
847,55296,40960
848,57344,40960
849,59392,40960
850,61440,40960
851,63488,40960
852,65536,40960
853,67584,40960
854,69632,40960
855,71680,40960
856,73728,40960
857,75776,40960
866,10240,43008
867,12288,43008
868,14336,43008
869,16384,43008
871,20480,43008
872,22528,43008
873,24576,43008
874,26624,43008
875,28672,43008
876,30720,43008
877,32768,43008
878,34816,43008
879,36864,43008
880,38912,43008
881,40960,43008
882,43008,43008
883,45056,43008
884,47104,43008
885,49152,43008
886,51200,43008
887,53248,43008
888,55296,43008
889,57344,43008
890,59392,43008
891,61440,43008
892,63488,43008
893,65536,43008
894,67584,43008
895,69632,43008
896,71680,43008
897,73728,43008
908,12288,45056
909,14336,45056
910,16384,45056
912,20480,45056
913,22528,45056
914,24576,45056
915,26624,45056
916,28672,45056
917,30720,45056
918,32768,45056
919,34816,45056
920,36864,45056
921,38912,45056
922,40960,45056
923,43008,45056
924,45056,45056
925,47104,45056
926,49152,45056
927,51200,45056
928,53248,45056
929,55296,45056
930,57344,45056
931,59392,45056
932,61440,45056
933,63488,45056
934,65536,45056
935,67584,45056
936,69632,45056
937,71680,45056
938,73728,45056
955,24576,47104
956,26624,47104
957,28672,47104
958,30720,47104
959,32768,47104
960,34816,47104
961,36864,47104
962,38912,47104
963,40960,47104
964,43008,47104
965,45056,47104
966,47104,47104
967,49152,47104
968,51200,47104
969,53248,47104
970,55296,47104
971,57344,47104
972,59392,47104
973,61440,47104
974,63488,47104
975,65536,47104
976,67584,47104
977,69632,47104
978,71680,47104
997,26624,49152
998,28672,49152
999,30720,49152
1000,32768,49152
1001,34816,49152
1002,36864,49152
1003,38912,49152
1004,40960,49152
1005,43008,49152
1006,45056,49152
1007,47104,49152
1008,49152,49152
1009,51200,49152
1010,53248,49152
1011,55296,49152
1012,57344,49152
1013,59392,49152
1014,61440,49152
1015,63488,49152
1016,65536,49152
1017,67584,49152
1040,30720,51200
1041,32768,51200
1042,34816,51200
1043,36864,51200
1048,47104,51200
1049,49152,51200
1050,51200,51200
1051,53248,51200
1052,55296,51200
1053,57344,51200
1054,59392,51200
1055,61440,51200
1056,63488,51200
1057,65536,51200
1092,53248,53248
1093,55296,53248
1094,57344,53248
1095,59392,53248
1096,61440,53248
