bag_id,x,y
17,34816,0
18,36864,0
19,38912,0
20,40960,0
60,30720,2048
61,32768,2048
62,34816,2048
63,36864,2048
64,38912,2048
65,40960,2048
66,43008,2048
67,45056,2048
71,53248,2048
72,55296,2048
73,57344,2048
75,61440,2048
76,63488,2048
77,65536,2048
104,28672,4096
105,30720,4096
106,32768,4096
107,34816,4096
108,36864,4096
109,38912,4096
110,40960,4096
111,43008,4096
112,45056,4096
113,47104,4096
114,49152,4096
115,51200,4096
116,53248,4096
117,55296,4096
118,57344,4096
119,59392,4096
120,61440,4096
121,63488,4096
122,65536,4096
123,67584,4096
147,24576,6144
148,26624,6144
149,28672,6144
150,30720,6144
151,32768,6144
152,34816,6144
153,36864,6144
154,38912,6144
155,40960,6144
156,43008,6144
157,45056,6144
158,47104,6144
159,49152,6144
160,51200,6144
161,53248,6144
162,55296,6144
163,57344,6144
164,59392,6144
165,61440,6144
166,63488,6144
167,65536,6144
168,67584,6144
169,69632,6144
170,71680,6144
171,73728,6144
192,24576,8192
193,26624,8192
194,28672,8192
195,30720,8192
196,32768,8192
197,34816,8192
198,36864,8192
199,38912,8192
200,40960,8192
201,43008,8192
202,45056,8192
203,47104,8192
204,49152,8192
205,51200,8192
206,53248,8192
207,55296,8192
208,57344,8192
209,59392,8192
210,61440,8192
211,63488,8192
212,65536,8192
213,67584,8192
214,69632,8192
215,71680,8192
216,73728,8192
234,18432,10240
235,20480,10240
236,22528,10240
237,24576,10240
238,26624,10240
239,28672,10240
240,30720,10240
241,32768,10240
242,34816,10240
243,36864,10240
244,38912,10240
245,40960,10240
246,43008,10240
247,45056,10240
248,47104,10240
249,49152,10240
250,51200,10240
251,53248,10240
252,55296,10240
253,57344,10240
254,59392,10240
255,61440,10240
256,63488,10240
257,65536,10240
258,67584,10240
259,69632,10240
260,71680,10240
261,73728,10240
277,14336,12288
278,16384,12288
279,18432,12288
280,20480,12288
281,22528,12288
282,24576,12288
283,26624,12288
284,28672,12288
285,30720,12288
286,32768,12288
287,34816,12288
288,36864,12288
289,38912,12288
290,40960,12288
291,43008,12288
292,45056,12288
293,47104,12288
294,49152,12288
295,51200,12288
296,53248,12288
297,55296,12288
298,57344,12288
299,59392,12288
300,61440,12288
301,63488,12288
302,65536,12288
303,67584,12288
304,69632,12288
305,71680,12288
306,73728,12288
320,10240,14336
321,12288,14336
322,14336,14336
323,16384,14336
324,18432,14336
325,20480,14336
326,22528,14336
327,24576,14336
328,26624,14336
329,28672,14336
330,30720,14336
331,32768,14336
332,34816,14336
333,36864,14336
334,38912,14336
