bag_id,x,y
2,4096,0
3,6144,0
4,8192,0
5,10240,0
6,12288,0
47,4096,2048
48,6144,2048
49,8192,2048
50,10240,2048
51,12288,2048
52,14336,2048
91,2048,4096
92,4096,4096
93,6144,4096
94,8192,4096
95,10240,4096
96,12288,4096
97,14336,4096
136,2048,6144
137,4096,6144
138,6144,6144
139,8192,6144
140,10240,6144
141,12288,6144
142,14336,6144
143,16384,6144
144,18432,6144
181,2048,8192
182,4096,8192
183,6144,8192
184,8192,8192
188,16384,8192
189,18432,8192
226,2048,10240
227,4096,10240
228,6144,10240
229,8192,10240
234,18432,10240
235,20480,10240
271,2048,12288
272,4096,12288
273,6144,12288
274,8192,12288
275,10240,12288
279,18432,12288
280,20480,12288
316,2048,14336
317,4096,14336
318,6144,14336
319,8192,14336
320,10240,14336
321,12288,14336
322,14336,14336
325,20480,14336
361,2048,16384
362,4096,16384
363,6144,16384
364,8192,16384
365,10240,16384
366,12288,16384
367,14336,16384
368,16384,16384
369,18432,16384
370,20480,16384
371,22528,16384
406,2048,18432
407,4096,18432
408,6144,18432
409,8192,18432
410,10240,18432
411,12288,18432
412,14336,18432
413,16384,18432
414,18432,18432
415,20480,18432
416,22528,18432
417,24576,18432
418,26624,18432
419,28672,18432
436,63488,18432
451,2048,20480
452,4096,20480
453,6144,20480
454,8192,20480
455,10240,20480
456,12288,20480
457,14336,20480
458,16384,20480
459,18432,20480
460,20480,20480
461,22528,20480
462,24576,20480
463,26624,20480
464,28672,20480
465,30720,20480
466,32768,20480
480,61440,20480
481,63488,20480
482,65536,20480
484,69632,20480
485,71680,20480
497,4096,22528
498,6144,22528
499,8192,22528
500,10240,22528
501,12288,22528
502,14336,22528
503,16384,22528
504,18432,22528
505,20480,22528
506,22528,22528
507,24576,22528
508,26624,22528
509,28672,22528
510,30720,22528
511,32768,22528
512,34816,22528
513,36864,22528
517,45056,22528
518,47104,22528
519,49152,22528
520,51200,22528
522,55296,22528
523,57344,22528
524,59392,22528
525,61440,22528
526,63488,22528
527,65536,22528
528,67584,22528
529,69632,22528
530,71680,22528
531,73728,22528
542,4096,24576
543,6144,24576
544,8192,24576
545,10240,24576
546,12288,24576
547,14336,24576
548,16384,24576
549,18432,24576
