bag_id,x,y
5,10240,0
6,12288,0
7,14336,0
8,16384,0
12,24576,0
13,26624,0
14,28672,0
15,30720,0
28,57344,0
29,59392,0
30,61440,0
31,63488,0
32,65536,0
33,67584,0
34,69632,0
35,71680,0
36,73728,0
37,75776,0
38,77824,0
39,79872,0
44,8192,2048
45,10240,2048
46,12288,2048
47,14336,2048
48,16384,2048
49,18432,2048
50,20480,2048
52,24576,2048
53,26624,2048
54,28672,2048
55,30720,2048
61,43008,2048
67,55296,2048
68,57344,2048
69,59392,2048
70,61440,2048
71,63488,2048
72,65536,2048
73,67584,2048
74,69632,2048
75,71680,2048
76,73728,2048
77,75776,2048
78,77824,2048
79,79872,2048
83,6144,4096
84,8192,4096
85,10240,4096
86,12288,4096
87,14336,4096
88,16384,4096
89,18432,4096
90,20480,4096
91,22528,4096
92,24576,4096
93,26624,4096
94,28672,4096
95,30720,4096
101,43008,4096
110,61440,4096
111,63488,4096
112,65536,4096
113,67584,4096
114,69632,4096
115,71680,4096
116,73728,4096
117,75776,4096
118,77824,4096
119,79872,4096
122,4096,6144
123,6144,6144
124,8192,6144
125,10240,6144
126,12288,6144
127,14336,6144
128,16384,6144
129,18432,6144
130,20480,6144
131,22528,6144
133,26624,6144
134,28672,6144
135,30720,6144
152,65536,6144
153,67584,6144
154,69632,6144
155,71680,6144
156,73728,6144
157,75776,6144
158,77824,6144
159,79872,6144
162,4096,8192
163,6144,8192
164,8192,8192
165,10240,8192
166,12288,8192
167,14336,8192
168,16384,8192
169,18432,8192
170,20480,8192
171,22528,8192
173,26624,8192
174,28672,8192
175,30720,8192
180,40960,8192
193,67584,8192
194,69632,8192
195,71680,8192
196,73728,8192
197,75776,8192
198,77824,8192
199,79872,8192
202,4096,10240
203,6144,10240
204,8192,10240
205,10240,10240
206,12288,10240
207,14336,10240
208,16384,10240
209,18432,10240
210,20480,10240
211,22528,10240
212,24576,10240
213,26624,10240
214,28672,10240
215,30720,10240
234,69632,10240
235,71680,10240
236,73728,10240
237,75776,10240
238,77824,10240
239,79872,10240
241,2048,12288
242,4096,12288
243,6144,12288
244,8192,12288
245,10240,12288
246,12288,12288
247,14336,12288
248,16384,12288
249,18432,12288
250,20480,12288
251,22528,12288
252,24576,12288
253,26624,12288
255,30720,12288
256,32768,12288
260,40960,12288
264,49152,12288
265,51200,12288
275,71680,12288
276,73728,12288
277,75776,12288
278,77824,12288
279,79872,12288
280,0,14336
281,2048,14336
282,4096,14336
283,6144,14336
284,8192,14336
285,10240,14336
286,12288,14336
287,14336,14336
288,16384,14336
289,18432,14336
290,20480,14336
291,22528,14336
292,24576,14336
293,26624,14336
295,30720,14336
296,32768,14336
297,34816,14336
298,36864,14336
299,38912,14336
300,40960,14336
304,49152,14336
305,51200,14336
306,53248,14336
307,55296,14336
314,69632,14336
315,71680,14336
316,73728,14336
317,75776,14336
318,77824,14336
319,79872,14336
320,0,16384
321,2048,16384
322,4096,16384
323,6144,16384
324,8192,16384
325,10240,16384
326,12288,16384
327,14336,16384
328,16384,16384
329,18432,16384
330,20480,16384
331,22528,16384
332,24576,16384
333,26624,16384
334,28672,16384
336,32768,16384
337,34816,16384
338,36864,16384
339,38912,16384
344,49152,16384
345,51200,16384
346,53248,16384
347,55296,16384
348,57344,16384
354,69632,16384
355,71680,16384
356,73728,16384
357,75776,16384
358,77824,16384
359,79872,16384
360,0,18432
361,2048,18432
362,4096,18432
363,6144,18432
364,8192,18432
365,10240,18432
366,12288,18432
367,14336,18432
368,16384,18432
369,18432,18432
370,20480,18432
371,22528,18432
372,24576,18432
373,26624,18432
374,28672,18432
375,30720,18432
376,32768,18432
377,34816,18432
380,40960,18432
383,47104,18432
384,49152,18432
385,51200,18432
386,53248,18432
387,55296,18432
389,59392,18432
395,71680,18432
396,73728,18432
397,75776,18432
398,77824,18432
399,79872,18432
402,4096,20480
403,6144,20480
404,8192,20480
405,10240,20480
406,12288,20480
407,14336,20480
408,16384,20480
409,18432,20480
410,20480,20480
411,22528,20480
412,24576,20480
413,26624,20480
414,28672,20480
415,30720,20480
416,32768,20480
417,34816,20480
419,38912,20480
420,40960,20480
421,43008,20480
422,45056,20480
423,47104,20480
424,49152,20480
425,51200,20480
429,59392,20480
435,71680,20480
436,73728,20480
437,75776,20480
438,77824,20480
439,79872,20480
444,8192,22528
445,10240,22528
446,12288,22528
447,14336,22528
448,16384,22528
449,18432,22528
450,20480,22528
451,22528,22528
452,24576,22528
453,26624,22528
454,28672,22528
455,30720,22528
456,32768,22528
457,34816,22528
458,36864,22528
459,38912,22528
460,40960,22528
461,43008,22528
462,45056,22528
463,47104,22528
464,49152,22528
468,57344,22528
469,59392,22528
470,61440,22528
477,75776,22528
478,77824,22528
479,79872,22528
485,10240,24576
486,12288,24576
487,14336,24576
488,16384,24576
489,18432,24576
490,20480,24576
491,22528,24576
492,24576,24576
493,26624,24576
494,28672,24576
495,30720,24576
496,32768,24576
497,34816,24576
498,36864,24576
499,38912,24576
500,40960,24576
501,43008,24576
502,45056,24576
503,47104,24576
504,49152,24576
507,55296,24576
508,57344,24576
509,59392,24576
510,61440,24576
511,63488,24576
518,77824,24576
519,79872,24576
525,10240,26624
526,12288,26624
527,14336,26624
528,16384,26624
529,18432,26624
530,20480,26624
531,22528,26624
532,24576,26624
533,26624,26624
534,28672,26624
535,30720,26624
536,32768,26624
537,34816,26624
538,36864,26624
539,38912,26624
540,40960,26624
541,43008,26624
542,45056,26624
543,47104,26624
544,49152,26624
547,55296,26624
548,57344,26624
549,59392,26624
550,61440,26624
551,63488,26624
553,67584,26624
554,69632,26624
559,79872,26624
566,12288,28672
567,14336,28672
568,16384,28672
569,18432,28672
570,20480,28672
571,22528,28672
572,24576,28672
573,26624,28672
574,28672,28672
575,30720,28672
576,32768,28672
577,34816,28672
578,36864,28672
579,38912,28672
580,40960,28672
581,43008,28672
582,45056,28672
583,47104,28672
584,49152,28672
585,51200,28672
586,53248,28672
587,55296,28672
588,57344,28672
589,59392,28672
590,61440,28672
591,63488,28672
592,65536,28672
593,67584,28672
594,69632,28672
595,71680,28672
606,12288,30720
607,14336,30720
608,16384,30720
609,18432,30720
610,20480,30720
611,22528,30720
612,24576,30720
613,26624,30720
614,28672,30720
615,30720,30720
616,32768,30720
617,34816,30720
618,36864,30720
619,38912,30720
620,40960,30720
621,43008,30720
622,45056,30720
623,47104,30720
624,49152,30720
625,51200,30720
626,53248,30720
627,55296,30720
628,57344,30720
629,59392,30720
630,61440,30720
631,63488,30720
632,65536,30720
633,67584,30720
634,69632,30720
635,71680,30720
636,73728,30720
637,75776,30720
646,12288,32768
647,14336,32768
648,16384,32768
649,18432,32768
650,20480,32768
651,22528,32768
652,24576,32768
653,26624,32768
654,28672,32768
655,30720,32768
656,32768,32768
657,34816,32768
658,36864,32768
659,38912,32768
660,40960,32768
661,43008,32768
662,45056,32768
663,47104,32768
664,49152,32768
665,51200,32768
666,53248,32768
667,55296,32768
668,57344,32768
669,59392,32768
670,61440,32768
671,63488,32768
672,65536,32768
673,67584,32768
674,69632,32768
675,71680,32768
676,73728,32768
677,75776,32768
678,77824,32768
686,12288,34816
687,14336,34816
688,16384,34816
689,18432,34816
690,20480,34816
691,22528,34816
692,24576,34816
693,26624,34816
694,28672,34816
695,30720,34816
696,32768,34816
697,34816,34816
698,36864,34816
699,38912,34816
700,40960,34816
701,43008,34816
702,45056,34816
703,47104,34816
704,49152,34816
705,51200,34816
706,53248,34816
707,55296,34816
708,57344,34816
709,59392,34816
710,61440,34816
711,63488,34816
712,65536,34816
713,67584,34816
714,69632,34816
715,71680,34816
716,73728,34816
717,75776,34816
718,77824,34816
719,79872,34816
727,14336,36864
728,16384,36864
729,18432,36864
730,20480,36864
731,22528,36864
732,24576,36864
733,26624,36864
734,28672,36864
735,30720,36864
736,32768,36864
737,34816,36864
738,36864,36864
739,38912,36864
740,40960,36864
741,43008,36864
742,45056,36864
743,47104,36864
744,49152,36864
745,51200,36864
746,53248,36864
747,55296,36864
748,57344,36864
749,59392,36864
750,61440,36864
751,63488,36864
752,65536,36864
753,67584,36864
754,69632,36864
755,71680,36864
756,73728,36864
757,75776,36864
758,77824,36864
759,79872,36864
768,16384,38912
769,18432,38912
770,20480,38912
771,22528,38912
772,24576,38912
773,26624,38912
774,28672,38912
775,30720,38912
776,32768,38912
777,34816,38912
778,36864,38912
779,38912,38912
