bag_id,x,y
5,10240,0
7,14336,0
34,8192,2048
35,10240,2048
36,12288,2048
37,14336,2048
38,16384,2048
41,22528,2048
45,30720,2048
64,8192,4096
65,10240,4096
66,12288,4096
67,14336,4096
68,16384,4096
69,18432,4096
70,20480,4096
71,22528,4096
72,24576,4096
73,26624,4096
74,28672,4096
81,43008,4096
93,6144,6144
94,8192,6144
95,10240,6144
96,12288,6144
97,14336,6144
98,16384,6144
99,18432,6144
100,20480,6144
101,22528,6144
102,24576,6144
103,26624,6144
104,28672,6144
105,30720,6144
111,43008,6144
122,4096,8192
123,6144,8192
124,8192,8192
125,10240,8192
126,12288,8192
127,14336,8192
128,16384,8192
129,18432,8192
130,20480,8192
131,22528,8192
132,24576,8192
133,26624,8192
134,28672,8192
135,30720,8192
136,32768,8192
137,34816,8192
138,36864,8192
143,47104,8192
144,49152,8192
152,4096,10240
153,6144,10240
154,8192,10240
155,10240,10240
156,12288,10240
157,14336,10240
158,16384,10240
159,18432,10240
160,20480,10240
161,22528,10240
162,24576,10240
163,26624,10240
164,28672,10240
165,30720,10240
166,32768,10240
167,34816,10240
168,36864,10240
170,40960,10240
171,43008,10240
172,45056,10240
173,47104,10240
174,49152,10240
180,0,12288
181,2048,12288
184,8192,12288
185,10240,12288
186,12288,12288
187,14336,12288
188,16384,12288
189,18432,12288
190,20480,12288
191,22528,12288
192,24576,12288
193,26624,12288
194,28672,12288
195,30720,12288
196,32768,12288
197,34816,12288
198,36864,12288
200,40960,12288
201,43008,12288
202,45056,12288
211,2048,14336
212,4096,14336
213,6144,14336
214,8192,14336
215,10240,14336
216,12288,14336
217,14336,14336
218,16384,14336
219,18432,14336
220,20480,14336
221,22528,14336
222,24576,14336
223,26624,14336
224,28672,14336
225,30720,14336
226,32768,14336
227,34816,14336
228,36864,14336
229,38912,14336
230,40960,14336
231,43008,14336
232,45056,14336
233,47104,14336
234,49152,14336
241,2048,16384
242,4096,16384
243,6144,16384
244,8192,16384
245,10240,16384
246,12288,16384
247,14336,16384
248,16384,16384
249,18432,16384
250,20480,16384
251,22528,16384
252,24576,16384
253,26624,16384
254,28672,16384
255,30720,16384
256,32768,16384
257,34816,16384
258,36864,16384
259,38912,16384
260,40960,16384
261,43008,16384
262,45056,16384
263,47104,16384
264,49152,16384
271,2048,18432
272,4096,18432
273,6144,18432
274,8192,18432
275,10240,18432
276,12288,18432
277,14336,18432
278,16384,18432
279,18432,18432
280,20480,18432
281,22528,18432
282,24576,18432
283,26624,18432
284,28672,18432
285,30720,18432
286,32768,18432
287,34816,18432
288,36864,18432
289,38912,18432
290,40960,18432
291,43008,18432
292,45056,18432
293,47104,18432
294,49152,18432
301,2048,20480
302,4096,20480
304,8192,20480
305,10240,20480
306,12288,20480
307,14336,20480
308,16384,20480
309,18432,20480
310,20480,20480
311,22528,20480
312,24576,20480
313,26624,20480
314,28672,20480
315,30720,20480
316,32768,20480
317,34816,20480
318,36864,20480
319,38912,20480
320,40960,20480
321,43008,20480
322,45056,20480
323,47104,20480
324,49152,20480
331,2048,22528
332,4096,22528
333,6144,22528
334,8192,22528
335,10240,22528
336,12288,22528
337,14336,22528
338,16384,22528
339,18432,22528
340,20480,22528
341,22528,22528
342,24576,22528
343,26624,22528
344,28672,22528
345,30720,22528
346,32768,22528
347,34816,22528
348,36864,22528
349,38912,22528
350,40960,22528
351,43008,22528
352,45056,22528
353,47104,22528
354,49152,22528
355,51200,22528
356,53248,22528
357,55296,22528
362,4096,24576
363,6144,24576
364,8192,24576
365,10240,24576
366,12288,24576
367,14336,24576
368,16384,24576
369,18432,24576
370,20480,24576
371,22528,24576
372,24576,24576
373,26624,24576
374,28672,24576
375,30720,24576
376,32768,24576
377,34816,24576
378,36864,24576
379,38912,24576
380,40960,24576
381,43008,24576
382,45056,24576
383,47104,24576
384,49152,24576
385,51200,24576
386,53248,24576
387,55296,24576
388,57344,24576
392,4096,26624
393,6144,26624
394,8192,26624
395,10240,26624
396,12288,26624
397,14336,26624
398,16384,26624
399,18432,26624
400,20480,26624
401,22528,26624
402,24576,26624
403,26624,26624
404,28672,26624
405,30720,26624
406,32768,26624
407,34816,26624
408,36864,26624
409,38912,26624
410,40960,26624
411,43008,26624
412,45056,26624
413,47104,26624
414,49152,26624
415,51200,26624
416,53248,26624
417,55296,26624
418,57344,26624
423,6144,28672
424,8192,28672
425,10240,28672
426,12288,28672
427,14336,28672
428,16384,28672
429,18432,28672
430,20480,28672
431,22528,28672
432,24576,28672
433,26624,28672
434,28672,28672
435,30720,28672
436,32768,28672
437,34816,28672
438,36864,28672
439,38912,28672
440,40960,28672
441,43008,28672
442,45056,28672
443,47104,28672
444,49152,28672
445,51200,28672
446,53248,28672
447,55296,28672
448,57344,28672
453,6144,30720
454,8192,30720
455,10240,30720
456,12288,30720
457,14336,30720
458,16384,30720
459,18432,30720
460,20480,30720
461,22528,30720
462,24576,30720
463,26624,30720
464,28672,30720
465,30720,30720
466,32768,30720
467,34816,30720
468,36864,30720
469,38912,30720
470,40960,30720
471,43008,30720
472,45056,30720
473,47104,30720
474,49152,30720
475,51200,30720
476,53248,30720
477,55296,30720
478,57344,30720
