bag_id,x,y
7,14336,0
30,61440,0
31,63488,0
32,65536,0
33,67584,0
34,69632,0
35,71680,0
36,73728,0
42,86016,0
55,14336,2048
62,28672,2048
78,61440,2048
79,63488,2048
80,65536,2048
81,67584,2048
82,69632,2048
83,71680,2048
84,73728,2048
85,75776,2048
86,77824,2048
87,79872,2048
88,81920,2048
102,12288,4096
120,49152,4096
121,51200,4096
122,53248,4096
123,55296,4096
124,57344,4096
125,59392,4096
126,61440,4096
127,63488,4096
128,65536,4096
129,67584,4096
130,69632,4096
131,71680,4096
132,73728,4096
133,75776,4096
134,77824,4096
136,81920,4096
137,83968,4096
138,86016,4096
139,88064,4096
140,90112,4096
141,92160,4096
142,94208,4096
143,96256,4096
165,43008,6144
166,45056,6144
167,47104,6144
168,49152,6144
169,51200,6144
170,53248,6144
171,55296,6144
172,57344,6144
173,59392,6144
174,61440,6144
175,63488,6144
176,65536,6144
177,67584,6144
178,69632,6144
179,71680,6144
180,73728,6144
181,75776,6144
182,77824,6144
183,79872,6144
184,81920,6144
185,83968,6144
186,86016,6144
187,88064,6144
188,90112,6144
189,92160,6144
190,94208,6144
191,96256,6144
198,12288,8192
212,40960,8192
213,43008,8192
214,45056,8192
215,47104,8192
216,49152,8192
217,51200,8192
218,53248,8192
219,55296,8192
220,57344,8192
221,59392,8192
222,61440,8192
223,63488,8192
224,65536,8192
225,67584,8192
226,69632,8192
227,71680,8192
228,73728,8192
229,75776,8192
230,77824,8192
231,79872,8192
232,81920,8192
233,83968,8192
234,86016,8192
235,88064,8192
236,90112,8192
237,92160,8192
238,94208,8192
239,96256,8192
245,10240,10240
260,40960,10240
261,43008,10240
262,45056,10240
263,47104,10240
264,49152,10240
265,51200,10240
266,53248,10240
267,55296,10240
268,57344,10240
269,59392,10240
270,61440,10240
271,63488,10240
272,65536,10240
273,67584,10240
274,69632,10240
275,71680,10240
276,73728,10240
277,75776,10240
278,77824,10240
279,79872,10240
280,81920,10240
281,83968,10240
282,86016,10240
283,88064,10240
284,90112,10240
285,92160,10240
286,94208,10240
287,96256,10240
307,38912,12288
308,40960,12288
309,43008,12288
310,45056,12288
311,47104,12288
312,49152,12288
313,51200,12288
314,53248,12288
315,55296,12288
316,57344,12288
317,59392,12288
318,61440,12288
319,63488,12288
320,65536,12288
321,67584,12288
322,69632,12288
323,71680,12288
324,73728,12288
325,75776,12288
326,77824,12288
327,79872,12288
328,81920,12288
329,83968,12288
330,86016,12288
331,88064,12288
332,90112,12288
333,92160,12288
334,94208,12288
335,96256,12288
354,36864,14336
355,38912,14336
356,40960,14336
357,43008,14336
358,45056,14336
359,47104,14336
360,49152,14336
361,51200,14336
362,53248,14336
363,55296,14336
364,57344,14336
365,59392,14336
366,61440,14336
367,63488,14336
368,65536,14336
369,67584,14336
370,69632,14336
371,71680,14336
372,73728,14336
373,75776,14336
374,77824,14336
375,79872,14336
376,81920,14336
377,83968,14336
378,86016,14336
379,88064,14336
380,90112,14336
381,92160,14336
382,94208,14336
383,96256,14336
384,0,16384
385,2048,16384
386,4096,16384
402,36864,16384
403,38912,16384
404,40960,16384
405,43008,16384
406,45056,16384
407,47104,16384
408,49152,16384
409,51200,16384
410,53248,16384
411,55296,16384
412,57344,16384
413,59392,16384
414,61440,16384
415,63488,16384
416,65536,16384
417,67584,16384
418,69632,16384
419,71680,16384
420,73728,16384
421,75776,16384
422,77824,16384
423,79872,16384
424,81920,16384
425,83968,16384
426,86016,16384
427,88064,16384
428,90112,16384
429,92160,16384
430,94208,16384
431,96256,16384
432,0,18432
449,34816,18432
450,36864,18432
451,38912,18432
452,40960,18432
453,43008,18432
454,45056,18432
455,47104,18432
456,49152,18432
457,51200,18432
458,53248,18432
459,55296,18432
460,57344,18432
461,59392,18432
462,61440,18432
463,63488,18432
464,65536,18432
465,67584,18432
466,69632,18432
467,71680,18432
468,73728,18432
469,75776,18432
470,77824,18432
471,79872,18432
472,81920,18432
473,83968,18432
474,86016,18432
475,88064,18432
476,90112,18432
477,92160,18432
478,94208,18432
479,96256,18432
496,32768,20480
497,34816,20480
498,36864,20480
499,38912,20480
500,40960,20480
501,43008,20480
502,45056,20480
503,47104,20480
504,49152,20480
505,51200,20480
506,53248,20480
507,55296,20480
508,57344,20480
509,59392,20480
510,61440,20480
511,63488,20480
512,65536,20480
513,67584,20480
514,69632,20480
515,71680,20480
516,73728,20480
517,75776,20480
518,77824,20480
519,79872,20480
520,81920,20480
521,83968,20480
522,86016,20480
523,88064,20480
524,90112,20480
525,92160,20480
526,94208,20480
527,96256,20480
543,30720,22528
544,32768,22528
545,34816,22528
546,36864,22528
547,38912,22528
548,40960,22528
549,43008,22528
550,45056,22528
551,47104,22528
552,49152,22528
553,51200,22528
554,53248,22528
555,55296,22528
556,57344,22528
557,59392,22528
558,61440,22528
559,63488,22528
560,65536,22528
561,67584,22528
562,69632,22528
563,71680,22528
564,73728,22528
565,75776,22528
566,77824,22528
567,79872,22528
568,81920,22528
569,83968,22528
570,86016,22528
571,88064,22528
572,90112,22528
573,92160,22528
574,94208,22528
575,96256,22528
591,30720,24576
592,32768,24576
593,34816,24576
594,36864,24576
595,38912,24576
596,40960,24576
597,43008,24576
598,45056,24576
599,47104,24576
600,49152,24576
601,51200,24576
602,53248,24576
603,55296,24576
604,57344,24576
605,59392,24576
606,61440,24576
607,63488,24576
608,65536,24576
609,67584,24576
610,69632,24576
611,71680,24576
612,73728,24576
613,75776,24576
614,77824,24576
615,79872,24576
616,81920,24576
617,83968,24576
618,86016,24576
619,88064,24576
620,90112,24576
621,92160,24576
622,94208,24576
638,28672,26624
639,30720,26624
640,32768,26624
641,34816,26624
642,36864,26624
643,38912,26624
644,40960,26624
645,43008,26624
646,45056,26624
647,47104,26624
648,49152,26624
649,51200,26624
650,53248,26624
651,55296,26624
652,57344,26624
653,59392,26624
654,61440,26624
655,63488,26624
656,65536,26624
657,67584,26624
658,69632,26624
659,71680,26624
660,73728,26624
661,75776,26624
662,77824,26624
663,79872,26624
664,81920,26624
665,83968,26624
666,86016,26624
667,88064,26624
668,90112,26624
669,92160,26624
686,28672,28672
687,30720,28672
688,32768,28672
689,34816,28672
690,36864,28672
691,38912,28672
692,40960,28672
693,43008,28672
694,45056,28672
695,47104,28672
696,49152,28672
697,51200,28672
698,53248,28672
699,55296,28672
700,57344,28672
701,59392,28672
702,61440,28672
703,63488,28672
704,65536,28672
705,67584,28672
706,69632,28672
707,71680,28672
708,73728,28672
709,75776,28672
710,77824,28672
711,79872,28672
712,81920,28672
713,83968,28672
714,86016,28672
715,88064,28672
716,90112,28672
734,28672,30720
735,30720,30720
736,32768,30720
737,34816,30720
738,36864,30720
739,38912,30720
740,40960,30720
741,43008,30720
742,45056,30720
743,47104,30720
744,49152,30720
745,51200,30720
746,53248,30720
747,55296,30720
748,57344,30720
749,59392,30720
750,61440,30720
751,63488,30720
752,65536,30720
753,67584,30720
754,69632,30720
755,71680,30720
756,73728,30720
757,75776,30720
758,77824,30720
759,79872,30720
760,81920,30720
761,83968,30720
762,86016,30720
763,88064,30720
776,16384,32768
777,18432,32768
778,20480,32768
779,22528,32768
780,24576,32768
781,26624,32768
782,28672,32768
783,30720,32768
784,32768,32768
785,34816,32768
786,36864,32768
787,38912,32768
788,40960,32768
789,43008,32768
790,45056,32768
791,47104,32768
792,49152,32768
793,51200,32768
794,53248,32768
795,55296,32768
796,57344,32768
797,59392,32768
798,61440,32768
799,63488,32768
800,65536,32768
801,67584,32768
802,69632,32768
803,71680,32768
804,73728,32768
805,75776,32768
807,79872,32768
808,81920,32768
809,83968,32768
810,86016,32768
823,14336,34816
824,16384,34816
825,18432,34816
826,20480,34816
827,22528,34816
828,24576,34816
829,26624,34816
830,28672,34816
831,30720,34816
832,32768,34816
833,34816,34816
834,36864,34816
835,38912,34816
836,40960,34816
837,43008,34816
838,45056,34816
839,47104,34816
840,49152,34816
841,51200,34816
842,53248,34816
843,55296,34816
844,57344,34816
845,59392,34816
846,61440,34816
847,63488,34816
848,65536,34816
849,67584,34816
850,69632,34816
851,71680,34816
852,73728,34816
854,77824,34816
855,79872,34816
856,81920,34816
870,12288,36864
871,14336,36864
872,16384,36864
873,18432,36864
874,20480,36864
875,22528,36864
876,24576,36864
877,26624,36864
878,28672,36864
879,30720,36864
880,32768,36864
881,34816,36864
882,36864,36864
883,38912,36864
885,43008,36864
886,45056,36864
887,47104,36864
888,49152,36864
889,51200,36864
890,53248,36864
891,55296,36864
892,57344,36864
893,59392,36864
894,61440,36864
895,63488,36864
896,65536,36864
897,67584,36864
898,69632,36864
899,71680,36864
900,73728,36864
917,10240,38912
918,12288,38912
919,14336,38912
920,16384,38912
921,18432,38912
922,20480,38912
923,22528,38912
924,24576,38912
925,26624,38912
926,28672,38912
927,30720,38912
928,32768,38912
929,34816,38912
930,36864,38912
931,38912,38912
932,40960,38912
933,43008,38912
934,45056,38912
935,47104,38912
936,49152,38912
937,51200,38912
938,53248,38912
939,55296,38912
940,57344,38912
941,59392,38912
942,61440,38912
943,63488,38912
944,65536,38912
945,67584,38912
946,69632,38912
947,71680,38912
948,73728,38912
949,75776,38912
964,8192,40960
965,10240,40960
966,12288,40960
967,14336,40960
968,16384,40960
969,18432,40960
970,20480,40960
971,22528,40960
972,24576,40960
973,26624,40960
974,28672,40960
975,30720,40960
976,32768,40960
977,34816,40960
978,36864,40960
979,38912,40960
980,40960,40960
981,43008,40960
982,45056,40960
983,47104,40960
984,49152,40960
985,51200,40960
986,53248,40960
987,55296,40960
988,57344,40960
989,59392,40960
990,61440,40960
991,63488,40960
992,65536,40960
993,67584,40960
994,69632,40960
995,71680,40960
996,73728,40960
997,75776,40960
1011,6144,43008
1012,8192,43008
1013,10240,43008
1014,12288,43008
1015,14336,43008
1016,16384,43008
1017,18432,43008
1018,20480,43008
1019,22528,43008
1020,24576,43008
1021,26624,43008
1022,28672,43008
1023,30720,43008
1024,32768,43008
1025,34816,43008
1026,36864,43008
1027,38912,43008
1028,40960,43008
1029,43008,43008
1030,45056,43008
1031,47104,43008
1032,49152,43008
1033,51200,43008
1034,53248,43008
1035,55296,43008
1036,57344,43008
1037,59392,43008
1038,61440,43008
1039,63488,43008
1040,65536,43008
1041,67584,43008
1042,69632,43008
1043,71680,43008
1044,73728,43008
1045,75776,43008
1058,4096,45056
1059,6144,45056
1060,8192,45056
1061,10240,45056
1062,12288,45056
1063,14336,45056
1064,16384,45056
1065,18432,45056
1066,20480,45056
1067,22528,45056
1068,24576,45056
1069,26624,45056
1070,28672,45056
1071,30720,45056
1072,32768,45056
1073,34816,45056
1074,36864,45056
1075,38912,45056
1076,40960,45056
1077,43008,45056
1078,45056,45056
1079,47104,45056
1080,49152,45056
1081,51200,45056
1082,53248,45056
1083,55296,45056
1084,57344,45056
1085,59392,45056
1086,61440,45056
1087,63488,45056
1088,65536,45056
1089,67584,45056
1090,69632,45056
1091,71680,45056
1092,73728,45056
1093,75776,45056
1095,79872,45056
1104,0,47104
1105,2048,47104
1106,4096,47104
1107,6144,47104
1108,8192,47104
1109,10240,47104
1110,12288,47104
1111,14336,47104
1112,16384,47104
1113,18432,47104
1114,20480,47104
1115,22528,47104
1116,24576,47104
1117,26624,47104
1118,28672,47104
1119,30720,47104
1120,32768,47104
1121,34816,47104
1122,36864,47104
1123,38912,47104
1124,40960,47104
1125,43008,47104
1126,45056,47104
1127,47104,47104
1128,49152,47104
1129,51200,47104
1130,53248,47104
1131,55296,47104
1132,57344,47104
1133,59392,47104
1134,61440,47104
1135,63488,47104
1136,65536,47104
1137,67584,47104
1138,69632,47104
1139,71680,47104
1140,73728,47104
1141,75776,47104
1142,77824,47104
1152,0,49152
1153,2048,49152
1154,4096,49152
1155,6144,49152
1156,8192,49152
1157,10240,49152
1158,12288,49152
1159,14336,49152
1160,16384,49152
1161,18432,49152
1162,20480,49152
1163,22528,49152
1164,24576,49152
1165,26624,49152
1166,28672,49152
1167,30720,49152
1168,32768,49152
1169,34816,49152
1170,36864,49152
1171,38912,49152
1172,40960,49152
1173,43008,49152
1174,45056,49152
1175,47104,49152
1176,49152,49152
1177,51200,49152
1178,53248,49152
1179,55296,49152
1180,57344,49152
1181,59392,49152
1182,61440,49152
1183,63488,49152
1184,65536,49152
1185,67584,49152
1186,69632,49152
1187,71680,49152
1188,73728,49152
1189,75776,49152
1190,77824,49152
1200,0,51200
1201,2048,51200
1202,4096,51200
1203,6144,51200
1204,8192,51200
1205,10240,51200
1206,12288,51200
1207,14336,51200
1208,16384,51200
1209,18432,51200
1210,20480,51200
1211,22528,51200
1212,24576,51200
1213,26624,51200
1214,28672,51200
1215,30720,51200
1216,32768,51200
1217,34816,51200
1218,36864,51200
1219,38912,51200
1220,40960,51200
1221,43008,51200
1222,45056,51200
1223,47104,51200
1224,49152,51200
1225,51200,51200
1226,53248,51200
1227,55296,51200
1228,57344,51200
1229,59392,51200
1230,61440,51200
1231,63488,51200
1232,65536,51200
1233,67584,51200
1234,69632,51200
1235,71680,51200
1236,73728,51200
1237,75776,51200
1248,0,53248
1249,2048,53248
1250,4096,53248
1251,6144,53248
1252,8192,53248
1253,10240,53248
1254,12288,53248
1255,14336,53248
1256,16384,53248
1257,18432,53248
1258,20480,53248
1259,22528,53248
1260,24576,53248
1261,26624,53248
1262,28672,53248
1263,30720,53248
1264,32768,53248
1265,34816,53248
1266,36864,53248
1267,38912,53248
1268,40960,53248
1269,43008,53248
1270,45056,53248
1271,47104,53248
1272,49152,53248
1273,51200,53248
1274,53248,53248
1275,55296,53248
1276,57344,53248
1277,59392,53248
1278,61440,53248
1279,63488,53248
1280,65536,53248
1281,67584,53248
1282,69632,53248
1283,71680,53248
1284,73728,53248
1285,75776,53248
1296,0,55296
1297,2048,55296
1298,4096,55296
1299,6144,55296
1300,8192,55296
1301,10240,55296
1302,12288,55296
1303,14336,55296
1304,16384,55296
1305,18432,55296
1306,20480,55296
1307,22528,55296
1308,24576,55296
1309,26624,55296
1310,28672,55296
1311,30720,55296
1312,32768,55296
1313,34816,55296
1314,36864,55296
1315,38912,55296
1316,40960,55296
1317,43008,55296
1318,45056,55296
1319,47104,55296
1320,49152,55296
1321,51200,55296
1322,53248,55296
1323,55296,55296
1324,57344,55296
1325,59392,55296
1326,61440,55296
1327,63488,55296
1328,65536,55296
1329,67584,55296
1330,69632,55296
1331,71680,55296
1332,73728,55296
1333,75776,55296
1344,0,57344
1345,2048,57344
1346,4096,57344
1347,6144,57344
1348,8192,57344
1349,10240,57344
1350,12288,57344
1351,14336,57344
1352,16384,57344
1353,18432,57344
1354,20480,57344
1355,22528,57344
1356,24576,57344
1357,26624,57344
1358,28672,57344
1359,30720,57344
1360,32768,57344
1361,34816,57344
1362,36864,57344
1363,38912,57344
1364,40960,57344
1365,43008,57344
1366,45056,57344
1367,47104,57344
1368,49152,57344
1369,51200,57344
1370,53248,57344
1371,55296,57344
1372,57344,57344
1373,59392,57344
1374,61440,57344
1375,63488,57344
1376,65536,57344
1377,67584,57344
1378,69632,57344
1379,71680,57344
1380,73728,57344
1394,4096,59392
1395,6144,59392
1396,8192,59392
1397,10240,59392
1398,12288,59392
1399,14336,59392
1400,16384,59392
1401,18432,59392
1402,20480,59392
1403,22528,59392
1404,24576,59392
1405,26624,59392
1406,28672,59392
1407,30720,59392
1408,32768,59392
1409,34816,59392
1410,36864,59392
1411,38912,59392
1412,40960,59392
1413,43008,59392
1414,45056,59392
1415,47104,59392
1416,49152,59392
1417,51200,59392
1418,53248,59392
1419,55296,59392
1420,57344,59392
1421,59392,59392
1422,61440,59392
1423,63488,59392
1424,65536,59392
1425,67584,59392
1426,69632,59392
1427,71680,59392
1428,73728,59392
1443,6144,61440
1444,8192,61440
1445,10240,61440
1446,12288,61440
1447,14336,61440
1448,16384,61440
1449,18432,61440
1450,20480,61440
1451,22528,61440
1452,24576,61440
1453,26624,61440
1454,28672,61440
1455,30720,61440
1456,32768,61440
1457,34816,61440
1458,36864,61440
1459,38912,61440
1460,40960,61440
1461,43008,61440
1462,45056,61440
1463,47104,61440
1464,49152,61440
1465,51200,61440
1466,53248,61440
1467,55296,61440
1468,57344,61440
1469,59392,61440
1470,61440,61440
1471,63488,61440
1472,65536,61440
1473,67584,61440
1474,69632,61440
1475,71680,61440
1476,73728,61440
1494,12288,63488
1495,14336,63488
1496,16384,63488
1497,18432,63488
1498,20480,63488
1499,22528,63488
1500,24576,63488
1501,26624,63488
1502,28672,63488
1503,30720,63488
1504,32768,63488
1505,34816,63488
1506,36864,63488
1507,38912,63488
1508,40960,63488
1509,43008,63488
1510,45056,63488
1511,47104,63488
1512,49152,63488
1513,51200,63488
1514,53248,63488
1515,55296,63488
1516,57344,63488
1517,59392,63488
1518,61440,63488
1519,63488,63488
1520,65536,63488
1521,67584,63488
1522,69632,63488
1523,71680,63488
1544,16384,65536
1545,18432,65536
1546,20480,65536
1547,22528,65536
1548,24576,65536
1549,26624,65536
1550,28672,65536
1551,30720,65536
1552,32768,65536
1553,34816,65536
1554,36864,65536
1555,38912,65536
1556,40960,65536
1557,43008,65536
1558,45056,65536
1559,47104,65536
1560,49152,65536
1561,51200,65536
1562,53248,65536
1563,55296,65536
1564,57344,65536
1565,59392,65536
1566,61440,65536
1567,63488,65536
1568,65536,65536
1569,67584,65536
1594,20480,67584
1595,22528,67584
1596,24576,67584
1597,26624,67584
1598,28672,67584
1599,30720,67584
1600,32768,67584
1601,34816,67584
1602,36864,67584
1603,38912,67584
1604,40960,67584
1605,43008,67584
1606,45056,67584
1607,47104,67584
1608,49152,67584
1609,51200,67584
1610,53248,67584
1611,55296,67584
1612,57344,67584
1613,59392,67584
1614,61440,67584
1615,63488,67584
1617,67584,67584
1631,96256,67584
