bag_id,x,y
8,16384,0
9,18432,0
10,20480,0
11,22528,0
12,24576,0
13,26624,0
14,28672,0
15,30720,0
16,32768,0
17,34816,0
36,12288,2048
37,14336,2048
38,16384,2048
39,18432,2048
40,20480,2048
41,22528,2048
42,24576,2048
43,26624,2048
44,28672,2048
45,30720,2048
46,32768,2048
47,34816,2048
48,36864,2048
49,38912,2048
50,40960,2048
51,43008,2048
52,45056,2048
64,8192,4096
65,10240,4096
66,12288,4096
67,14336,4096
68,16384,4096
69,18432,4096
70,20480,4096
71,22528,4096
72,24576,4096
73,26624,4096
74,28672,4096
75,30720,4096
76,32768,4096
77,34816,4096
78,36864,4096
79,38912,4096
80,40960,4096
81,43008,4096
82,45056,4096
83,47104,4096
84,49152,4096
85,51200,4096
86,53248,4096
87,55296,4096
88,57344,4096
93,6144,6144
94,8192,6144
95,10240,6144
96,12288,6144
97,14336,6144
98,16384,6144
99,18432,6144
100,20480,6144
101,22528,6144
102,24576,6144
103,26624,6144
104,28672,6144
105,30720,6144
106,32768,6144
107,34816,6144
108,36864,6144
109,38912,6144
110,40960,6144
111,43008,6144
112,45056,6144
113,47104,6144
114,49152,6144
115,51200,6144
116,53248,6144
117,55296,6144
118,57344,6144
119,59392,6144
122,4096,8192
123,6144,8192
124,8192,8192
125,10240,8192
126,12288,8192
127,14336,8192
128,16384,8192
129,18432,8192
130,20480,8192
131,22528,8192
132,24576,8192
133,26624,8192
134,28672,8192
135,30720,8192
136,32768,8192
137,34816,8192
138,36864,8192
139,38912,8192
140,40960,8192
141,43008,8192
142,45056,8192
143,47104,8192
144,49152,8192
145,51200,8192
146,53248,8192
147,55296,8192
148,57344,8192
149,59392,8192
152,4096,10240
153,6144,10240
154,8192,10240
155,10240,10240
156,12288,10240
157,14336,10240
158,16384,10240
159,18432,10240
160,20480,10240
161,22528,10240
162,24576,10240
163,26624,10240
164,28672,10240
165,30720,10240
166,32768,10240
167,34816,10240
168,36864,10240
169,38912,10240
