bag_id,x,y
18,36864,0
19,38912,0
20,40960,0
21,43008,0
22,45056,0
23,47104,0
24,49152,0
25,51200,0
26,53248,0
27,55296,0
28,57344,0
55,34816,2048
56,36864,2048
57,38912,2048
58,40960,2048
59,43008,2048
60,45056,2048
61,47104,2048
62,49152,2048
63,51200,2048
64,53248,2048
65,55296,2048
66,57344,2048
93,34816,4096
94,36864,4096
95,38912,4096
96,40960,4096
97,43008,4096
98,45056,4096
99,47104,4096
100,49152,4096
101,51200,4096
102,53248,4096
103,55296,4096
104,57344,4096
105,59392,4096
131,34816,6144
132,36864,6144
133,38912,6144
134,40960,6144
135,43008,6144
136,45056,6144
137,47104,6144
138,49152,6144
139,51200,6144
140,53248,6144
141,55296,6144
142,57344,6144
143,59392,6144
167,30720,8192
168,32768,8192
169,34816,8192
170,36864,8192
171,38912,8192
172,40960,8192
173,43008,8192
174,45056,8192
175,47104,8192
176,49152,8192
177,51200,8192
178,53248,8192
179,55296,8192
180,57344,8192
181,59392,8192
204,28672,10240
205,30720,10240
206,32768,10240
207,34816,10240
208,36864,10240
209,38912,10240
210,40960,10240
211,43008,10240
212,45056,10240
213,47104,10240
214,49152,10240
215,51200,10240
216,53248,10240
217,55296,10240
218,57344,10240
219,59392,10240
220,61440,10240
242,28672,12288
243,30720,12288
244,32768,12288
245,34816,12288
246,36864,12288
247,38912,12288
248,40960,12288
249,43008,12288
250,45056,12288
251,47104,12288
252,49152,12288
253,51200,12288
254,53248,12288
255,55296,12288
256,57344,12288
257,59392,12288
258,61440,12288
279,26624,14336
280,28672,14336
281,30720,14336
282,32768,14336
283,34816,14336
284,36864,14336
285,38912,14336
286,40960,14336
287,43008,14336
288,45056,14336
289,47104,14336
290,49152,14336
291,51200,14336
292,53248,14336
293,55296,14336
294,57344,14336
295,59392,14336
317,26624,16384
318,28672,16384
319,30720,16384
320,32768,16384
321,34816,16384
322,36864,16384
323,38912,16384
324,40960,16384
325,43008,16384
326,45056,16384
327,47104,16384
328,49152,16384
329,51200,16384
330,53248,16384
331,55296,16384
332,57344,16384
333,59392,16384
334,61440,16384
354,24576,18432
355,26624,18432
356,28672,18432
357,30720,18432
358,32768,18432
359,34816,18432
360,36864,18432
361,38912,18432
362,40960,18432
363,43008,18432
364,45056,18432
365,47104,18432
366,49152,18432
367,51200,18432
368,53248,18432
369,55296,18432
370,57344,18432
371,59392,18432
372,61440,18432
392,24576,20480
393,26624,20480
394,28672,20480
395,30720,20480
396,32768,20480
397,34816,20480
398,36864,20480
399,38912,20480
400,40960,20480
401,43008,20480
402,45056,20480
403,47104,20480
404,49152,20480
405,51200,20480
406,53248,20480
407,55296,20480
408,57344,20480
409,59392,20480
410,61440,20480
411,63488,20480
429,22528,22528
430,24576,22528
431,26624,22528
432,28672,22528
433,30720,22528
434,32768,22528
435,34816,22528
436,36864,22528
437,38912,22528
438,40960,22528
439,43008,22528
440,45056,22528
441,47104,22528
442,49152,22528
443,51200,22528
444,53248,22528
445,55296,22528
446,57344,22528
447,59392,22528
448,61440,22528
449,63488,22528
450,65536,22528
451,67584,22528
466,20480,24576
467,22528,24576
468,24576,24576
469,26624,24576
470,28672,24576
471,30720,24576
472,32768,24576
473,34816,24576
474,36864,24576
475,38912,24576
476,40960,24576
477,43008,24576
478,45056,24576
479,47104,24576
480,49152,24576
481,51200,24576
482,53248,24576
483,55296,24576
484,57344,24576
485,59392,24576
486,61440,24576
487,63488,24576
488,65536,24576
489,67584,24576
490,69632,24576
500,12288,26624
503,18432,26624
504,20480,26624
505,22528,26624
506,24576,26624
507,26624,26624
508,28672,26624
509,30720,26624
510,32768,26624
511,34816,26624
512,36864,26624
513,38912,26624
514,40960,26624
515,43008,26624
516,45056,26624
517,47104,26624
518,49152,26624
519,51200,26624
520,53248,26624
521,55296,26624
522,57344,26624
523,59392,26624
524,61440,26624
525,63488,26624
526,65536,26624
527,67584,26624
528,69632,26624
