bag_id,x,y
40,81920,0
41,83968,0
42,86016,0
89,77824,2048
90,79872,2048
91,81920,2048
92,83968,2048
93,86016,2048
139,75776,4096
140,77824,4096
141,79872,4096
142,81920,4096
143,83968,4096
144,86016,4096
188,71680,6144
189,73728,6144
190,75776,6144
191,77824,6144
192,79872,6144
193,81920,6144
194,83968,6144
195,86016,6144
237,67584,8192
238,69632,8192
239,71680,8192
240,73728,8192
241,75776,8192
242,77824,8192
243,79872,8192
244,81920,8192
245,83968,8192
246,86016,8192
247,88064,8192
265,20480,10240
266,22528,10240
267,24576,10240
268,26624,10240
269,28672,10240
285,61440,10240
286,63488,10240
287,65536,10240
288,67584,10240
289,69632,10240
290,71680,10240
291,73728,10240
292,75776,10240
293,77824,10240
294,79872,10240
295,81920,10240
296,83968,10240
297,86016,10240
298,88064,10240
315,18432,12288
316,20480,12288
317,22528,12288
318,24576,12288
319,26624,12288
320,28672,12288
321,30720,12288
322,32768,12288
329,47104,12288
330,49152,12288
334,57344,12288
335,59392,12288
336,61440,12288
337,63488,12288
338,65536,12288
339,67584,12288
340,69632,12288
341,71680,12288
342,73728,12288
343,75776,12288
344,77824,12288
345,79872,12288
346,81920,12288
347,83968,12288
348,86016,12288
349,88064,12288
365,16384,14336
366,18432,14336
367,20480,14336
368,22528,14336
369,24576,14336
370,26624,14336
371,28672,14336
372,30720,14336
373,32768,14336
377,40960,14336
378,43008,14336
379,45056,14336
380,47104,14336
381,49152,14336
382,51200,14336
383,53248,14336
384,55296,14336
385,57344,14336
386,59392,14336
387,61440,14336
388,63488,14336
389,65536,14336
390,67584,14336
391,69632,14336
392,71680,14336
393,73728,14336
394,75776,14336
395,77824,14336
396,79872,14336
397,81920,14336
398,83968,14336
399,86016,14336
400,88064,14336
416,16384,16384
417,18432,16384
418,20480,16384
419,22528,16384
420,24576,16384
421,26624,16384
422,28672,16384
423,30720,16384
424,32768,16384
425,34816,16384
426,36864,16384
427,38912,16384
428,40960,16384
429,43008,16384
430,45056,16384
431,47104,16384
432,49152,16384
433,51200,16384
434,53248,16384
435,55296,16384
