bag_id,x,y
37,75776,0
38,77824,0
39,79872,0
40,81920,0
41,83968,0
42,86016,0
43,88064,0
80,71680,2048
81,73728,2048
82,75776,2048
83,77824,2048
84,79872,2048
85,81920,2048
86,83968,2048
87,86016,2048
88,88064,2048
89,90112,2048
124,69632,4096
125,71680,4096
126,73728,4096
127,75776,4096
128,77824,4096
129,79872,4096
130,81920,4096
131,83968,4096
132,86016,4096
133,88064,4096
134,90112,4096
167,65536,6144
168,67584,6144
169,69632,6144
170,71680,6144
171,73728,6144
172,75776,6144
173,77824,6144
174,79872,6144
175,81920,6144
176,83968,6144
177,86016,6144
178,88064,6144
179,90112,6144
210,61440,8192
211,63488,8192
212,65536,8192
213,67584,8192
214,69632,8192
215,71680,8192
216,73728,8192
217,75776,8192
218,77824,8192
219,79872,8192
220,81920,8192
221,83968,8192
222,86016,8192
223,88064,8192
224,90112,8192
254,59392,10240
255,61440,10240
256,63488,10240
257,65536,10240
258,67584,10240
259,69632,10240
260,71680,10240
261,73728,10240
262,75776,10240
263,77824,10240
264,79872,10240
265,81920,10240
266,83968,10240
267,86016,10240
268,88064,10240
269,90112,10240
298,57344,12288
299,59392,12288
300,61440,12288
301,63488,12288
302,65536,12288
303,67584,12288
304,69632,12288
305,71680,12288
306,73728,12288
307,75776,12288
308,77824,12288
309,79872,12288
310,81920,12288
311,83968,12288
312,86016,12288
313,88064,12288
314,90112,12288
342,55296,14336
343,57344,14336
344,59392,14336
345,61440,14336
346,63488,14336
347,65536,14336
348,67584,14336
349,69632,14336
350,71680,14336
351,73728,14336
352,75776,14336
353,77824,14336
354,79872,14336
355,81920,14336
356,83968,14336
357,86016,14336
358,88064,14336
359,90112,14336
386,53248,16384
387,55296,16384
388,57344,16384
389,59392,16384
390,61440,16384
391,63488,16384
392,65536,16384
393,67584,16384
394,69632,16384
395,71680,16384
396,73728,16384
397,75776,16384
398,77824,16384
399,79872,16384
400,81920,16384
401,83968,16384
402,86016,16384
403,88064,16384
404,90112,16384
430,51200,18432
431,53248,18432
432,55296,18432
433,57344,18432
434,59392,18432
435,61440,18432
436,63488,18432
437,65536,18432
438,67584,18432
439,69632,18432
440,71680,18432
441,73728,18432
442,75776,18432
443,77824,18432
444,79872,18432
445,81920,18432
446,83968,18432
447,86016,18432
448,88064,18432
449,90112,18432
469,38912,20480
470,40960,20480
471,43008,20480
472,45056,20480
473,47104,20480
474,49152,20480
475,51200,20480
476,53248,20480
477,55296,20480
478,57344,20480
479,59392,20480
480,61440,20480
481,63488,20480
482,65536,20480
483,67584,20480
484,69632,20480
485,71680,20480
486,73728,20480
487,75776,20480
488,77824,20480
489,79872,20480
490,81920,20480
512,34816,22528
513,36864,22528
514,38912,22528
515,40960,22528
516,43008,22528
517,45056,22528
518,47104,22528
519,49152,22528
520,51200,22528
521,53248,22528
522,55296,22528
523,57344,22528
524,59392,22528
525,61440,22528
526,63488,22528
527,65536,22528
528,67584,22528
529,69632,22528
530,71680,22528
531,73728,22528
532,75776,22528
533,77824,22528
534,79872,22528
535,81920,22528
555,30720,24576
556,32768,24576
557,34816,24576
558,36864,24576
559,38912,24576
560,40960,24576
561,43008,24576
562,45056,24576
563,47104,24576
564,49152,24576
565,51200,24576
566,53248,24576
567,55296,24576
568,57344,24576
569,59392,24576
570,61440,24576
571,63488,24576
572,65536,24576
573,67584,24576
574,69632,24576
575,71680,24576
576,73728,24576
577,75776,24576
578,77824,24576
579,79872,24576
581,83968,24576
582,86016,24576
583,88064,24576
584,90112,24576
599,28672,26624
600,30720,26624
601,32768,26624
602,34816,26624
603,36864,26624
604,38912,26624
605,40960,26624
606,43008,26624
607,45056,26624
608,47104,26624
609,49152,26624
610,51200,26624
611,53248,26624
612,55296,26624
613,57344,26624
614,59392,26624
615,61440,26624
616,63488,26624
617,65536,26624
618,67584,26624
619,69632,26624
620,71680,26624
621,73728,26624
622,75776,26624
623,77824,26624
624,79872,26624
626,83968,26624
627,86016,26624
628,88064,26624
629,90112,26624
643,26624,28672
644,28672,28672
645,30720,28672
646,32768,28672
647,34816,28672
648,36864,28672
649,38912,28672
650,40960,28672
651,43008,28672
652,45056,28672
653,47104,28672
654,49152,28672
655,51200,28672
656,53248,28672
657,55296,28672
658,57344,28672
659,59392,28672
660,61440,28672
661,63488,28672
662,65536,28672
663,67584,28672
664,69632,28672
665,71680,28672
666,73728,28672
667,75776,28672
668,77824,28672
669,79872,28672
670,81920,28672
671,83968,28672
672,86016,28672
673,88064,28672
674,90112,28672
687,24576,30720
688,26624,30720
689,28672,30720
690,30720,30720
691,32768,30720
692,34816,30720
693,36864,30720
694,38912,30720
695,40960,30720
696,43008,30720
697,45056,30720
698,47104,30720
699,49152,30720
700,51200,30720
701,53248,30720
702,55296,30720
703,57344,30720
704,59392,30720
705,61440,30720
706,63488,30720
707,65536,30720
708,67584,30720
709,69632,30720
710,71680,30720
711,73728,30720
712,75776,30720
713,77824,30720
714,79872,30720
715,81920,30720
716,83968,30720
717,86016,30720
718,88064,30720
719,90112,30720
731,22528,32768
732,24576,32768
733,26624,32768
734,28672,32768
735,30720,32768
736,32768,32768
737,34816,32768
738,36864,32768
739,38912,32768
740,40960,32768
741,43008,32768
742,45056,32768
743,47104,32768
744,49152,32768
745,51200,32768
746,53248,32768
747,55296,32768
748,57344,32768
749,59392,32768
750,61440,32768
751,63488,32768
752,65536,32768
753,67584,32768
754,69632,32768
755,71680,32768
756,73728,32768
757,75776,32768
758,77824,32768
759,79872,32768
760,81920,32768
761,83968,32768
762,86016,32768
763,88064,32768
764,90112,32768
776,22528,34816
777,24576,34816
778,26624,34816
779,28672,34816
780,30720,34816
781,32768,34816
782,34816,34816
783,36864,34816
784,38912,34816
785,40960,34816
786,43008,34816
787,45056,34816
788,47104,34816
789,49152,34816
790,51200,34816
791,53248,34816
792,55296,34816
793,57344,34816
794,59392,34816
795,61440,34816
796,63488,34816
797,65536,34816
798,67584,34816
799,69632,34816
800,71680,34816
801,73728,34816
802,75776,34816
803,77824,34816
804,79872,34816
805,81920,34816
806,83968,34816
807,86016,34816
808,88064,34816
809,90112,34816
820,20480,36864
821,22528,36864
822,24576,36864
823,26624,36864
824,28672,36864
825,30720,36864
826,32768,36864
827,34816,36864
828,36864,36864
829,38912,36864
830,40960,36864
831,43008,36864
832,45056,36864
833,47104,36864
834,49152,36864
835,51200,36864
836,53248,36864
837,55296,36864
838,57344,36864
839,59392,36864
840,61440,36864
841,63488,36864
842,65536,36864
843,67584,36864
844,69632,36864
845,71680,36864
846,73728,36864
847,75776,36864
848,77824,36864
849,79872,36864
850,81920,36864
851,83968,36864
852,86016,36864
853,88064,36864
864,18432,38912
865,20480,38912
866,22528,38912
867,24576,38912
868,26624,38912
869,28672,38912
870,30720,38912
871,32768,38912
872,34816,38912
873,36864,38912
874,38912,38912
875,40960,38912
876,43008,38912
877,45056,38912
878,47104,38912
879,49152,38912
880,51200,38912
881,53248,38912
882,55296,38912
883,57344,38912
884,59392,38912
885,61440,38912
886,63488,38912
887,65536,38912
888,67584,38912
889,69632,38912
890,71680,38912
891,73728,38912
892,75776,38912
893,77824,38912
894,79872,38912
895,81920,38912
896,83968,38912
897,86016,38912
898,88064,38912
908,16384,40960
909,18432,40960
910,20480,40960
911,22528,40960
912,24576,40960
913,26624,40960
914,28672,40960
915,30720,40960
916,32768,40960
917,34816,40960
918,36864,40960
919,38912,40960
920,40960,40960
921,43008,40960
922,45056,40960
923,47104,40960
924,49152,40960
925,51200,40960
926,53248,40960
927,55296,40960
928,57344,40960
929,59392,40960
930,61440,40960
931,63488,40960
932,65536,40960
933,67584,40960
934,69632,40960
935,71680,40960
936,73728,40960
937,75776,40960
938,77824,40960
939,79872,40960
940,81920,40960
941,83968,40960
942,86016,40960
943,88064,40960
950,10240,43008
951,12288,43008
952,14336,43008
953,16384,43008
954,18432,43008
955,20480,43008
956,22528,43008
957,24576,43008
958,26624,43008
959,28672,43008
960,30720,43008
961,32768,43008
962,34816,43008
963,36864,43008
964,38912,43008
965,40960,43008
966,43008,43008
967,45056,43008
968,47104,43008
969,49152,43008
970,51200,43008
971,53248,43008
972,55296,43008
973,57344,43008
974,59392,43008
975,61440,43008
976,63488,43008
977,65536,43008
978,67584,43008
979,69632,43008
980,71680,43008
981,73728,43008
982,75776,43008
983,77824,43008
984,79872,43008
985,81920,43008
994,8192,45056
995,10240,45056
996,12288,45056
997,14336,45056
998,16384,45056
999,18432,45056
1000,20480,45056
1001,22528,45056
1002,24576,45056
1003,26624,45056
1004,28672,45056
1005,30720,45056
1006,32768,45056
1007,34816,45056
1008,36864,45056
1009,38912,45056
1010,40960,45056
1011,43008,45056
1012,45056,45056
