bag_id,x,y
0,0,0
1,2048,0
2,4096,0
3,6144,0
4,8192,0
5,10240,0
6,12288,0
7,14336,0
8,16384,0
9,18432,0
10,20480,0
11,22528,0
12,24576,0
13,26624,0
14,28672,0
15,30720,0
16,32768,0
17,34816,0
18,36864,0
19,38912,0
20,40960,0
21,43008,0
22,45056,0
23,47104,0
24,49152,0
25,51200,0
26,53248,0
27,55296,0
28,57344,0
29,59392,0
30,61440,0
31,63488,0
32,65536,0
33,67584,0
34,69632,0
35,71680,0
36,73728,0
37,75776,0
38,77824,0
39,79872,0
40,81920,0
41,83968,0
42,86016,0
43,88064,0
44,90112,0
45,92160,0
46,94208,0
47,96256,0
75,55296,2048
76,57344,2048
77,59392,2048
84,73728,2048
85,75776,2048
86,77824,2048
87,79872,2048
88,81920,2048
89,83968,2048
90,86016,2048
91,88064,2048
92,90112,2048
93,92160,2048
94,94208,2048
95,96256,2048
122,53248,4096
123,55296,4096
124,57344,4096
125,59392,4096
126,61440,4096
127,63488,4096
128,65536,4096
170,53248,6144
171,55296,6144
172,57344,6144
173,59392,6144
174,61440,6144
175,63488,6144
176,65536,6144
177,67584,6144
187,88064,6144
188,90112,6144
217,51200,8192
218,53248,8192
219,55296,8192
220,57344,8192
221,59392,8192
222,61440,8192
223,63488,8192
224,65536,8192
225,67584,8192
226,69632,8192
235,88064,8192
236,90112,8192
237,92160,8192
264,49152,10240
265,51200,10240
266,53248,10240
267,55296,10240
268,57344,10240
269,59392,10240
270,61440,10240
271,63488,10240
273,67584,10240
274,69632,10240
275,71680,10240
276,73728,10240
283,88064,10240
284,90112,10240
285,92160,10240
311,47104,12288
312,49152,12288
313,51200,12288
314,53248,12288
316,57344,12288
317,59392,12288
318,61440,12288
319,63488,12288
320,65536,12288
321,67584,12288
323,71680,12288
324,73728,12288
325,75776,12288
326,77824,12288
329,83968,12288
330,86016,12288
332,90112,12288
333,92160,12288
357,43008,14336
358,45056,14336
359,47104,14336
360,49152,14336
361,51200,14336
362,53248,14336
363,55296,14336
364,57344,14336
365,59392,14336
366,61440,14336
367,63488,14336
368,65536,14336
369,67584,14336
370,69632,14336
371,71680,14336
372,73728,14336
373,75776,14336
374,77824,14336
375,79872,14336
376,81920,14336
377,83968,14336
378,86016,14336
379,88064,14336
404,40960,16384
405,43008,16384
406,45056,16384
407,47104,16384
408,49152,16384
409,51200,16384
410,53248,16384
411,55296,16384
412,57344,16384
413,59392,16384
414,61440,16384
415,63488,16384
416,65536,16384
417,67584,16384
418,69632,16384
419,71680,16384
420,73728,16384
421,75776,16384
422,77824,16384
424,81920,16384
425,83968,16384
426,86016,16384
427,88064,16384
449,34816,18432
450,36864,18432
451,38912,18432
452,40960,18432
453,43008,18432
454,45056,18432
455,47104,18432
456,49152,18432
457,51200,18432
458,53248,18432
459,55296,18432
460,57344,18432
461,59392,18432
462,61440,18432
463,63488,18432
464,65536,18432
465,67584,18432
466,69632,18432
467,71680,18432
468,73728,18432
469,75776,18432
470,77824,18432
471,79872,18432
472,81920,18432
473,83968,18432
474,86016,18432
493,26624,20480
494,28672,20480
495,30720,20480
496,32768,20480
497,34816,20480
498,36864,20480
499,38912,20480
500,40960,20480
501,43008,20480
502,45056,20480
503,47104,20480
504,49152,20480
505,51200,20480
506,53248,20480
507,55296,20480
508,57344,20480
509,59392,20480
510,61440,20480
511,63488,20480
512,65536,20480
513,67584,20480
514,69632,20480
515,71680,20480
516,73728,20480
517,75776,20480
518,77824,20480
519,79872,20480
520,81920,20480
522,86016,20480
523,88064,20480
539,22528,22528
540,24576,22528
541,26624,22528
542,28672,22528
543,30720,22528
544,32768,22528
545,34816,22528
546,36864,22528
547,38912,22528
548,40960,22528
549,43008,22528
550,45056,22528
551,47104,22528
552,49152,22528
553,51200,22528
554,53248,22528
555,55296,22528
556,57344,22528
557,59392,22528
558,61440,22528
559,63488,22528
560,65536,22528
561,67584,22528
562,69632,22528
563,71680,22528
564,73728,22528
565,75776,22528
566,77824,22528
567,79872,22528
568,81920,22528
569,83968,22528
570,86016,22528
571,88064,22528
572,90112,22528
573,92160,22528
574,94208,22528
587,22528,24576
588,24576,24576
589,26624,24576
590,28672,24576
591,30720,24576
592,32768,24576
593,34816,24576
594,36864,24576
595,38912,24576
596,40960,24576
597,43008,24576
598,45056,24576
599,47104,24576
600,49152,24576
601,51200,24576
602,53248,24576
603,55296,24576
604,57344,24576
605,59392,24576
606,61440,24576
607,63488,24576
608,65536,24576
609,67584,24576
610,69632,24576
611,71680,24576
612,73728,24576
613,75776,24576
614,77824,24576
615,79872,24576
616,81920,24576
617,83968,24576
618,86016,24576
619,88064,24576
620,90112,24576
621,92160,24576
622,94208,24576
623,96256,24576
632,16384,26624
633,18432,26624
634,20480,26624
635,22528,26624
636,24576,26624
637,26624,26624
638,28672,26624
639,30720,26624
640,32768,26624
641,34816,26624
642,36864,26624
643,38912,26624
644,40960,26624
645,43008,26624
