bag_id,x,y
2,4096,0
3,6144,0
4,8192,0
29,2048,2048
30,4096,2048
31,6144,2048
32,8192,2048
33,10240,2048
34,12288,2048
35,14336,2048
58,4096,4096
59,6144,4096
60,8192,4096
61,10240,4096
62,12288,4096
63,14336,4096
64,16384,4096
65,18432,4096
86,4096,6144
87,6144,6144
88,8192,6144
89,10240,6144
90,12288,6144
91,14336,6144
92,16384,6144
93,18432,6144
94,20480,6144
95,22528,6144
96,24576,6144
114,4096,8192
115,6144,8192
116,8192,8192
117,10240,8192
118,12288,8192
119,14336,8192
120,16384,8192
121,18432,8192
122,20480,8192
123,22528,8192
124,24576,8192
142,4096,10240
143,6144,10240
144,8192,10240
145,10240,10240
146,12288,10240
147,14336,10240
148,16384,10240
149,18432,10240
150,20480,10240
151,22528,10240
152,24576,10240
153,26624,10240
154,28672,10240
170,4096,12288
171,6144,12288
172,8192,12288
173,10240,12288
174,12288,12288
175,14336,12288
176,16384,12288
177,18432,12288
178,20480,12288
179,22528,12288
180,24576,12288
181,26624,12288
182,28672,12288
183,30720,12288
198,4096,14336
199,6144,14336
200,8192,14336
201,10240,14336
202,12288,14336
203,14336,14336
204,16384,14336
205,18432,14336
206,20480,14336
207,22528,14336
208,24576,14336
209,26624,14336
210,28672,14336
211,30720,14336
226,4096,16384
227,6144,16384
228,8192,16384
229,10240,16384
230,12288,16384
231,14336,16384
232,16384,16384
233,18432,16384
234,20480,16384
235,22528,16384
236,24576,16384
237,26624,16384
238,28672,16384
239,30720,16384
240,32768,16384
254,4096,18432
255,6144,18432
256,8192,18432
257,10240,18432
258,12288,18432
259,14336,18432
260,16384,18432
261,18432,18432
262,20480,18432
263,22528,18432
264,24576,18432
265,26624,18432
266,28672,18432
267,30720,18432
268,32768,18432
269,34816,18432
282,4096,20480
283,6144,20480
284,8192,20480
285,10240,20480
286,12288,20480
287,14336,20480
288,16384,20480
289,18432,20480
290,20480,20480
291,22528,20480
292,24576,20480
293,26624,20480
294,28672,20480
295,30720,20480
296,32768,20480
297,34816,20480
298,36864,20480
310,4096,22528
311,6144,22528
312,8192,22528
313,10240,22528
314,12288,22528
315,14336,22528
316,16384,22528
317,18432,22528
318,20480,22528
319,22528,22528
320,24576,22528
