bag_id,x,y
7,14336,0
8,16384,0
9,18432,0
43,8192,2048
44,10240,2048
45,12288,2048
46,14336,2048
47,16384,2048
48,18432,2048
49,20480,2048
81,6144,4096
82,8192,4096
83,10240,4096
84,12288,4096
85,14336,4096
86,16384,4096
87,18432,4096
88,20480,4096
120,6144,6144
121,8192,6144
122,10240,6144
123,12288,6144
124,14336,6144
125,16384,6144
126,18432,6144
127,20480,6144
147,61440,6144
150,67584,6144
151,69632,6144
152,71680,6144
153,73728,6144
159,6144,8192
160,8192,8192
161,10240,8192
162,12288,8192
163,14336,8192
164,16384,8192
165,18432,8192
166,20480,8192
167,22528,8192
184,57344,8192
185,59392,8192
186,61440,8192
187,63488,8192
188,65536,8192
189,67584,8192
190,69632,8192
191,71680,8192
192,73728,8192
193,75776,8192
198,6144,10240
199,8192,10240
200,10240,10240
201,12288,10240
202,14336,10240
203,16384,10240
204,18432,10240
205,20480,10240
206,22528,10240
207,24576,10240
208,26624,10240
209,28672,10240
210,30720,10240
221,53248,10240
222,55296,10240
223,57344,10240
224,59392,10240
225,61440,10240
226,63488,10240
227,65536,10240
228,67584,10240
229,69632,10240
230,71680,10240
231,73728,10240
232,75776,10240
233,77824,10240
237,6144,12288
238,8192,12288
239,10240,12288
240,12288,12288
241,14336,12288
242,16384,12288
243,18432,12288
244,20480,12288
245,22528,12288
246,24576,12288
247,26624,12288
248,28672,12288
249,30720,12288
250,32768,12288
251,34816,12288
255,43008,12288
256,45056,12288
257,47104,12288
258,49152,12288
259,51200,12288
260,53248,12288
261,55296,12288
262,57344,12288
263,59392,12288
264,61440,12288
265,63488,12288
266,65536,12288
267,67584,12288
268,69632,12288
269,71680,12288
270,73728,12288
271,75776,12288
272,77824,12288
275,4096,14336
276,6144,14336
277,8192,14336
278,10240,14336
279,12288,14336
280,14336,14336
281,16384,14336
282,18432,14336
283,20480,14336
284,22528,14336
285,24576,14336
286,26624,14336
287,28672,14336
288,30720,14336
289,32768,14336
290,34816,14336
291,36864,14336
292,38912,14336
293,40960,14336
294,43008,14336
295,45056,14336
296,47104,14336
297,49152,14336
298,51200,14336
299,53248,14336
300,55296,14336
301,57344,14336
302,59392,14336
303,61440,14336
304,63488,14336
305,65536,14336
306,67584,14336
307,69632,14336
308,71680,14336
309,73728,14336
310,75776,14336
311,77824,14336
314,4096,16384
315,6144,16384
316,8192,16384
317,10240,16384
318,12288,16384
319,14336,16384
320,16384,16384
321,18432,16384
