bag_id,x,y
66,59392,2048
67,61440,2048
68,63488,2048
69,65536,2048
102,57344,4096
103,59392,4096
104,61440,4096
105,63488,4096
106,65536,4096
107,67584,4096
138,55296,6144
139,57344,6144
140,59392,6144
141,61440,6144
142,63488,6144
143,65536,6144
144,67584,6144
145,69632,6144
176,57344,8192
177,59392,8192
178,61440,8192
179,63488,8192
180,65536,8192
181,67584,8192
182,69632,8192
212,55296,10240
213,57344,10240
214,59392,10240
215,61440,10240
216,63488,10240
217,65536,10240
218,67584,10240
219,69632,10240
249,55296,12288
250,57344,12288
251,59392,12288
252,61440,12288
253,63488,12288
254,65536,12288
255,67584,12288
256,69632,12288
287,57344,14336
288,59392,14336
289,61440,14336
290,63488,14336
291,65536,14336
292,67584,14336
293,69632,14336
325,59392,16384
326,61440,16384
327,63488,16384
328,65536,16384
329,67584,16384
330,69632,16384
331,71680,16384
357,49152,18432
358,51200,18432
359,53248,18432
360,55296,18432
361,57344,18432
362,59392,18432
363,61440,18432
364,63488,18432
365,65536,18432
366,67584,18432
367,69632,18432
368,71680,18432
393,47104,20480
394,49152,20480
395,51200,20480
396,53248,20480
397,55296,20480
398,57344,20480
399,59392,20480
400,61440,20480
401,63488,20480
402,65536,20480
403,67584,20480
404,69632,20480
405,71680,20480
406,73728,20480
430,47104,22528
431,49152,22528
432,51200,22528
433,53248,22528
434,55296,22528
435,57344,22528
436,59392,22528
437,61440,22528
438,63488,22528
439,65536,22528
440,67584,22528
441,69632,22528
442,71680,22528
467,47104,24576
468,49152,24576
469,51200,24576
470,53248,24576
471,55296,24576
472,57344,24576
473,59392,24576
474,61440,24576
475,63488,24576
476,65536,24576
477,67584,24576
478,69632,24576
500,38912,26624
501,40960,26624
502,43008,26624
503,45056,26624
504,47104,26624
505,49152,26624
506,51200,26624
507,53248,26624
508,55296,26624
509,57344,26624
510,59392,26624
511,61440,26624
512,63488,26624
513,65536,26624
514,67584,26624
515,69632,26624
536,36864,28672
537,38912,28672
538,40960,28672
539,43008,28672
540,45056,28672
541,47104,28672
543,51200,28672
544,53248,28672
545,55296,28672
546,57344,28672
547,59392,28672
548,61440,28672
549,63488,28672
550,65536,28672
551,67584,28672
557,4096,30720
558,6144,30720
571,32768,30720
572,34816,30720
573,36864,30720
574,38912,30720
575,40960,30720
576,43008,30720
577,45056,30720
579,49152,30720
580,51200,30720
581,53248,30720
582,55296,30720
583,57344,30720
584,59392,30720
585,61440,30720
586,63488,30720
587,65536,30720
588,67584,30720
593,2048,32768
594,4096,32768
595,6144,32768
596,8192,32768
603,22528,32768
604,24576,32768
605,26624,32768
606,28672,32768
607,30720,32768
608,32768,32768
609,34816,32768
610,36864,32768
611,38912,32768
612,40960,32768
613,43008,32768
614,45056,32768
615,47104,32768
616,49152,32768
617,51200,32768
618,53248,32768
619,55296,32768
620,57344,32768
621,59392,32768
622,61440,32768
623,63488,32768
624,65536,32768
630,2048,34816
631,4096,34816
632,6144,34816
633,8192,34816
634,10240,34816
639,20480,34816
640,22528,34816
641,24576,34816
642,26624,34816
643,28672,34816
644,30720,34816
645,32768,34816
646,34816,34816
647,36864,34816
648,38912,34816
649,40960,34816
650,43008,34816
651,45056,34816
652,47104,34816
653,49152,34816
654,51200,34816
655,53248,34816
656,55296,34816
657,57344,34816
658,59392,34816
659,61440,34816
660,63488,34816
667,2048,36864
668,4096,36864
669,6144,36864
670,8192,36864
671,10240,36864
672,12288,36864
673,14336,36864
674,16384,36864
675,18432,36864
676,20480,36864
677,22528,36864
678,24576,36864
679,26624,36864
680,28672,36864
681,30720,36864
682,32768,36864
683,34816,36864
684,36864,36864
685,38912,36864
686,40960,36864
687,43008,36864
688,45056,36864
689,47104,36864
690,49152,36864
691,51200,36864
692,53248,36864
693,55296,36864
694,57344,36864
695,59392,36864
704,2048,38912
705,4096,38912
706,6144,38912
707,8192,38912
708,10240,38912
709,12288,38912
710,14336,38912
711,16384,38912
712,18432,38912
713,20480,38912
714,22528,38912
715,24576,38912
716,26624,38912
717,28672,38912
718,30720,38912
719,32768,38912
720,34816,38912
721,36864,38912
722,38912,38912
723,40960,38912
724,43008,38912
725,45056,38912
726,47104,38912
727,49152,38912
728,51200,38912
729,53248,38912
730,55296,38912
731,57344,38912
742,4096,40960
743,6144,40960
744,8192,40960
745,10240,40960
746,12288,40960
747,14336,40960
748,16384,40960
749,18432,40960
750,20480,40960
751,22528,40960
752,24576,40960
753,26624,40960
754,28672,40960
755,30720,40960
756,32768,40960
757,34816,40960
758,36864,40960
759,38912,40960
760,40960,40960
761,43008,40960
762,45056,40960
763,47104,40960
764,49152,40960
765,51200,40960
766,53248,40960
767,55296,40960
779,4096,43008
780,6144,43008
781,8192,43008
782,10240,43008
783,12288,43008
784,14336,43008
785,16384,43008
786,18432,43008
787,20480,43008
788,22528,43008
789,24576,43008
790,26624,43008
791,28672,43008
793,32768,43008
794,34816,43008
795,36864,43008
796,38912,43008
797,40960,43008
798,43008,43008
799,45056,43008
800,47104,43008
801,49152,43008
802,51200,43008
