bag_id,x,y
64,22528,2048
65,24576,2048
66,26624,2048
67,28672,2048
68,30720,2048
69,32768,2048
70,34816,2048
71,36864,2048
72,38912,2048
75,45056,2048
76,47104,2048
77,49152,2048
78,51200,2048
79,53248,2048
80,55296,2048
81,57344,2048
82,59392,2048
83,61440,2048
84,63488,2048
85,65536,2048
86,67584,2048
87,69632,2048
88,71680,2048
89,73728,2048
90,75776,2048
91,77824,2048
117,22528,4096
118,24576,4096
119,26624,4096
120,28672,4096
121,30720,4096
122,32768,4096
123,34816,4096
124,36864,4096
125,38912,4096
126,40960,4096
127,43008,4096
128,45056,4096
129,47104,4096
130,49152,4096
131,51200,4096
132,53248,4096
133,55296,4096
134,57344,4096
135,59392,4096
136,61440,4096
137,63488,4096
138,65536,4096
139,67584,4096
140,69632,4096
141,71680,4096
142,73728,4096
143,75776,4096
144,77824,4096
145,79872,4096
146,81920,4096
169,20480,6144
170,22528,6144
171,24576,6144
172,26624,6144
173,28672,6144
174,30720,6144
175,32768,6144
176,34816,6144
177,36864,6144
178,38912,6144
179,40960,6144
180,43008,6144
181,45056,6144
182,47104,6144
183,49152,6144
184,51200,6144
185,53248,6144
186,55296,6144
187,57344,6144
188,59392,6144
189,61440,6144
190,63488,6144
191,65536,6144
192,67584,6144
193,69632,6144
194,71680,6144
195,73728,6144
196,75776,6144
197,77824,6144
198,79872,6144
199,81920,6144
200,83968,6144
201,86016,6144
221,18432,8192
222,20480,8192
223,22528,8192
224,24576,8192
225,26624,8192
226,28672,8192
227,30720,8192
228,32768,8192
229,34816,8192
230,36864,8192
231,38912,8192
232,40960,8192
233,43008,8192
234,45056,8192
235,47104,8192
236,49152,8192
237,51200,8192
238,53248,8192
239,55296,8192
240,57344,8192
241,59392,8192
242,61440,8192
243,63488,8192
244,65536,8192
245,67584,8192
246,69632,8192
247,71680,8192
248,73728,8192
249,75776,8192
250,77824,8192
251,79872,8192
252,81920,8192
253,83968,8192
254,86016,8192
255,88064,8192
256,90112,8192
273,16384,10240
274,18432,10240
275,20480,10240
276,22528,10240
277,24576,10240
278,26624,10240
279,28672,10240
280,30720,10240
281,32768,10240
282,34816,10240
283,36864,10240
284,38912,10240
285,40960,10240
286,43008,10240
287,45056,10240
288,47104,10240
289,49152,10240
290,51200,10240
291,53248,10240
292,55296,10240
293,57344,10240
294,59392,10240
295,61440,10240
296,63488,10240
297,65536,10240
298,67584,10240
299,69632,10240
300,71680,10240
301,73728,10240
302,75776,10240
303,77824,10240
304,79872,10240
305,81920,10240
306,83968,10240
307,86016,10240
308,88064,10240
309,90112,10240
310,92160,10240
311,94208,10240
312,96256,10240
321,6144,12288
322,8192,12288
323,10240,12288
324,12288,12288
325,14336,12288
326,16384,12288
327,18432,12288
328,20480,12288
329,22528,12288
330,24576,12288
331,26624,12288
332,28672,12288
333,30720,12288
334,32768,12288
335,34816,12288
336,36864,12288
337,38912,12288
338,40960,12288
339,43008,12288
340,45056,12288
341,47104,12288
342,49152,12288
343,51200,12288
344,53248,12288
345,55296,12288
346,57344,12288
347,59392,12288
348,61440,12288
349,63488,12288
350,65536,12288
351,67584,12288
352,69632,12288
353,71680,12288
354,73728,12288
355,75776,12288
356,77824,12288
357,79872,12288
358,81920,12288
359,83968,12288
360,86016,12288
361,88064,12288
362,90112,12288
363,92160,12288
364,94208,12288
366,98304,12288
