bag_id,x,y
63,30720,2048
64,32768,2048
65,34816,2048
66,36864,2048
67,38912,2048
68,40960,2048
69,43008,2048
90,86016,2048
91,88064,2048
92,90112,2048
93,92160,2048
109,26624,4096
110,28672,4096
111,30720,4096
112,32768,4096
113,34816,4096
114,36864,4096
115,38912,4096
116,40960,4096
117,43008,4096
118,45056,4096
136,81920,4096
137,83968,4096
138,86016,4096
139,88064,4096
140,90112,4096
141,92160,4096
142,94208,4096
143,96256,4096
155,22528,6144
156,24576,6144
157,26624,6144
158,28672,6144
159,30720,6144
160,32768,6144
161,34816,6144
162,36864,6144
163,38912,6144
164,40960,6144
165,43008,6144
166,45056,6144
167,47104,6144
184,81920,6144
185,83968,6144
186,86016,6144
187,88064,6144
188,90112,6144
189,92160,6144
190,94208,6144
191,96256,6144
196,8192,8192
198,12288,8192
199,14336,8192
200,16384,8192
201,18432,8192
202,20480,8192
203,22528,8192
204,24576,8192
205,26624,8192
206,28672,8192
207,30720,8192
208,32768,8192
209,34816,8192
210,36864,8192
211,38912,8192
212,40960,8192
213,43008,8192
214,45056,8192
215,47104,8192
231,79872,8192
232,81920,8192
233,83968,8192
234,86016,8192
235,88064,8192
236,90112,8192
237,92160,8192
238,94208,8192
239,96256,8192
241,2048,10240
242,4096,10240
243,6144,10240
244,8192,10240
245,10240,10240
246,12288,10240
247,14336,10240
248,16384,10240
249,18432,10240
250,20480,10240
251,22528,10240
252,24576,10240
253,26624,10240
254,28672,10240
255,30720,10240
256,32768,10240
257,34816,10240
258,36864,10240
259,38912,10240
260,40960,10240
261,43008,10240
262,45056,10240
263,47104,10240
264,49152,10240
265,51200,10240
266,53248,10240
279,79872,10240
280,81920,10240
281,83968,10240
282,86016,10240
283,88064,10240
284,90112,10240
285,92160,10240
286,94208,10240
287,96256,10240
288,0,12288
289,2048,12288
290,4096,12288
291,6144,12288
292,8192,12288
293,10240,12288
294,12288,12288
295,14336,12288
296,16384,12288
297,18432,12288
298,20480,12288
299,22528,12288
300,24576,12288
301,26624,12288
302,28672,12288
303,30720,12288
304,32768,12288
305,34816,12288
306,36864,12288
307,38912,12288
308,40960,12288
309,43008,12288
310,45056,12288
311,47104,12288
312,49152,12288
313,51200,12288
314,53248,12288
321,67584,12288
322,69632,12288
327,79872,12288
328,81920,12288
329,83968,12288
330,86016,12288
331,88064,12288
332,90112,12288
333,92160,12288
334,94208,12288
335,96256,12288
336,0,14336
337,2048,14336
338,4096,14336
339,6144,14336
340,8192,14336
341,10240,14336
342,12288,14336
343,14336,14336
344,16384,14336
345,18432,14336
346,20480,14336
347,22528,14336
348,24576,14336
349,26624,14336
350,28672,14336
351,30720,14336
352,32768,14336
353,34816,14336
354,36864,14336
355,38912,14336
356,40960,14336
357,43008,14336
358,45056,14336
359,47104,14336
360,49152,14336
361,51200,14336
362,53248,14336
363,55296,14336
364,57344,14336
365,59392,14336
366,61440,14336
367,63488,14336
368,65536,14336
369,67584,14336
370,69632,14336
371,71680,14336
372,73728,14336
373,75776,14336
375,79872,14336
376,81920,14336
377,83968,14336
378,86016,14336
379,88064,14336
380,90112,14336
381,92160,14336
382,94208,14336
383,96256,14336
384,0,16384
385,2048,16384
386,4096,16384
387,6144,16384
388,8192,16384
389,10240,16384
390,12288,16384
391,14336,16384
392,16384,16384
393,18432,16384
394,20480,16384
395,22528,16384
396,24576,16384
397,26624,16384
398,28672,16384
399,30720,16384
400,32768,16384
401,34816,16384
402,36864,16384
403,38912,16384
404,40960,16384
405,43008,16384
406,45056,16384
407,47104,16384
408,49152,16384
409,51200,16384
410,53248,16384
411,55296,16384
412,57344,16384
413,59392,16384
414,61440,16384
415,63488,16384
416,65536,16384
417,67584,16384
418,69632,16384
419,71680,16384
420,73728,16384
421,75776,16384
422,77824,16384
423,79872,16384
424,81920,16384
425,83968,16384
426,86016,16384
427,88064,16384
428,90112,16384
429,92160,16384
430,94208,16384
431,96256,16384
432,0,18432
433,2048,18432
434,4096,18432
435,6144,18432
436,8192,18432
437,10240,18432
438,12288,18432
439,14336,18432
440,16384,18432
441,18432,18432
442,20480,18432
443,22528,18432
444,24576,18432
445,26624,18432
446,28672,18432
447,30720,18432
448,32768,18432
449,34816,18432
450,36864,18432
451,38912,18432
452,40960,18432
453,43008,18432
454,45056,18432
455,47104,18432
456,49152,18432
457,51200,18432
458,53248,18432
459,55296,18432
460,57344,18432
461,59392,18432
462,61440,18432
463,63488,18432
464,65536,18432
465,67584,18432
466,69632,18432
467,71680,18432
468,73728,18432
469,75776,18432
470,77824,18432
471,79872,18432
472,81920,18432
473,83968,18432
474,86016,18432
475,88064,18432
476,90112,18432
477,92160,18432
478,94208,18432
479,96256,18432
482,4096,20480
483,6144,20480
484,8192,20480
485,10240,20480
486,12288,20480
487,14336,20480
488,16384,20480
489,18432,20480
490,20480,20480
491,22528,20480
492,24576,20480
493,26624,20480
494,28672,20480
495,30720,20480
496,32768,20480
497,34816,20480
498,36864,20480
499,38912,20480
500,40960,20480
501,43008,20480
502,45056,20480
503,47104,20480
504,49152,20480
505,51200,20480
506,53248,20480
507,55296,20480
508,57344,20480
509,59392,20480
510,61440,20480
511,63488,20480
512,65536,20480
513,67584,20480
514,69632,20480
515,71680,20480
516,73728,20480
517,75776,20480
518,77824,20480
519,79872,20480
520,81920,20480
521,83968,20480
522,86016,20480
523,88064,20480
524,90112,20480
525,92160,20480
526,94208,20480
532,8192,22528
533,10240,22528
534,12288,22528
535,14336,22528
536,16384,22528
537,18432,22528
538,20480,22528
539,22528,22528
540,24576,22528
541,26624,22528
542,28672,22528
543,30720,22528
544,32768,22528
545,34816,22528
546,36864,22528
547,38912,22528
548,40960,22528
549,43008,22528
550,45056,22528
551,47104,22528
552,49152,22528
553,51200,22528
554,53248,22528
555,55296,22528
556,57344,22528
557,59392,22528
558,61440,22528
559,63488,22528
560,65536,22528
561,67584,22528
562,69632,22528
563,71680,22528
564,73728,22528
565,75776,22528
566,77824,22528
567,79872,22528
568,81920,22528
569,83968,22528
570,86016,22528
571,88064,22528
572,90112,22528
573,92160,22528
574,94208,22528
582,12288,24576
583,14336,24576
584,16384,24576
585,18432,24576
586,20480,24576
587,22528,24576
588,24576,24576
589,26624,24576
590,28672,24576
591,30720,24576
592,32768,24576
593,34816,24576
594,36864,24576
595,38912,24576
596,40960,24576
597,43008,24576
598,45056,24576
599,47104,24576
600,49152,24576
601,51200,24576
602,53248,24576
603,55296,24576
604,57344,24576
605,59392,24576
606,61440,24576
607,63488,24576
608,65536,24576
609,67584,24576
610,69632,24576
611,71680,24576
612,73728,24576
613,75776,24576
614,77824,24576
615,79872,24576
616,81920,24576
617,83968,24576
618,86016,24576
619,88064,24576
620,90112,24576
621,92160,24576
631,14336,26624
632,16384,26624
633,18432,26624
634,20480,26624
635,22528,26624
636,24576,26624
637,26624,26624
638,28672,26624
639,30720,26624
640,32768,26624
641,34816,26624
642,36864,26624
643,38912,26624
644,40960,26624
645,43008,26624
646,45056,26624
647,47104,26624
648,49152,26624
649,51200,26624
650,53248,26624
651,55296,26624
652,57344,26624
653,59392,26624
654,61440,26624
655,63488,26624
656,65536,26624
657,67584,26624
658,69632,26624
659,71680,26624
660,73728,26624
