bag_id,x,y
0,0,0
1,2048,0
2,4096,0
3,6144,0
4,8192,0
5,10240,0
6,12288,0
7,14336,0
8,16384,0
9,18432,0
10,20480,0
11,22528,0
12,24576,0
13,26624,0
14,28672,0
15,30720,0
16,32768,0
17,34816,0
18,36864,0
19,38912,0
20,40960,0
21,43008,0
22,45056,0
23,47104,0
24,49152,0
25,51200,0
26,53248,0
27,55296,0
46,36864,2048
47,38912,2048
48,40960,2048
49,43008,2048
50,45056,2048
74,36864,4096
75,38912,4096
76,40960,4096
77,43008,4096
78,45056,4096
101,34816,6144
102,36864,6144
103,38912,6144
104,40960,6144
105,43008,6144
106,45056,6144
127,30720,8192
128,32768,8192
129,34816,8192
130,36864,8192
131,38912,8192
132,40960,8192
133,43008,8192
134,45056,8192
153,26624,10240
154,28672,10240
155,30720,10240
156,32768,10240
157,34816,10240
158,36864,10240
159,38912,10240
160,40960,10240
161,43008,10240
162,45056,10240
180,24576,12288
181,26624,12288
182,28672,12288
183,30720,12288
184,32768,12288
185,34816,12288
186,36864,12288
187,38912,12288
188,40960,12288
189,43008,12288
190,45056,12288
191,47104,12288
207,22528,14336
208,24576,14336
209,26624,14336
210,28672,14336
211,30720,14336
212,32768,14336
213,34816,14336
214,36864,14336
215,38912,14336
216,40960,14336
217,43008,14336
218,45056,14336
219,47104,14336
235,22528,16384
236,24576,16384
237,26624,16384
238,28672,16384
239,30720,16384
240,32768,16384
241,34816,16384
242,36864,16384
243,38912,16384
244,40960,16384
245,43008,16384
246,45056,16384
247,47104,16384
248,49152,16384
261,18432,18432
262,20480,18432
263,22528,18432
264,24576,18432
265,26624,18432
266,28672,18432
267,30720,18432
268,32768,18432
269,34816,18432
270,36864,18432
271,38912,18432
272,40960,18432
273,43008,18432
274,45056,18432
275,47104,18432
276,49152,18432
288,16384,20480
289,18432,20480
290,20480,20480
291,22528,20480
292,24576,20480
293,26624,20480
297,34816,20480
298,36864,20480
299,38912,20480
300,40960,20480
301,43008,20480
302,45056,20480
303,47104,20480
304,49152,20480
305,51200,20480
313,10240,22528
314,12288,22528
315,14336,22528
316,16384,22528
317,18432,22528
318,20480,22528
319,22528,22528
320,24576,22528
321,26624,22528
322,28672,22528
326,36864,22528
327,38912,22528
328,40960,22528
329,43008,22528
330,45056,22528
331,47104,22528
332,49152,22528
333,51200,22528
340,8192,24576
341,10240,24576
342,12288,24576
343,14336,24576
344,16384,24576
345,18432,24576
346,20480,24576
347,22528,24576
348,24576,24576
349,26624,24576
350,28672,24576
351,30720,24576
354,36864,24576
355,38912,24576
356,40960,24576
357,43008,24576
358,45056,24576
359,47104,24576
360,49152,24576
361,51200,24576
368,8192,26624
369,10240,26624
370,12288,26624
371,14336,26624
372,16384,26624
373,18432,26624
374,20480,26624
375,22528,26624
376,24576,26624
377,26624,26624
378,28672,26624
379,30720,26624
380,32768,26624
383,38912,26624
384,40960,26624
385,43008,26624
386,45056,26624
387,47104,26624
388,49152,26624
389,51200,26624
390,53248,26624
391,55296,26624
393,2048,28672
394,4096,28672
395,6144,28672
396,8192,28672
397,10240,28672
398,12288,28672
399,14336,28672
400,16384,28672
401,18432,28672
402,20480,28672
403,22528,28672
404,24576,28672
405,26624,28672
406,28672,28672
407,30720,28672
408,32768,28672
409,34816,28672
412,40960,28672
413,43008,28672
414,45056,28672
415,47104,28672
416,49152,28672
417,51200,28672
418,53248,28672
419,55296,28672
420,0,30720
421,2048,30720
422,4096,30720
423,6144,30720
424,8192,30720
425,10240,30720
426,12288,30720
427,14336,30720
428,16384,30720
429,18432,30720
430,20480,30720
431,22528,30720
432,24576,30720
433,26624,30720
434,28672,30720
435,30720,30720
436,32768,30720
441,43008,30720
442,45056,30720
443,47104,30720
444,49152,30720
445,51200,30720
446,53248,30720
447,55296,30720
448,0,32768
449,2048,32768
450,4096,32768
451,6144,32768
452,8192,32768
453,10240,32768
454,12288,32768
455,14336,32768
456,16384,32768
457,18432,32768
458,20480,32768
459,22528,32768
460,24576,32768
461,26624,32768
462,28672,32768
463,30720,32768
464,32768,32768
465,34816,32768
466,36864,32768
471,47104,32768
472,49152,32768
473,51200,32768
474,53248,32768
476,0,34816
477,2048,34816
478,4096,34816
479,6144,34816
480,8192,34816
481,10240,34816
482,12288,34816
483,14336,34816
484,16384,34816
485,18432,34816
486,20480,34816
487,22528,34816
488,24576,34816
489,26624,34816
490,28672,34816
491,30720,34816
492,32768,34816
493,34816,34816
494,36864,34816
495,38912,34816
496,40960,34816
497,43008,34816
498,45056,34816
500,49152,34816
501,51200,34816
502,53248,34816
505,2048,36864
506,4096,36864
507,6144,36864
508,8192,36864
509,10240,36864
510,12288,36864
511,14336,36864
512,16384,36864
513,18432,36864
514,20480,36864
515,22528,36864
516,24576,36864
517,26624,36864
518,28672,36864
519,30720,36864
520,32768,36864
521,34816,36864
522,36864,36864
523,38912,36864
524,40960,36864
525,43008,36864
526,45056,36864
527,47104,36864
