bag_id,x,y
32,65536,0
33,67584,0
34,69632,0
35,71680,0
36,73728,0
37,75776,0
38,77824,0
39,79872,0
40,81920,0
41,83968,0
42,86016,0
43,88064,0
44,90112,0
45,92160,0
86,61440,2048
87,63488,2048
88,65536,2048
89,67584,2048
90,69632,2048
91,71680,2048
92,73728,2048
93,75776,2048
94,77824,2048
95,79872,2048
96,81920,2048
97,83968,2048
98,86016,2048
99,88064,2048
100,90112,2048
101,92160,2048
102,94208,2048
103,96256,2048
134,45056,4096
135,47104,4096
136,49152,4096
137,51200,4096
138,53248,4096
139,55296,4096
140,57344,4096
141,59392,4096
142,61440,4096
143,63488,4096
144,65536,4096
145,67584,4096
146,69632,4096
147,71680,4096
148,73728,4096
149,75776,4096
150,77824,4096
151,79872,4096
152,81920,4096
153,83968,4096
154,86016,4096
155,88064,4096
156,90112,4096
157,92160,4096
158,94208,4096
159,96256,4096
160,98304,4096
161,100352,4096
187,38912,6144
188,40960,6144
189,43008,6144
190,45056,6144
191,47104,6144
192,49152,6144
193,51200,6144
194,53248,6144
195,55296,6144
196,57344,6144
197,59392,6144
198,61440,6144
199,63488,6144
200,65536,6144
201,67584,6144
202,69632,6144
203,71680,6144
204,73728,6144
205,75776,6144
206,77824,6144
207,79872,6144
208,81920,6144
209,83968,6144
210,86016,6144
211,88064,6144
212,90112,6144
213,92160,6144
214,94208,6144
215,96256,6144
216,98304,6144
217,100352,6144
241,34816,8192
242,36864,8192
243,38912,8192
244,40960,8192
245,43008,8192
246,45056,8192
247,47104,8192
248,49152,8192
249,51200,8192
250,53248,8192
251,55296,8192
252,57344,8192
253,59392,8192
254,61440,8192
255,63488,8192
256,65536,8192
257,67584,8192
258,69632,8192
259,71680,8192
260,73728,8192
261,75776,8192
262,77824,8192
263,79872,8192
264,81920,8192
265,83968,8192
266,86016,8192
267,88064,8192
268,90112,8192
269,92160,8192
270,94208,8192
271,96256,8192
272,98304,8192
273,100352,8192
278,110592,8192
294,28672,10240
295,30720,10240
296,32768,10240
297,34816,10240
298,36864,10240
299,38912,10240
300,40960,10240
301,43008,10240
302,45056,10240
303,47104,10240
304,49152,10240
305,51200,10240
306,53248,10240
307,55296,10240
308,57344,10240
309,59392,10240
310,61440,10240
311,63488,10240
312,65536,10240
313,67584,10240
314,69632,10240
315,71680,10240
316,73728,10240
317,75776,10240
318,77824,10240
319,79872,10240
320,81920,10240
321,83968,10240
322,86016,10240
323,88064,10240
324,90112,10240
325,92160,10240
326,94208,10240
327,96256,10240
328,98304,10240
329,100352,10240
350,28672,12288
351,30720,12288
352,32768,12288
353,34816,12288
354,36864,12288
355,38912,12288
356,40960,12288
357,43008,12288
358,45056,12288
359,47104,12288
360,49152,12288
361,51200,12288
362,53248,12288
363,55296,12288
364,57344,12288
365,59392,12288
366,61440,12288
367,63488,12288
368,65536,12288
369,67584,12288
370,69632,12288
371,71680,12288
372,73728,12288
373,75776,12288
374,77824,12288
375,79872,12288
376,81920,12288
377,83968,12288
378,86016,12288
379,88064,12288
380,90112,12288
381,92160,12288
382,94208,12288
383,96256,12288
384,98304,12288
385,100352,12288
406,28672,14336
407,30720,14336
408,32768,14336
409,34816,14336
410,36864,14336
411,38912,14336
412,40960,14336
413,43008,14336
414,45056,14336
415,47104,14336
416,49152,14336
417,51200,14336
418,53248,14336
419,55296,14336
420,57344,14336
421,59392,14336
422,61440,14336
423,63488,14336
424,65536,14336
425,67584,14336
426,69632,14336
427,71680,14336
430,77824,14336
431,79872,14336
432,81920,14336
433,83968,14336
434,86016,14336
435,88064,14336
436,90112,14336
437,92160,14336
438,94208,14336
439,96256,14336
440,98304,14336
441,100352,14336
442,102400,14336
460,24576,16384
461,26624,16384
462,28672,16384
463,30720,16384
464,32768,16384
465,34816,16384
466,36864,16384
467,38912,16384
468,40960,16384
469,43008,16384
470,45056,16384
471,47104,16384
472,49152,16384
473,51200,16384
474,53248,16384
475,55296,16384
476,57344,16384
477,59392,16384
478,61440,16384
479,63488,16384
480,65536,16384
481,67584,16384
488,81920,16384
489,83968,16384
490,86016,16384
491,88064,16384
492,90112,16384
493,92160,16384
494,94208,16384
495,96256,16384
496,98304,16384
497,100352,16384
498,102400,16384
499,104448,16384
500,106496,16384
515,22528,18432
516,24576,18432
517,26624,18432
518,28672,18432
519,30720,18432
520,32768,18432
521,34816,18432
522,36864,18432
523,38912,18432
524,40960,18432
525,43008,18432
526,45056,18432
527,47104,18432
528,49152,18432
529,51200,18432
530,53248,18432
531,55296,18432
532,57344,18432
533,59392,18432
537,67584,18432
545,83968,18432
546,86016,18432
547,88064,18432
548,90112,18432
549,92160,18432
550,94208,18432
551,96256,18432
552,98304,18432
553,100352,18432
554,102400,18432
555,104448,18432
556,106496,18432
569,18432,20480
570,20480,20480
571,22528,20480
572,24576,20480
573,26624,20480
574,28672,20480
575,30720,20480
576,32768,20480
577,34816,20480
578,36864,20480
579,38912,20480
580,40960,20480
581,43008,20480
582,45056,20480
598,77824,20480
599,79872,20480
600,81920,20480
601,83968,20480
602,86016,20480
603,88064,20480
604,90112,20480
605,92160,20480
606,94208,20480
607,96256,20480
608,98304,20480
609,100352,20480
610,102400,20480
611,104448,20480
612,106496,20480
624,16384,22528
625,18432,22528
626,20480,22528
627,22528,22528
628,24576,22528
629,26624,22528
630,28672,22528
631,30720,22528
632,32768,22528
633,34816,22528
634,36864,22528
635,38912,22528
636,40960,22528
637,43008,22528
652,73728,22528
653,75776,22528
654,77824,22528
655,79872,22528
656,81920,22528
657,83968,22528
658,86016,22528
659,88064,22528
660,90112,22528
661,92160,22528
662,94208,22528
663,96256,22528
664,98304,22528
665,100352,22528
666,102400,22528
667,104448,22528
668,106496,22528
669,108544,22528
679,14336,24576
680,16384,24576
681,18432,24576
682,20480,24576
683,22528,24576
684,24576,24576
685,26624,24576
686,28672,24576
687,30720,24576
688,32768,24576
689,34816,24576
690,36864,24576
691,38912,24576
692,40960,24576
693,43008,24576
704,65536,24576
706,69632,24576
707,71680,24576
708,73728,24576
709,75776,24576
710,77824,24576
711,79872,24576
712,81920,24576
713,83968,24576
714,86016,24576
715,88064,24576
716,90112,24576
717,92160,24576
718,94208,24576
719,96256,24576
720,98304,24576
721,100352,24576
722,102400,24576
723,104448,24576
724,106496,24576
725,108544,24576
726,110592,24576
727,112640,24576
734,12288,26624
735,14336,26624
736,16384,26624
737,18432,26624
738,20480,26624
739,22528,26624
740,24576,26624
741,26624,26624
742,28672,26624
743,30720,26624
744,32768,26624
745,34816,26624
746,36864,26624
747,38912,26624
748,40960,26624
753,51200,26624
754,53248,26624
755,55296,26624
757,59392,26624
758,61440,26624
759,63488,26624
760,65536,26624
761,67584,26624
