bag_id,x,y
101,81920,2048
102,83968,2048
103,86016,2048
104,88064,2048
105,90112,2048
106,92160,2048
107,94208,2048
108,96256,2048
109,98304,2048
110,100352,2048
111,102400,2048
112,104448,2048
113,106496,2048
114,108544,2048
115,110592,2048
116,112640,2048
117,114688,2048
118,116736,2048
124,4096,4096
125,6144,4096
126,8192,4096
127,10240,4096
128,12288,4096
129,14336,4096
130,16384,4096
131,18432,4096
132,20480,4096
133,22528,4096
134,24576,4096
135,26624,4096
136,28672,4096
137,30720,4096
138,32768,4096
139,34816,4096
140,36864,4096
141,38912,4096
142,40960,4096
143,43008,4096
144,45056,4096
145,47104,4096
158,73728,4096
159,75776,4096
160,77824,4096
161,79872,4096
162,81920,4096
163,83968,4096
164,86016,4096
165,88064,4096
166,90112,4096
167,92160,4096
168,94208,4096
169,96256,4096
170,98304,4096
171,100352,4096
172,102400,4096
173,104448,4096
174,106496,4096
175,108544,4096
176,110592,4096
177,112640,4096
178,114688,4096
179,116736,4096
180,118784,4096
185,4096,6144
186,6144,6144
187,8192,6144
188,10240,6144
189,12288,6144
190,14336,6144
191,16384,6144
192,18432,6144
193,20480,6144
194,22528,6144
195,24576,6144
196,26624,6144
197,28672,6144
198,30720,6144
199,32768,6144
200,34816,6144
201,36864,6144
202,38912,6144
203,40960,6144
204,43008,6144
205,45056,6144
206,47104,6144
207,49152,6144
208,51200,6144
218,71680,6144
219,73728,6144
220,75776,6144
221,77824,6144
222,79872,6144
223,81920,6144
224,83968,6144
225,86016,6144
226,88064,6144
227,90112,6144
228,92160,6144
229,94208,6144
230,96256,6144
231,98304,6144
232,100352,6144
233,102400,6144
234,104448,6144
235,106496,6144
236,108544,6144
237,110592,6144
238,112640,6144
239,114688,6144
240,116736,6144
241,118784,6144
243,122880,6144
246,4096,8192
247,6144,8192
248,8192,8192
249,10240,8192
250,12288,8192
251,14336,8192
252,16384,8192
253,18432,8192
254,20480,8192
255,22528,8192
256,24576,8192
257,26624,8192
258,28672,8192
259,30720,8192
260,32768,8192
261,34816,8192
262,36864,8192
263,38912,8192
264,40960,8192
265,43008,8192
266,45056,8192
267,47104,8192
268,49152,8192
269,51200,8192
270,53248,8192
279,71680,8192
280,73728,8192
281,75776,8192
282,77824,8192
283,79872,8192
284,81920,8192
285,83968,8192
286,86016,8192
287,88064,8192
288,90112,8192
289,92160,8192
290,94208,8192
291,96256,8192
292,98304,8192
293,100352,8192
294,102400,8192
295,104448,8192
296,106496,8192
297,108544,8192
300,114688,8192
301,116736,8192
302,118784,8192
303,120832,8192
307,4096,10240
308,6144,10240
309,8192,10240
310,10240,10240
340,71680,10240
341,73728,10240
342,75776,10240
343,77824,10240
