bag_id,x,y
76,49152,2048
77,51200,2048
78,53248,2048
96,90112,2048
97,92160,2048
101,100352,2048
128,49152,4096
129,51200,4096
130,53248,4096
131,55296,4096
148,90112,4096
149,92160,4096
150,94208,4096
151,96256,4096
152,98304,4096
153,100352,4096
154,102400,4096
179,47104,6144
180,49152,6144
181,51200,6144
182,53248,6144
183,55296,6144
184,57344,6144
200,90112,6144
201,92160,6144
202,94208,6144
203,96256,6144
204,98304,6144
205,100352,6144
206,102400,6144
231,47104,8192
232,49152,8192
233,51200,8192
234,53248,8192
235,55296,8192
236,57344,8192
248,81920,8192
252,90112,8192
253,92160,8192
254,94208,8192
255,96256,8192
263,6144,10240
264,8192,10240
265,10240,10240
266,12288,10240
283,47104,10240
284,49152,10240
285,51200,10240
286,53248,10240
287,55296,10240
288,57344,10240
300,81920,10240
301,83968,10240
303,88064,10240
304,90112,10240
305,92160,10240
306,94208,10240
307,96256,10240
314,4096,12288
315,6144,12288
316,8192,12288
317,10240,12288
318,12288,12288
319,14336,12288
320,16384,12288
335,47104,12288
336,49152,12288
337,51200,12288
338,53248,12288
339,55296,12288
340,57344,12288
352,81920,12288
355,88064,12288
356,90112,12288
357,92160,12288
358,94208,12288
366,4096,14336
367,6144,14336
368,8192,14336
369,10240,14336
370,12288,14336
371,14336,14336
372,16384,14336
389,51200,14336
390,53248,14336
391,55296,14336
404,81920,14336
405,83968,14336
408,90112,14336
409,92160,14336
410,94208,14336
411,96256,14336
418,4096,16384
419,6144,16384
420,8192,16384
421,10240,16384
422,12288,16384
423,14336,16384
424,16384,16384
442,53248,16384
443,55296,16384
444,57344,16384
456,81920,16384
462,94208,16384
471,6144,18432
472,8192,18432
473,10240,18432
474,12288,18432
475,14336,18432
476,16384,18432
508,81920,18432
509,83968,18432
512,90112,18432
523,6144,20480
524,8192,20480
525,10240,20480
526,12288,20480
