bag_id,x,y
1,2048,0
2,4096,0
3,6144,0
4,8192,0
5,10240,0
27,55296,0
28,57344,0
29,59392,0
41,2048,2048
42,4096,2048
43,6144,2048
44,8192,2048
45,10240,2048
46,12288,2048
47,14336,2048
48,16384,2048
49,18432,2048
50,20480,2048
51,22528,2048
67,55296,2048
68,57344,2048
69,59392,2048
70,61440,2048
71,63488,2048
72,65536,2048
73,67584,2048
74,69632,2048
75,71680,2048
76,73728,2048
77,75776,2048
81,2048,4096
82,4096,4096
83,6144,4096
84,8192,4096
85,10240,4096
86,12288,4096
87,14336,4096
88,16384,4096
89,18432,4096
90,20480,4096
91,22528,4096
92,24576,4096
107,55296,4096
108,57344,4096
109,59392,4096
110,61440,4096
111,63488,4096
112,65536,4096
113,67584,4096
114,69632,4096
115,71680,4096
116,73728,4096
117,75776,4096
121,2048,6144
122,4096,6144
123,6144,6144
124,8192,6144
125,10240,6144
126,12288,6144
127,14336,6144
128,16384,6144
129,18432,6144
130,20480,6144
131,22528,6144
132,24576,6144
147,55296,6144
148,57344,6144
149,59392,6144
150,61440,6144
151,63488,6144
152,65536,6144
153,67584,6144
154,69632,6144
155,71680,6144
156,73728,6144
157,75776,6144
161,2048,8192
162,4096,8192
163,6144,8192
164,8192,8192
165,10240,8192
166,12288,8192
167,14336,8192
168,16384,8192
169,18432,8192
170,20480,8192
171,22528,8192
186,53248,8192
187,55296,8192
188,57344,8192
189,59392,8192
190,61440,8192
191,63488,8192
192,65536,8192
193,67584,8192
194,69632,8192
195,71680,8192
196,73728,8192
200,0,10240
201,2048,10240
202,4096,10240
203,6144,10240
204,8192,10240
205,10240,10240
206,12288,10240
207,14336,10240
208,16384,10240
209,18432,10240
210,20480,10240
211,22528,10240
226,53248,10240
227,55296,10240
228,57344,10240
229,59392,10240
230,61440,10240
231,63488,10240
232,65536,10240
233,67584,10240
234,69632,10240
235,71680,10240
236,73728,10240
240,0,12288
241,2048,12288
242,4096,12288
243,6144,12288
244,8192,12288
245,10240,12288
246,12288,12288
247,14336,12288
248,16384,12288
249,18432,12288
250,20480,12288
266,53248,12288
267,55296,12288
268,57344,12288
269,59392,12288
270,61440,12288
271,63488,12288
272,65536,12288
273,67584,12288
274,69632,12288
275,71680,12288
280,0,14336
281,2048,14336
282,4096,14336
283,6144,14336
284,8192,14336
285,10240,14336
286,12288,14336
287,14336,14336
288,16384,14336
306,53248,14336
307,55296,14336
308,57344,14336
309,59392,14336
310,61440,14336
311,63488,14336
312,65536,14336
313,67584,14336
320,0,16384
321,2048,16384
322,4096,16384
323,6144,16384
324,8192,16384
325,10240,16384
326,12288,16384
346,53248,16384
347,55296,16384
348,57344,16384
349,59392,16384
350,61440,16384
351,63488,16384
352,65536,16384
360,0,18432
361,2048,18432
362,4096,18432
363,6144,18432
364,8192,18432
385,51200,18432
386,53248,18432
387,55296,18432
388,57344,18432
389,59392,18432
390,61440,18432
401,2048,20480
402,4096,20480
403,6144,20480
426,53248,20480
427,55296,20480
428,57344,20480
429,59392,20480
