bag_id,x,y
65,6144,2048
66,8192,2048
125,2048,4096
126,4096,4096
127,6144,4096
128,8192,4096
129,10240,4096
130,12288,4096
131,14336,4096
132,16384,4096
133,18432,4096
134,20480,4096
135,22528,4096
136,24576,4096
137,26624,4096
138,28672,4096
139,30720,4096
140,32768,4096
141,34816,4096
142,36864,4096
143,38912,4096
144,40960,4096
145,43008,4096
146,45056,4096
147,47104,4096
157,67584,4096
187,2048,6144
188,4096,6144
189,6144,6144
190,8192,6144
191,10240,6144
192,12288,6144
193,14336,6144
194,16384,6144
195,18432,6144
196,20480,6144
197,22528,6144
198,24576,6144
199,26624,6144
200,28672,6144
201,30720,6144
202,32768,6144
203,34816,6144
204,36864,6144
205,38912,6144
206,40960,6144
207,43008,6144
208,45056,6144
209,47104,6144
210,49152,6144
219,67584,6144
220,69632,6144
221,71680,6144
222,73728,6144
223,75776,6144
224,77824,6144
225,79872,6144
226,81920,6144
227,83968,6144
228,86016,6144
229,88064,6144
234,98304,6144
235,100352,6144
236,102400,6144
238,106496,6144
239,108544,6144
248,0,8192
250,4096,8192
251,6144,8192
252,8192,8192
253,10240,8192
254,12288,8192
255,14336,8192
256,16384,8192
257,18432,8192
258,20480,8192
259,22528,8192
260,24576,8192
261,26624,8192
262,28672,8192
263,30720,8192
264,32768,8192
265,34816,8192
266,36864,8192
267,38912,8192
268,40960,8192
269,43008,8192
270,45056,8192
271,47104,8192
272,49152,8192
273,51200,8192
281,67584,8192
282,69632,8192
283,71680,8192
284,73728,8192
285,75776,8192
286,77824,8192
287,79872,8192
288,81920,8192
289,83968,8192
290,86016,8192
291,88064,8192
292,90112,8192
293,92160,8192
294,94208,8192
295,96256,8192
296,98304,8192
297,100352,8192
298,102400,8192
299,104448,8192
300,106496,8192
301,108544,8192
302,110592,8192
303,112640,8192
304,114688,8192
305,116736,8192
313,6144,10240
314,8192,10240
315,10240,10240
316,12288,10240
317,14336,10240
318,16384,10240
319,18432,10240
320,20480,10240
321,22528,10240
322,24576,10240
323,26624,10240
324,28672,10240
325,30720,10240
326,32768,10240
327,34816,10240
328,36864,10240
329,38912,10240
330,40960,10240
331,43008,10240
332,45056,10240
333,47104,10240
334,49152,10240
335,51200,10240
342,65536,10240
343,67584,10240
344,69632,10240
345,71680,10240
346,73728,10240
347,75776,10240
348,77824,10240
349,79872,10240
350,81920,10240
351,83968,10240
352,86016,10240
353,88064,10240
354,90112,10240
355,92160,10240
356,94208,10240
357,96256,10240
358,98304,10240
359,100352,10240
360,102400,10240
361,104448,10240
362,106496,10240
363,108544,10240
364,110592,10240
365,112640,10240
366,114688,10240
367,116736,10240
368,118784,10240
376,8192,12288
377,10240,12288
378,12288,12288
379,14336,12288
380,16384,12288
381,18432,12288
382,20480,12288
383,22528,12288
384,24576,12288
385,26624,12288
386,28672,12288
387,30720,12288
388,32768,12288
389,34816,12288
390,36864,12288
391,38912,12288
392,40960,12288
393,43008,12288
394,45056,12288
395,47104,12288
396,49152,12288
397,51200,12288
404,65536,12288
405,67584,12288
407,71680,12288
408,73728,12288
409,75776,12288
410,77824,12288
411,79872,12288
412,81920,12288
413,83968,12288
414,86016,12288
415,88064,12288
416,90112,12288
417,92160,12288
418,94208,12288
419,96256,12288
420,98304,12288
421,100352,12288
422,102400,12288
423,104448,12288
424,106496,12288
425,108544,12288
426,110592,12288
427,112640,12288
428,114688,12288
429,116736,12288
430,118784,12288
440,12288,14336
442,16384,14336
443,18432,14336
444,20480,14336
445,22528,14336
446,24576,14336
447,26624,14336
448,28672,14336
449,30720,14336
450,32768,14336
451,34816,14336
452,36864,14336
453,38912,14336
454,40960,14336
455,43008,14336
456,45056,14336
457,47104,14336
458,49152,14336
459,51200,14336
460,53248,14336
470,73728,14336
471,75776,14336
472,77824,14336
473,79872,14336
474,81920,14336
475,83968,14336
476,86016,14336
477,88064,14336
478,90112,14336
479,92160,14336
480,94208,14336
481,96256,14336
482,98304,14336
483,100352,14336
484,102400,14336
485,104448,14336
486,106496,14336
487,108544,14336
488,110592,14336
489,112640,14336
490,114688,14336
491,116736,14336
492,118784,14336
511,30720,16384
512,32768,16384
513,34816,16384
514,36864,16384
515,38912,16384
516,40960,16384
517,43008,16384
518,45056,16384
519,47104,16384
520,49152,16384
521,51200,16384
533,75776,16384
534,77824,16384
535,79872,16384
536,81920,16384
537,83968,16384
538,86016,16384
539,88064,16384
540,90112,16384
541,92160,16384
542,94208,16384
543,96256,16384
544,98304,16384
545,100352,16384
546,102400,16384
547,104448,16384
548,106496,16384
549,108544,16384
550,110592,16384
551,112640,16384
552,114688,16384
553,116736,16384
554,118784,16384
555,120832,16384
574,32768,18432
575,34816,18432
576,36864,18432
577,38912,18432
578,40960,18432
579,43008,18432
580,45056,18432
601,88064,18432
602,90112,18432
603,92160,18432
604,94208,18432
605,96256,18432
606,98304,18432
607,100352,18432
608,102400,18432
609,104448,18432
610,106496,18432
611,108544,18432
612,110592,18432
613,112640,18432
614,114688,18432
615,116736,18432
616,118784,18432
617,120832,18432
668,98304,20480
669,100352,20480
670,102400,20480
671,104448,20480
672,106496,20480
673,108544,20480
674,110592,20480
675,112640,20480
676,114688,20480
677,116736,20480
678,118784,20480
733,104448,22528
734,106496,22528
735,108544,22528
736,110592,22528
737,112640,22528
738,114688,22528
