bag_id,x,y
3,6144,0
49,4096,2048
50,6144,2048
51,8192,2048
52,10240,2048
53,12288,2048
54,14336,2048
55,16384,2048
56,18432,2048
96,4096,4096
97,6144,4096
98,8192,4096
99,10240,4096
100,12288,4096
101,14336,4096
102,16384,4096
103,18432,4096
104,20480,4096
105,22528,4096
106,24576,4096
107,26624,4096
108,28672,4096
109,30720,4096
126,65536,4096
127,67584,4096
128,69632,4096
129,71680,4096
130,73728,4096
131,75776,4096
132,77824,4096
133,79872,4096
134,81920,4096
135,83968,4096
136,86016,4096
137,88064,4096
138,90112,4096
143,4096,6144
144,6144,6144
145,8192,6144
146,10240,6144
147,12288,6144
148,14336,6144
149,16384,6144
150,18432,6144
151,20480,6144
152,22528,6144
153,24576,6144
154,26624,6144
155,28672,6144
156,30720,6144
172,63488,6144
173,65536,6144
174,67584,6144
175,69632,6144
176,71680,6144
177,73728,6144
178,75776,6144
179,77824,6144
180,79872,6144
181,81920,6144
182,83968,6144
183,86016,6144
184,88064,6144
185,90112,6144
190,4096,8192
191,6144,8192
192,8192,8192
193,10240,8192
194,12288,8192
195,14336,8192
196,16384,8192
197,18432,8192
198,20480,8192
199,22528,8192
200,24576,8192
201,26624,8192
202,28672,8192
218,61440,8192
219,63488,8192
220,65536,8192
221,67584,8192
222,69632,8192
223,71680,8192
224,73728,8192
225,75776,8192
226,77824,8192
227,79872,8192
228,81920,8192
229,83968,8192
230,86016,8192
231,88064,8192
237,4096,10240
238,6144,10240
239,8192,10240
240,10240,10240
241,12288,10240
242,14336,10240
243,16384,10240
244,18432,10240
245,20480,10240
246,22528,10240
247,24576,10240
248,26624,10240
249,28672,10240
267,65536,10240
268,67584,10240
269,69632,10240
270,71680,10240
271,73728,10240
272,75776,10240
273,77824,10240
274,79872,10240
275,81920,10240
276,83968,10240
277,86016,10240
278,88064,10240
284,4096,12288
285,6144,12288
286,8192,12288
287,10240,12288
288,12288,12288
289,14336,12288
290,16384,12288
291,18432,12288
292,20480,12288
293,22528,12288
294,24576,12288
295,26624,12288
314,65536,12288
315,67584,12288
316,69632,12288
317,71680,12288
318,73728,12288
319,75776,12288
320,77824,12288
321,79872,12288
322,81920,12288
323,83968,12288
324,86016,12288
325,88064,12288
334,10240,14336
335,12288,14336
336,14336,14336
337,16384,14336
338,18432,14336
339,20480,14336
340,22528,14336
341,24576,14336
360,63488,14336
361,65536,14336
362,67584,14336
363,69632,14336
364,71680,14336
365,73728,14336
366,75776,14336
367,77824,14336
368,79872,14336
369,81920,14336
370,83968,14336
371,86016,14336
382,12288,16384
383,14336,16384
384,16384,16384
385,18432,16384
386,20480,16384
387,22528,16384
409,67584,16384
410,69632,16384
411,71680,16384
412,73728,16384
413,75776,16384
414,77824,16384
415,79872,16384
416,81920,16384
417,83968,16384
431,16384,18432
432,18432,18432
433,20480,18432
460,75776,18432
461,77824,18432
462,79872,18432
463,81920,18432
464,83968,18432
509,79872,20480
510,81920,20480
