bag_id,x,y
153,79872,4096
154,81920,4096
155,83968,4096
158,90112,4096
159,92160,4096
160,94208,4096
161,96256,4096
206,71680,6144
207,73728,6144
208,75776,6144
209,77824,6144
210,79872,6144
211,81920,6144
212,83968,6144
213,86016,6144
214,88064,6144
215,90112,6144
216,92160,6144
217,94208,6144
218,96256,6144
219,98304,6144
220,100352,6144
221,102400,6144
222,104448,6144
223,106496,6144
238,20480,8192
239,22528,8192
243,30720,8192
244,32768,8192
245,34816,8192
246,36864,8192
247,38912,8192
248,40960,8192
249,43008,8192
261,67584,8192
262,69632,8192
263,71680,8192
264,73728,8192
265,75776,8192
266,77824,8192
267,79872,8192
268,81920,8192
269,83968,8192
270,86016,8192
271,88064,8192
272,90112,8192
273,92160,8192
274,94208,8192
275,96256,8192
276,98304,8192
277,100352,8192
278,102400,8192
279,104448,8192
280,106496,8192
293,16384,10240
294,18432,10240
295,20480,10240
296,22528,10240
297,24576,10240
298,26624,10240
299,28672,10240
300,30720,10240
301,32768,10240
302,34816,10240
303,36864,10240
304,38912,10240
305,40960,10240
306,43008,10240
307,45056,10240
308,47104,10240
314,59392,10240
315,61440,10240
316,63488,10240
317,65536,10240
318,67584,10240
319,69632,10240
320,71680,10240
321,73728,10240
322,75776,10240
323,77824,10240
324,79872,10240
325,81920,10240
326,83968,10240
327,86016,10240
328,88064,10240
329,90112,10240
330,92160,10240
331,94208,10240
332,96256,10240
333,98304,10240
334,100352,10240
335,102400,10240
336,104448,10240
337,106496,10240
347,10240,12288
348,12288,12288
349,14336,12288
350,16384,12288
351,18432,12288
352,20480,12288
353,22528,12288
354,24576,12288
355,26624,12288
356,28672,12288
357,30720,12288
358,32768,12288
359,34816,12288
360,36864,12288
361,38912,12288
362,40960,12288
363,43008,12288
364,45056,12288
365,47104,12288
374,65536,12288
382,81920,12288
383,83968,12288
384,86016,12288
385,88064,12288
386,90112,12288
387,92160,12288
388,94208,12288
389,96256,12288
390,98304,12288
391,100352,12288
392,102400,12288
393,104448,12288
394,106496,12288
402,6144,14336
403,8192,14336
404,10240,14336
405,12288,14336
406,14336,14336
407,16384,14336
408,18432,14336
409,20480,14336
410,22528,14336
411,24576,14336
412,26624,14336
413,28672,14336
414,30720,14336
415,32768,14336
416,34816,14336
417,36864,14336
418,38912,14336
419,40960,14336
420,43008,14336
421,45056,14336
422,47104,14336
443,90112,14336
446,96256,14336
447,98304,14336
450,104448,14336
451,106496,14336
456,0,16384
457,2048,16384
458,4096,16384
459,6144,16384
460,8192,16384
461,10240,16384
462,12288,16384
463,14336,16384
464,16384,16384
465,18432,16384
466,20480,16384
467,22528,16384
468,24576,16384
469,26624,16384
470,28672,16384
471,30720,16384
472,32768,16384
473,34816,16384
474,36864,16384
475,38912,16384
476,40960,16384
477,43008,16384
478,45056,16384
479,47104,16384
