bag_id,x,y
51,4096,2048
52,6144,2048
53,8192,2048
54,10240,2048
55,12288,2048
100,4096,4096
101,6144,4096
102,8192,4096
103,10240,4096
104,12288,4096
105,14336,4096
106,16384,4096
107,18432,4096
149,4096,6144
150,6144,6144
151,8192,6144
152,10240,6144
153,12288,6144
154,14336,6144
155,16384,6144
156,18432,6144
157,20480,6144
158,22528,6144
179,65536,6144
180,67584,6144
193,94208,6144
198,4096,8192
199,6144,8192
200,8192,8192
201,10240,8192
202,12288,8192
203,14336,8192
204,16384,8192
205,18432,8192
206,20480,8192
207,22528,8192
227,63488,8192
228,65536,8192
229,67584,8192
230,69632,8192
231,71680,8192
232,73728,8192
233,75776,8192
234,77824,8192
248,6144,10240
249,8192,10240
250,10240,10240
251,12288,10240
252,14336,10240
253,16384,10240
277,65536,10240
278,67584,10240
279,69632,10240
280,71680,10240
281,73728,10240
282,75776,10240
283,77824,10240
284,79872,10240
285,81920,10240
286,83968,10240
291,94208,10240
297,6144,12288
298,8192,12288
299,10240,12288
300,12288,12288
301,14336,12288
302,16384,12288
303,18432,12288
304,20480,12288
305,22528,12288
306,24576,12288
325,63488,12288
326,65536,12288
327,67584,12288
328,69632,12288
329,71680,12288
330,73728,12288
331,75776,12288
332,77824,12288
333,79872,12288
334,81920,12288
335,83968,12288
346,6144,14336
347,8192,14336
348,10240,14336
349,12288,14336
350,14336,14336
351,16384,14336
352,18432,14336
353,20480,14336
354,22528,14336
355,24576,14336
356,26624,14336
374,63488,14336
376,67584,14336
377,69632,14336
378,71680,14336
379,73728,14336
380,75776,14336
381,77824,14336
382,79872,14336
395,6144,16384
396,8192,16384
397,10240,16384
398,12288,16384
399,14336,16384
400,16384,16384
401,18432,16384
402,20480,16384
403,22528,16384
404,24576,16384
405,26624,16384
406,28672,16384
425,67584,16384
426,69632,16384
428,73728,16384
435,88064,16384
444,6144,18432
447,12288,18432
448,14336,18432
449,16384,18432
450,18432,18432
451,20480,18432
452,22528,18432
453,24576,18432
454,26624,18432
455,28672,18432
456,30720,18432
475,69632,18432
476,71680,18432
477,73728,18432
478,75776,18432
479,77824,18432
480,79872,18432
481,81920,18432
482,83968,18432
483,86016,18432
484,88064,18432
485,90112,18432
493,6144,20480
498,16384,20480
499,18432,20480
500,20480,20480
501,22528,20480
502,24576,20480
503,26624,20480
504,28672,20480
505,30720,20480
524,69632,20480
525,71680,20480
526,73728,20480
527,75776,20480
528,77824,20480
529,79872,20480
530,81920,20480
531,83968,20480
532,86016,20480
533,88064,20480
534,90112,20480
535,92160,20480
542,6144,22528
547,16384,22528
548,18432,22528
549,20480,22528
550,22528,22528
551,24576,22528
552,26624,22528
553,28672,22528
566,55296,22528
573,69632,22528
575,73728,22528
576,75776,22528
577,77824,22528
578,79872,22528
579,81920,22528
580,83968,22528
581,86016,22528
582,88064,22528
583,90112,22528
584,92160,22528
585,94208,22528
591,6144,24576
596,16384,24576
597,18432,24576
598,20480,24576
599,22528,24576
600,24576,24576
615,55296,24576
621,67584,24576
622,69632,24576
625,75776,24576
626,77824,24576
627,79872,24576
628,81920,24576
629,83968,24576
630,86016,24576
631,88064,24576
632,90112,24576
633,92160,24576
634,94208,24576
645,16384,26624
646,18432,26624
647,20480,26624
670,67584,26624
676,79872,26624
677,81920,26624
678,83968,26624
679,86016,26624
680,88064,26624
681,90112,26624
682,92160,26624
683,94208,26624
719,67584,28672
725,79872,28672
726,81920,28672
727,83968,28672
728,86016,28672
729,88064,28672
768,67584,30720
774,79872,30720
775,81920,30720
776,83968,30720
777,86016,30720
781,94208,30720
