bag_id,x,y
64,28672,2048
65,30720,2048
66,32768,2048
70,40960,2048
112,24576,4096
113,26624,4096
114,28672,4096
115,30720,4096
116,32768,4096
117,34816,4096
118,36864,4096
119,38912,4096
121,43008,4096
142,86016,4096
161,22528,6144
162,24576,6144
163,26624,6144
164,28672,6144
165,30720,6144
166,32768,6144
167,34816,6144
168,36864,6144
171,43008,6144
191,83968,6144
192,86016,6144
193,88064,6144
194,90112,6144
195,92160,6144
196,94208,6144
197,96256,6144
198,98304,6144
206,12288,8192
207,14336,8192
208,16384,8192
209,18432,8192
210,20480,8192
211,22528,8192
212,24576,8192
213,26624,8192
214,28672,8192
215,30720,8192
216,32768,8192
217,34816,8192
218,36864,8192
240,81920,8192
241,83968,8192
242,86016,8192
243,88064,8192
244,90112,8192
245,92160,8192
246,94208,8192
247,96256,8192
251,2048,10240
252,4096,10240
253,6144,10240
254,8192,10240
255,10240,10240
256,12288,10240
257,14336,10240
258,16384,10240
259,18432,10240
260,20480,10240
261,22528,10240
262,24576,10240
263,26624,10240
264,28672,10240
265,30720,10240
266,32768,10240
267,34816,10240
268,36864,10240
283,67584,10240
284,69632,10240
285,71680,10240
286,73728,10240
287,75776,10240
288,77824,10240
289,79872,10240
290,81920,10240
291,83968,10240
292,86016,10240
293,88064,10240
294,90112,10240
295,92160,10240
296,94208,10240
301,2048,12288
302,4096,12288
303,6144,12288
304,8192,12288
305,10240,12288
306,12288,12288
307,14336,12288
308,16384,12288
309,18432,12288
310,20480,12288
311,22528,12288
312,24576,12288
313,26624,12288
314,28672,12288
315,30720,12288
316,32768,12288
317,34816,12288
318,36864,12288
329,59392,12288
330,61440,12288
331,63488,12288
332,65536,12288
333,67584,12288
334,69632,12288
335,71680,12288
336,73728,12288
337,75776,12288
338,77824,12288
339,79872,12288
340,81920,12288
341,83968,12288
342,86016,12288
343,88064,12288
344,90112,12288
345,92160,12288
346,94208,12288
352,4096,14336
353,6144,14336
354,8192,14336
355,10240,14336
356,12288,14336
357,14336,14336
358,16384,14336
359,18432,14336
360,20480,14336
361,22528,14336
362,24576,14336
363,26624,14336
364,28672,14336
365,30720,14336
366,32768,14336
367,34816,14336
368,36864,14336
379,59392,14336
380,61440,14336
381,63488,14336
382,65536,14336
383,67584,14336
384,69632,14336
385,71680,14336
386,73728,14336
387,75776,14336
388,77824,14336
389,79872,14336
390,81920,14336
391,83968,14336
392,86016,14336
393,88064,14336
394,90112,14336
395,92160,14336
396,94208,14336
397,96256,14336
403,6144,16384
404,8192,16384
405,10240,16384
406,12288,16384
407,14336,16384
408,16384,16384
409,18432,16384
410,20480,16384
411,22528,16384
412,24576,16384
413,26624,16384
414,28672,16384
415,30720,16384
416,32768,16384
417,34816,16384
418,36864,16384
431,63488,16384
432,65536,16384
433,67584,16384
434,69632,16384
435,71680,16384
436,73728,16384
437,75776,16384
438,77824,16384
439,79872,16384
440,81920,16384
441,83968,16384
442,86016,16384
443,88064,16384
444,90112,16384
445,92160,16384
446,94208,16384
455,10240,18432
456,12288,18432
457,14336,18432
458,16384,18432
459,18432,18432
460,20480,18432
461,22528,18432
462,24576,18432
463,26624,18432
464,28672,18432
465,30720,18432
466,32768,18432
467,34816,18432
482,65536,18432
483,67584,18432
484,69632,18432
485,71680,18432
486,73728,18432
487,75776,18432
488,77824,18432
489,79872,18432
490,81920,18432
491,83968,18432
492,86016,18432
493,88064,18432
494,90112,18432
495,92160,18432
496,94208,18432
513,26624,20480
514,28672,20480
515,30720,20480
516,32768,20480
517,34816,20480
533,67584,20480
534,69632,20480
535,71680,20480
536,73728,20480
537,75776,20480
538,77824,20480
539,79872,20480
540,81920,20480
541,83968,20480
542,86016,20480
543,88064,20480
544,90112,20480
545,92160,20480
546,94208,20480
588,77824,22528
589,79872,22528
590,81920,22528
591,83968,22528
592,86016,22528
593,88064,22528
594,90112,22528
595,92160,22528
